Title,Year,Rated,Genre(s),Plot
Snow White,2012,PG-13,"Drama, Fantasy","A band of bullfighting dwarfs save the life of a young woman with amnesia. They end up taking her under their wing when they find out that she has seemingly natural skills as a bullfighter, upon which they can capitalize not only for their act but for her own personal gain. As she does not know her name or background, the dwarfs coin her Blancanieves, after the famed fairy tale. What they are all unaware of is that she is really Carmen, the daughter of the once great matador, Antonio Villalta. On the day Carmen was born, her father suffered a career ending accident, and her mother died in childbirth. Her father quickly remarried his nurse, the evil Encarna. Although raised by her grandmother during her early years, Carmen, following the death of her grandmother, went to live with Encarna while an adolescent, Encarna who treated her as a slave. Carmen eventually found her disabled father, who was hidden away and treated poorly by Encarna. In the meantime, Encarna was cavorting with the household chauffeur while living off her husband's riches. Antonio did pass along to Carmen the art of bullfighting. As Blancanieves teeters on the brink of fame as a matador, her life may be placed in jeopardy if Encarna learns who she is, as Encarna believed Carmen was dead since she was the one who ordered her murder at the hands of the chauffeur."
You're Next,2011,R,"Horror, Thriller","When a gang of masked, ax-wielding murderers descend upon the Davison family reunion, the hapless victims seem trapped... until an unlikely guest of the family proves to be the most talented killer of all."
Django Unchained,2012,R,"Drama, Western","A German dentist buys the freedom of a slave and trains him with the intent to make him his deputy bounty hunter. Instead, he is led to the site of the slave's wife who belongs to a ruthless plantation owner."
Why Stop Now?,2012,R,"Comedy, Drama","The story of Eli Smith (Jesse Eisenberg), a piano prodigy, dealing with his troubled mother, Penny (Melissa Leo), and enlisting help from a hapless drug dealer, Sprinkles (Tracy Morgan), on the day he has an audition for a prestigious music program. Events spiral comically out of control as this gang of misfits faces the mistakes of the past, the challenges of the future, and the possibilities of love."
The Loft,2014,R,"Mystery, Romance, Thriller","The architect Vincent Stevens; the psychiatrist Chris Vanowen; the real estate agents Luke Seacord and Marty Landry; and Chris' half-brother Philip Trauner are married and best friends. Vincent has designed a brand new building and proposes that he and his friends share one of the wonderful penthouse lofts. This would allow them to hook up with other women without worrying about hotel charges showing up on their credit cards. When they discover the body of a beautiful woman cuffed on the bed in the loft, they argue over whom is responsible and secrets are disclosed affecting their friendship."
Game Change,2012,TV-MA,"Biography, Drama, History","Summer, 2008: John McCain secures the nomination, but polls behind Barack Obama. Strategist Steve Schmidt suggests a game changer: picking a conservative female with media savvy, unknown Alaska governor Sarah Palin, as vice president. She's an immediate hit and a quick study - the gap closes. Then, Tina Fey's impersonation, a raft of criticism, and missing her family send Palin into a near-catatonic state: she doesn't prepare for her Katie Couric interview and bombs. Schmidt searches for an answer: don't expect her to learn the issues, but give her a script. Palin does well in the debate with Biden; she finds her voice, goes off script, and goes rogue. A mistake?"
Bad Karma,2012,R,Thriller,Reformed criminal gets blackmailed into doing one last job when former partner crawls out of the woodwork.
Ai Weiwei: Never Sorry,2012,R,Documentary,"AI WEIWEI: NEVER SORRY is the first feature-length film about the internationally renowned Chinese artist and activist, Ai Weiwei. In recent years, Ai has garnered international attention as much for his ambitious artwork as his political provocations. AI WEIWEI: NEVER SORRY examines this complex intersection of artistic practice and social activism as seen through the life and art of China's preeminent contemporary artist. From 2008 to 2010, Beijing-based journalist and filmmaker Alison Klayman gained unprecedented access to Ai Weiwei. Klayman documented Ai's artistic process in preparation for major museum exhibitions, his intimate exchanges with family members and his increasingly public clashes with the Chinese government. Klayman's detailed portrait of the artist provides a nuanced exploration of contemporary China and one of its most compelling public figures."
Inescapable,2012,R,"Action, Drama, Mystery","One afternoon, on a typical day at work, Adib is confronted with devastating news: His eldest daughter, Muna, has gone missing in Damascus. Now Adib, who has not been back in over 20 years, must return to Syria and deal with his secret past in order to find her. Inescapable is a thriller about a father's desperate search for his daughter and the chaos of the Middle East he left behind."
Captain America: The Winter Soldier,2014,PG-13,"Action, Adventure, Sci-Fi","For Steve Rogers, awakening after decades of suspended animation involves more than catching up on pop culture; it also means that this old school idealist must face a world of subtler threats and difficult moral complexities. That becomes clear when Director Nick Fury is killed by the mysterious assassin, the Winter Soldier, but not before warning Rogers that SHIELD has been subverted by its enemies. When Rogers acts on Fury's warning to trust no one there, he is branded as a traitor by the organization. Now a fugitive, Captain America must get to the bottom of this deadly mystery with the help of the Black Widow and his new friend, The Falcon. However, the battle will be costly for the Sentinel of Liberty, with Rogers finding enemies where he least expects them while learning that the Winter Soldier looks disturbingly familiar."
Divergent,2014,PG-13,"Adventure, Mystery, Sci-Fi","Set in a futuristic dystopia where society is divided into five factions that each represent a different virtue, teenagers have to decide if they want to stay in their faction or switch to another - for the rest of their lives. Tris Prior makes a choice that surprises everyone. Then Tris and her fellow faction-members have to live through a highly competitive initiation process to live out the choice they have made. They must undergo extreme physical and intense psychological tests, that transform them all. But Tris has a secret that she is Divergent, which means she doesn't fit into any one group. If anyone knew, it would mean a certain death. As she discovers a growing conflict that threatens to unravel her seemingly peaceful society, this secret might help her save the people she loves... or it might destroy her."
Ruby Sparks,2012,R,"Comedy, Drama, Fantasy","Calvin is a genius novelist who begins to type a new novel on his manual typewriter about Ruby, his dream girl. He can't believe his eyes, because the next day, Ruby becomes a real person, and they begin to have a beautiful relationship together. If the relationship isn't perfect, all Calvin has to do is simply type the words on the page and Ruby's actions change to what he needs."
Gone,2012,PG-13,"Drama, Mystery, Thriller","When her sister disappears, Jill is convinced the serial killer who kidnapped her two years ago has returned, and she sets out to once again face her abductor."
Winter's Tale,2014,PG-13,"Drama, Fantasy, Mystery","New York City is subsumed in arctic winds, dark nights, and white lights, its life unfolds, for it is an extraordinary hive of the imagination, the greatest house ever built, and nothing exists that can check its vitality. One night in winter, Peter Lake (Colin Farrell), orphan and master-mechanic, attempts to rob a fortress-like mansion on the Upper West Side. Though he thinks the house is empty, the daughter of the house is home. Thus begins the love between Peter, an Irish burglar in his early 20's, and Beverly Penn (Jessica Brown Findlay), a young girl, who is dying."
Passion,2012,R,"Drama, Horror, Mystery",The rivalry between the manipulative boss of an advertising agency and her talented protégée escalates from stealing credit to public humiliation to murder.
Évocateur: The Morton Downey Jr. Movie,2012,R,Documentary,"Long before O'Reilly and Beck, Morton Downey, Jr., was tearing up the talk-show format with his divisive populism. Between the fistfights, rabid audience, and Mort's cigarette smoke always ""in your face,"" The Morton Downey Jr. Show was billed as ""3-D television,"" ""rock and roll without the music."" Évocateur meditates on the hysteria that ended the '80s and ultimately its most notorious agitator."
RED 2,2013,PG-13,"Action, Comedy, Crime","Retired CIA agent Frank Moses is in love with Sarah Ross and enjoying their normal life. Out of the blue, Marvin Boggs meets Frank in the supermarket and tells that Wikileaks has released the information that they had participated and know the whereabouts of the Nightshade, a portable nuclear weapon that was smuggled in pieces and hidden in Russia. Now the top agents in the world are under contract to seek them out to discover where Nightshade is. The trio travels to Paris and teams-up with the Russian Katja to track down the former Russian Agent 'The Frog' to get more information about the operation. They learn that the brilliant inventor Dr. Edward Bailey might know where the weapon is. They discover that Bailey has been interned in an asylum in London by the MI-6 for thirty-two years and the British Victoria joins the team. They rescue Bailey and find that the nuclear device is hidden in the Kremlin. Soon the dangerous South Korean Han joins the group expecting to retrieve the weapon. But dangerous killer Jack Horton is hunting Frank down and will not stop until he recovers the nuclear bomb."
Nebraska,2013,R,"Adventure, Comedy, Drama","""NEBRASKA"" is a father and son road trip, from Billings, Montana to Lincoln, Nebraska that gets waylaid at a small town in central Nebraska, where the father grew up and has scores to settle. Told with deadpan humor and a unique visual style, it's ultimately the story of a son trying to get through to a father he doesn't understand."
The Place Beyond the Pines,2012,R,"Crime, Drama, Thriller","A mysterious and mythical motorcycle racer, Luke, (Ryan Gosling) drives out of a traveling carnival globe of death and whizzes through the backstreets of Schenectady, New York, desperately trying to connect with a former lover, Romina, (Eva Mendes) who recently and secretly gave birth to the stunt rider's son. In an attempt to provide for his new family, Luke quits the carnival life and commits a series of bank robberies aided by his superior riding ability. The stakes rise as Luke is put on a collision course with an ambitious police officer, Avery Cross, (Bradley Cooper) looking to quickly move up the ranks in a police department riddled with corruption. The sweeping drama unfolds over fifteen years as the sins of the past haunt the present days lives of two high school boys wrestling with the legacy they've inherited. The only refuge is found in the place beyond the pines."
After Earth,2013,PG-13,"Action, Adventure, Sci-Fi","One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance."
Admission,2013,PG-13,"Comedy, Drama, Romance","Straitlaced Princeton University admissions officer Portia Nathan (Tina Fey) is caught off-guard when she makes a recruiting visit to an alternative high school overseen by her former college classmate, the freewheeling John Pressman (Paul Rudd). Pressman has surmised that Jeremiah (Nat Wolff), his gifted yet very unconventional student, might well be the son that Portia secretly gave up for adoption many years ago. Soon, Portia finds herself bending the rules for Jeremiah, putting at risk the life she thought she always wanted -- but in the process finding her way to a surprising and exhilarating life and romance she never dreamed of having."
Unbroken,2014,PG-13,"Biography, Drama, Sport","The life of Louis Zamperini, an Olympic athlete who joined the armed forces during the second world war. Only to be captured by the Japanese navy after a plane crash in the Pacific. During his capture, Louie must continue his fight by surviving through the war."
That Awkward Moment,2014,R,"Comedy, Romance","Jason has just been dumped, but he didn't even realize they were going out. Meanwhile, Mikey's wife has just asked him for a divorce, and perpetually single Daniel is still single. The three best friends are determined to stay single together and just have fun. But then Jason meets Ellie who just might be perfect for him, Daniel starts to realize that his gal pal Chelsea might be perfect for him, and Mikey has always thought that his wife was perfect for him. The boys are going to have to juggle their single life with their romantic entanglements and it's going to get awkward."
American Hustle,2013,R,"Crime, Drama","A fictional film set in the alluring world of one of the most stunning scandals to rock our nation, American Hustle tells the story of brilliant con man Irving Rosenfeld (Christian Bale), who along with his equally cunning and seductive British partner Sydney Prosser (Amy Adams) is forced to work for a wild FBI agent Richie DiMaso (Bradley Cooper). DiMaso pushes them into a world of Jersey powerbrokers and mafia that's as dangerous as it is enchanting. Jeremy Renner is Carmine Polito, the passionate, volatile, New Jersey political operator caught between the con-artists and Feds. Irving's unpredictable wife Rosalyn (Jennifer Lawrence) could be the one to pull the thread that brings the entire world crashing down."
From Up on Poppy Hill,2011,PG,"Animation, Drama, Family",A group of Yokohama teens look to save their school's clubhouse from the wrecking ball in preparations for the 1964 Tokyo Olympics.
While We're Young,2014,R,"Comedy, Drama, Mystery","Josh Srebnick is 44. He is married to Cornelia, 43, the daughter of Leslie Breitbart, a respected documentary filmmaker. The couple lives comfortably in New York Village and gives the image of happiness. But things are not so rosy as they look: on a personal level, their relationships have been cooling down while they suffer from not having children. On a professional plane, things have deteriorated as well. Josh, who is also a documentary filmmaker like his father-in-law, has lost inspiration: he has been grappling with his last movie for eight years now without being able to complete it. To be true, Josh goes nowhere and his marriage is on the rocks. Things start changing when Josh and Cornelia meet another married pair: Jamie and Darby, a generation younger, express their admiration for Josh (Jamie wishing to become a documentary filmmaker himself). Plus, they are much cooler, smarter and more uninhibited than the two forty-odds. Could they help Josh and Cornelia to revive their couple? Could they give Josh an extra boost of energy to make a fresh start in his art?"
Inherent Vice,2014,R,"Comedy, Crime, Drama","During the psychedelic 60s and 70s Larry ""Doc"" Sportello is surprised by his former girlfriend and her plot for her billionaire boyfriend, his wife, and her boyfriend. A plan for kidnapping gets shaken up by the oddball characters entangled in this groovy kidnapping romp based upon the novel by Thomas Pynchon."
The Maze Runner,2014,PG-13,"Action, Mystery, Sci-Fi","Awakening in an elevator, remembering nothing of his past, Thomas emerges into a world of about thirty teenage boys, all without past memories, who have learned to survive under their own set of rules in a completely enclosed environment, subsisting on their own agriculture and supplies. With a new boy arriving every thirty days, the group has been in ""The Glade"" for three years, trying to find a way to escape through the Maze that surrounds their living space (patrolled by cyborg monsters named 'Grievers'). They have begun to give up hope when a comatose girl arrives with a strange note, and their world begins to change with the boys dividing into two factions: those willing to risk their lives to escape and those wanting to hang onto what they've got and survive."
John Dies at the End,2012,R,"Comedy, Horror, Sci-Fi","It's a drug that promises an out-of-body experience with each hit. On the street they call it Soy Sauce, and users drift across time and dimensions. But some who come back are no longer human. Suddenly a silent otherworldly invasion is underway, and mankind needs a hero. What it gets instead is John and David, a pair of college dropouts who can barely hold down jobs. Can these two stop the oncoming horror in time to save humanity? No. No, they can't."
Anna Karenina,2012,R,"Drama, Romance","In 1874, in the Imperial Russia, the aristocratic Anna Karenina travels from Saint Petersburg to Moscow to save the marriage of her brother Prince Oblonsky, who had had a love affair with his housemaid. Anna Karenina has a cold marriage with her husband, Count Alexei Karenin, and they have a son. Anna meets the cavalry officer Count Vronsky at the train station and they feel attracted by each other. Soon she learns that Vronsky will propose to Kitty, who is the younger sister of her sister-in-law Dolly. Anna satisfactorily resolves the infidelity case of her brother and Kitty invites her to stay for the ball. However, Anna Karenina and Vronsky dance in the ball, calling the attention of the conservative society. Soon they have a love affair that will lead Anna Karenina to a tragic fate."
Jiro Dreams of Sushi,2011,PG,Documentary,"In the basement of a Tokyo office building, 85 year old sushi master Jiro Ono works tirelessly in his world renowned restaurant, Sukiyabashi Jiro. As his son Yoshikazu faces the pressures of stepping into his father's shoes and taking over the legendary restaurant, Jiro relentlessly pursues his lifelong quest to create the perfect piece of sushi."
Wreck-It Ralph,2012,PG,"Animation, Adventure, Comedy","Wreck-It Ralph longs to be as beloved as his game's perfect Good Guy, Fix-It Felix. Problem is, nobody loves a Bad Guy. But they do love heroes... so when a modern, first-person shooter game arrives featuring tough-as-nails Sergeant Calhoun, Ralph sees it as his ticket to heroism and happiness. He sneaks into the game with a simple plan -- win a medal -- but soon wrecks everything, and accidentally unleashes a deadly enemy that threatens every game in the arcade. Ralph's only hope? Vanellope von Schweetz, a young troublemaking ""glitch"" from a candy-coated cart racing game who might just be the one to teach Ralph what it means to be a Good Guy. But will he realize he is good enough to become a hero before it's ""Game Over"" for the entire arcade?"
Danny Collins,2015,R,"Biography, Comedy, Drama","Inspired by a true story, Al Pacino stars as aging 1970s rocker Danny Collins, who can't give up his hard-living ways. But when his manager (Christopher Plummer) uncovers a 40 year-old undelivered letter written to him by John Lennon, he decides to change course and embarks on a heartfelt journey to rediscover his family, find true love and begin a second act."
Stonehearst Asylum,2014,PG-13,"Drama, Horror, Mystery","A couple of days before 1899 Christmas, the Oxford new graduate Dr. Edward Newgate arrives at the Stonehearst Asylum to complete training for his specialty of asylum medicine. He is met by armed men who take him to Dr. Silas Lamb, who welcomes his help and takes him under his wing. Edward is shocked to see the methods that Dr Lamb uses to run this asylum. He becomes infatuated with Eliza Graves, one of the patients who is a lady of status and does not seem to belong. One night, Edward overhears a knocking from the bowels of the facility and is shocked to find that everything is not as it seems in this place and that his uneasy feelings may be justified. What will Edward Choose?"
Shadow Dancer,2012,R,"Drama, Thriller","In 1993, the IRA member Collette is arrested in the London tube after leaving a bomb in the facility. MI-5 Agent Mac offers a deal to Collette to become an informer. She accepts the agreement to protect her son and in return Mac offers a new identity to her after a period working for the MI-5. Soon Mac learns that his superior Kate Fletcher is using Collette to protect her mole inside the Irish organization. Mac tries to find the identity of the informer and protect Collette."
The Giant Mechanical Man,2012,PG-13,"Comedy, Drama, Romance",An offbeat romantic comedy about a silver-painted street performer and the soft spoken zoo worker who falls for him.
She's Funny That Way,2014,R,Comedy,"On the set of a playwright's new project, a love triangle forms between his wife, her ex-lover, and the call girl-turned-actress cast in the production."
Killing Them Softly,2012,R,"Crime, Thriller","Three amateurs stickup a Mob protected card game, causing the local criminal economy to collapse. Brad Pitt plays the hitman hired to track them down and restore order."
The First Time,2012,PG-13,"Comedy, Drama, Romance","One night at a friend's house party, a somewhat confident Dave meets a cool and artistic girl named Aubrey. She helps him with his romantic feelings for Jane. They talk about Dave's feelings, and he believes he should tell Jane how he feels. They soon get interrupted by the cops showing up, but decide to walk home together. As the weekend begins, the new friends start to hang out, as well as discuss their relationship... And their virginity. Dave becomes more and more interested in Aubrey, and she reciprocates. Even though she is involved with Roni (her soon to be ex), she has trouble denying her true feelings for Dave. There is one problem, however, Dave is going off to college in another city. Aubrey still has one year left of high school. Will they be able to handle a long distance relationship? Is their love strong enough? Or will Dave chose Jane, the girl of his dreams instead."
No One Lives,2012,R,"Horror, Thriller",A gang of ruthless highway killers kidnap a wealthy couple traveling cross country only to shockingly discover that things are not what they seem.
This Is 40,2012,R,"Comedy, Romance","Pete (Paul Rudd) and Debbie (Leslie Mann) are turning 40. But instead of celebrating, they're mired in a mid-life crisis with unruly kids, debt and unhappiness mounding. Pete's record label is failing and Debbie is unable to come to terms with her aging body. As Pete's 40th birthday party arrives, Pete and Debbie are going to have to rely on family, friends, employees, fitness trainers, aging rockers and ultimately each other to come to terms with life at age 40."
The To Do List,2013,R,"Comedy, Romance","Brandy Klark (Aubrey Plaza) has just graduated from high school where she excelled in every subject, except real-life sexual education. When her older sister tells her how important it is to be experienced, Brandy writes out a sex to do list for herself for the summer. Her friend Cameron might be the perfect guinea pig while she sets her sights on the popular and sexy Rusty Waters as the ultimate end goal. But once feelings get in the way, it becomes much harder for Brandy to check off the remaining items on her sex to do list."
Apartment 143,2011,R,"Horror, Thriller","A parapsychologist team are asked to investigate Apartment 143. The White family, who have lost their wife/mother in a car crash, have been experiencing strange things since they moved in to the apartment. But, they were also experiencing things at their old place. After the team set up their equipment, they get some compelling evidence on camera."
Starbuck,2011,R,"Comedy, Drama, Romance","At 42, David lives the life of an irresponsible adolescent. He coasts through life with minimal effort and maintains a complicated relationship with Valerie, a young policewoman. Just as she tells him she's pregnant, David's past resurfaces. Twenty years earlier, he began providing sperm to a fertility clinic in exchange for money. He discovers he's the father of 533 children, 142 of whom have filed a class action lawsuit to determine the identity of their biological father, known only by the pseudonym Starbuck."
The Collection,2012,R,"Horror, Thriller","Arkin escapes with his life from the vicious grips of ""The Collector"" during an entrapment party where he adds beautiful Elena to his ""Collection."" Instead of recovering from the trauma, Arkin is suddenly abducted from the hospital by mercenaries hired by Elena's wealthy father. Arkin is blackmailed to team up with the mercenaries and track down The Collector's booby trapped warehouse and save Elena."
Sound of My Voice,2011,R,"Drama, Mystery, Sci-Fi","Two documentary filmmakers are determined to expose the truth about Maggie, the mysterious leader of a secretive cult who claims to belong to the year 2054. Although they believe that everything is nothing more than a fraud, the filmmakers end up driven by her charisma."
Moonrise Kingdom,2012,PG-13,"Adventure, Comedy, Drama","Set on an island off the coast of New England in the 1960s, as a young boy and girl fall in love they are moved to run away together. Various factions of the town mobilize to search for them and the town is turned upside down - which might not be such a bad thing."
Phil Spector,2013,TV-MA,"Biography, Drama, Music","Record producer Phil Spector hires Bruce Cutler to defend him when he's accused of murder. Cutler persuades Linda Kenney Baden to advise him. While the prosecution's story is contradicted by facts in the case, there is convincing circumstantial evidence against Spector, not the least of which is his appearance. As Baden gradually takes over the defense, even as she is ill with pneumonia, she must find a way to introduce ballistic evidence in a dramatic enough fashion to plant doubt in the jury's mind. Calling Specter to testify may be the only way to stage the evidence. She coaches him and rehearses him: can he (and she) pull it off?"
Your Sister's Sister,2011,R,"Comedy, Drama","Mourning the death of his brother, Jack's friend Iris invites him to her father's cottage for some alone time to recuperate. Unbeknownst to either of them, Iris's sister Hannah is also staying at their father's cottage recovering from her recent break-up. One entire bottle of tequila later, Jack and Hannah wake up to find Iris at the door. They each have secrets that they're tying to keep and they each have feelings that they're trying to sort out."
Snow White and the Huntsman,2012,PG-13,"Action, Adventure, Drama","Snow White, imprisoned daughter of the late king, escapes just as the Magic Mirror declares her the source of the Evil Queen's immortality. The Queen sends her men, led by a local huntsman, to bring her back. But upon her capture, the huntsman finds he's being played and turns against the Queen's men, saving Snow White in the process. Meanwhile, Snow's childhood friend, William, learns that she is alive and sets off to save her."
The Way Way Back,2013,PG-13,"Comedy, Drama","Duncan (Liam James) is not a popular kid and it doesn't look like the summer is going to offer anything better for him. His mother's boyfriend has invited them to his beach house where Duncan is expected to improve his personality and physical appearance, and meet girls. But his would-be step-sister doesn't want anything to do with him and his shy demeanor makes it difficult for him to meet anybody new. When Duncan wanders into the Water Wizz, the local water park, he meets adult employees who are just having fun. Owen (Sam Rockwell) lets Duncan work with him and their new-found bond will help each other mature and find their place in life. Which for Duncan means standing up to his would-be step-father, having a conversation with the girl next door and being more comfortable with who he is."
We're the Millers,2013,R,"Comedy, Crime","After being robbed of a week's take, small-time pot dealer David is forced by his boss to go to Mexico to pick up a load of marijuana. In order to improve his odds of making it past the border, David asks the broke stripper Rose and two local teenagers to join him and pretend they're on a family holiday."
October Baby,2011,PG-13,Drama,"As the curtain rises, Hannah hesitantly steps onto the stage for her theatrical debut in college. Yet before she can utter her first lines, Hannah-unscripted-collapses in front of the stunned audience. After countless medical tests, all signs point to one underlying factor: Hannah's difficult birth. This revelation is nothing compared to what she then learns from her parents: she was actually adopted ... after a failed abortion attempt. Bewildered, angered, and confused, Hannah turns for support to Jason, her long-time friend. Encouraged by his adventurous spirit, Hannah joins his group of friends on a Spring Break road trip, embarking on a journey to discover her hidden past ... and find hope for her unknown future. In the midst of her incredible journey, Hannah learns that every life is beautiful."
People Like Us,2012,PG-13,"Comedy, Drama","Workaholic and sleazy businessman Sam is extremely reluctant to leave New York and go to his father's funeral. When he finally arrives, it becomes apparent that his mother and girlfriend are disappointed in him for ""running away"" whenever times get too emotional. Soon afterwards, he discovers that his father was sleeping around with another woman, and that Sam actually has a half-sister whom he never knew existed. His father has willed her $150,000 and has left Sam with the task of getting it to her. Frankie is a bartender also wrapped up in work just like her half-brother, and she has had a bad past and has now been left with the job of being a single parent to her troublemaker son, Josh. Josh is eleven years old but curses like a sailor and constantly makes fart jokes and sex jokes, making him popular with the bad kid crowd at school, although behind the act, Josh is depressed and lonely. Now Sam has to find a way to fix the past and reunite his mom, nephew and half-sister together at last, but it won't be easy."
10 Years,2011,PG-13,"Comedy, Drama, Romance","The night before their high school reunion, a group of friends realize they still haven't quite grown up in some ways."
Only Lovers Left Alive,2013,R,"Comedy, Drama, Fantasy","Adam (Tom Hiddleston), an underground musician, reunites with his lover for centuries (Tilda Swinton) after he becomes depressed and tired with the direction human society has taken. Their love is interrupted and tested by his wild and uncontrollable little sister (Mia Wasikowska)."
Drift,2013,R,"Drama, Sport","In the 70s two brothers battle killer waves, conservative society and ruthless bikers to kick-start the modern surf industry."
The Spectacular Now,2013,R,"Comedy, Drama, Romance","Sutter Keely lives in the now. It's a good place for him. A high school senior, charming and self-possessed, he's the life of the party, loves his job at a men's clothing store, and has no plans for the future. A budding alcoholic, he's never far from his supersized, whiskey-fortified thirst-master cup. But after being dumped by his girlfriend, Sutter gets drunk and wakes up on a lawn with Aimee Finecky hovering over him. She's different: the ""nice girl"" who reads science fiction and doesn't have a boyfriend. While Aimee has dreams of a future, Sutter lives in the impressive delusion of a spectacular now, yet somehow, they're drawn together."
Piranha 3DD,2012,R,"Comedy, Horror","Having awoken from their spring break extravaganza at Lake Victoria, the swarm heads upstream where they look to make a meal out of Big Wet, a local water park where when it comes to fun, nobody does it wetter! Though they came to get wet, get loaded and get some, the staff and patrons get more than they bargained for when they must face the fiercest, most bloodthirsty piranhas yet. Lead by the strong-willed, studious Maddy and her friends, Barry and Kyle, the trio must dive in and take on these man-eating creatures using every ounce of their being but can they be stopped?"
