Title,Year,Genre,Rated,Plot
Hollywood Homicide,2003,"Action, Comedy, Crime",PG-13,"When not solving murders in Tinseltown, Detective Joe Gavilan and his rookie partner Kasey Calden both moonlight in other fields: Gavilan sells real estate (poorly), and Calden aspires to become an actor (Brando, namely). Assigned to the vicious in-club slaying of a promising young rap act, the two detective delve into the recording industry where they hope to find answers - ideally ones that also come with property buyers or auditions."
Seabiscuit,2003,"Drama, History, Sport",PG-13,"It's the Depression, and everyone needs to hold onto a dream to get them through the bad times. Car maker Charles Howard is no different, he who is trying to rebuild his life after the tragic death of his only child and the resulting end of his first marriage. With second wife Marcela at his side, Charles wants to get into horse racing and ends up with a team of underdogs who are also chasing their own dream. The first is trainer Tom Smith, who has a natural instinct to spot the capabilities of horses. The second is the horse Tom chooses for Charles, Seabiscuit, an unconventional choice as despite his pedigreed lineage, Seabiscuit is small at fifteen and a half hands tall with a slight limp. But Tom can see something in Seabiscuit's nature to make him a winner, if only Seabiscuit can be retrained from his inbred losing ways. And third is the jockey they decide to hire, Johnny ""Red"" Pollard, so nicknamed because of his hair color. Like Tom, Red has always shown a natural way with horses, but a difficult upbringing due solely to the Depression has made Red an angry young man, which has gotten him into trouble both on and off the track. And he is large for a jockey, and thus he always feels the need to battle the weight issue. Another common trait between Tom, Seabiscuit and Red is that they have been called crazy by those in traditional horse racing circles. Against the odds, Seabiscuit, with his human team behind him, does show his winning abilities and captures the imagination of all those others wanting to believe in a dream. But Seabiscuit's victories are at smaller races. As such, Charles aims high and wants Seabiscuit to race Triple Crown winner War Admiral, who by all accounts is a winner and should be a winner. If given the chance to race against War Admiral (whose owner doesn't want to race as he feels he has nothing to prove), will Seabiscuit and his team continue to keep the dreams of the common Americans alive? Through the good and the bad, especially as Red and Seabiscuit face mirroring problems, they all have to decide what is in their collective best interest."
Freddy vs. Jason,2003,"Action, Horror",R,"It's been nearly ten years since Freddy Krueger terrorized people in the dreams, and the towns folk want to keep him erased from their memory. Freddy still has one more plan on getting back to Elm Street. He resurrects Jason Voorhees and sends him off to kill. The more bodies which fall to the ground, the stronger in which Freddy becomes. This is until, Freddy realizes that Jason isn't going to step aside easily, and must be taken down himself."
Dumb and Dumberer: When Harry Met Lloyd,2003,Comedy,PG-13,"It's the 1980s, and it's the moment that Lloyd Christmas and Harry Dunne meet. The two individuals are seen by many as 'special', and become best friends as soon as they meet. Principal Collins and his lover, the lunch lady Ms. Heller, want to make as much money out of scams, and their next idea is to create a special needs class. Ms. Heller is the teacher, and they have assigned Harry and Lloyd to round the special students up. School News Reporter Jessica is suspicious though, and desperately tries to find out the truth, even if it means gaining Harry and Lloyd's help."
Comedian,2002,"Documentary, Comedy",R,"Fresh from the success of his sitcom, comedian Jerry Seinfeld decided to do the unimaginable: he completely retired his stand-up act, electing to start over again by developing entirely new material. ""Comedian"" follows Seinfeld through this process, as he rehearses in front of small comedy club audiences, meets with fellow comics and finally appears before a national audience."
Brother Bear,2003,"Animation, Adventure, Comedy",G,"Kenai, a man who resents bears after a fight with one kills his older brother, is turned into a bear so he can see life from a different perspective. He is visited by the spirit of his older brother, and is told that, if he wishes to be changed back into a human, he must travel to the place where the lights touch the Earth, in other words, the Northern Lights. Fueled by hope, Kenai sets off on his long journey, and, along the way, encounters a younger bear, Koda, who is a chatterbox and a fun-loving spirit; Koda is trying to find his way back to his home, the Salmon Run, which, coincidentally, is right next to where the lights touch the Earth. Koda and Kenai team up, but are hunted by Kenai's other brother, Denahi, who fears that the bear has killed Kenai as well. Along the way, the two bears meet other friends, including two moose, some rams, and some mammoths, with whom they hitch a ride. However, Kenai discovers that he likes being a bear, and realizes that humans aren't only afraid of bears; through Koda's eyes, the humans are the monsters, with their long spears. With a whole new view on life, Kenai makes a decision that will change his world forever."
American Wedding,2003,Comedy,R,"Jim Levenstein has finally found the courage to ask his girlfriend, Michelle Flaherty to marry him. She agrees to get married, but the problems don't stop there for Jim. Now along with Paul Finch and Kevin Myers, Jim must plan the wedding. Unfortunately Steve Stifler is in town and won't let the wedding go past without having some fun himself, which includes setting up a secret bachelor party."
Under the Tuscan Sun,2003,"Comedy, Drama, Romance",PG-13,"Frances Mayes is a San Francisco-based literature professor, literary reviewer and author, who is struggling in writing her latest book. Her outwardly perfect and stable life takes an unexpected turn when her husband files for divorce. He wants to marry the woman with whom he is having an affair. Frances supported her husband financially as he was writing his own book, and he sues her for alimony despite her financial difficulties. And he wants to keep the house. Frances eventually accepts her best friend Patti's offer of a vacation, a gay tour of Tuscany which Patti and her lesbian partner Grace originally purchased for themselves before Patti found out that she is pregnant. The gift is a means to escape dealing with the divorce, from which Patti feels Frances may never recover emotionally without some intervention. Feeling that Patti's assessment may be correct in that she has too much emotional baggage ever to return to San Francisco, Frances, while in Tuscany, impulsively ditches the tour to purchase an aged villa, which ends up being a fixer-upper. Frances has many obstacles in eking out a productive and happy life in her new surroundings, that happy life which she hopes will eventually include rediscovering romantic love. In a discussion with sympathetic real estate agent Signor Martini, Frances outlines what emotionally she wants to accomplish with the villa, despite none of those items in a substantive material sense currently being in her life. In response, Martini tells her the story of a set of railroad tracks that were laid between Vienna and Venice before an engine that could make the trek being built, a train which now regularly travels the route. The question becomes whether Frances, in going through the process, will be laying another Vienna to Venice track, and if so whether that end product emotionally will be exactly as she envisions."
Malibu's Most Wanted,2003,"Comedy, Crime",PG-13,"Brad Gluckman (Kennedy) is a wannabe rap star from Malibu who acts and talks like he's from the ""'hood."" Concerned that his son is going to embarrass him during his campaign to become the governor of California, Brad's wealthy father and his campaign manager (Underwood), hire two trained actors (Diggs and Anderson) to disguise themselves as ""real life gangstaz"", and kidnap his son, dropping him off in the ""real hood"" in Compton, in an effort to scare the ghettofied attitude and behavior out of him."
The Rundown,2003,"Action, Adventure, Comedy",PG-13,"The Rock as a bounty hunter who attempts to square a debt by heading to the Amazon jungle to capture someone. The bounty hunter discovers that his quarry isn't the bad guy he'd been warned about, and the two team up in pursuit of riches stored in a mine in the Amazon."
Secondhand Lions,2003,"Comedy, Drama, Family",PG,"A boy named Walter is dropped by his mother Mae at his great-uncles' house. Later,Walter will find out his great-uncles' big secret. And rumors say that Hub & Garth, Walter's great uncles, have stolen much gold & money. (some say they stole it from Al Capone) Did they really steal that money or not?"
Mystic River,2003,"Crime, Drama, Mystery",R,"In the summer of 1975 in a neighborhood in Boston, 3 kids, Dave Boyle and two of his friends, Jimmy and Sean, are playing on the sidewalk when Dave gets abducted by two men and endures several days of sexual abuse. Eventually, Dave escapes traumatized throughout adulthood. Jimmy is an ex-con and a father of three, whose daughter Katie, is found dead and Dave becomes the number one suspect. Sean is a homicide detective, investigating Katie's murder, ends up finding himself faced with past and present demons as more is uncovered about Katie's murder. Learning Katie had a boyfriend, ballistics later turn up a gun belonging to the father, which then puts her boyfriend as the suspect. Will Sean find out who killed Katie? Will Jimmy make it through the investigation? And will Dave ever find out what really happened when he was abducted?"
Biker Boyz,2003,"Action, Drama",PG-13,"A mythic motorcycle tale of father and son"", this is the story of Manuel Galloway, also known as ""the King of Cali"", the president of a motorcycle club whose members are all African-American men, mostly white-collar workers who exchange their suits and ties at night and on weekends for leather outfits and motorcycle helmets. The focus of this story takes place at an annual drag-racing event in Fresno, as Manuel tries to retain his championship title."
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",PG-13,"This swash-buckling tale follows the quest of Captain Jack Sparrow, a savvy pirate, and Will Turner, a resourceful blacksmith, as they search for Elizabeth Swann. Elizabeth, the daughter of the governor and the love of Will's life, has been kidnapped by the feared Captain Barbossa. Little do they know, but the fierce and clever Barbossa has been cursed. He, along with his large crew, are under an ancient curse, doomed for eternity to neither live, nor die. That is, unless a blood sacrifice is made."
Matchstick Men,2003,"Comedy, Crime, Drama",PG-13,"Meet Roy and Frank, a couple of professional small-time con artists. What Roy, a veteran of the grift, and Frank, his ambitious protégé, are swindling these days are ""water filtration systems,"" bargain-basement water filters bought by unsuspecting people who pay ten times their value in order to win bogus prizes like cars, jewelry and overseas vacations--which they never collect. These scams net the flim-flam men a few hundred here, another thousand there, which eventually adds up to a lucrative partnership. Roy's private life, however, is not so successful. An obsessive-compulsive agoraphobe with no personal relationships to call his own, Roy is barely hanging on to his wits, and when his idiosyncrasies begin to threaten his criminal productivity he's forced to seek the help of a psychoanalyst just to keep him in working order. While Roy is looking for a quick fix, his therapy begets more than he bargained for: the revelation that he has a teenage daughter--a child whose existence he suspected but never dared confirm. What's more troubling, 14-year-old Angela wants to meet the father she never knew. At first, Angela's appearance disrupts her neurotic father's carefully ordered routine. Soon, however, with his own unique spin on parenthood, Roy begins to enjoy a relationship he never dreamed of having with his daughter. But while he develops paternal feelings for the 14-year-old, she's developing a fascination with Daddy's questionable career."
Lara Croft Tomb Raider: The Cradle of Life,2003,"Action, Adventure, Fantasy",PG-13,"Intrepid British archaeologist Lara Croft has made perhaps the most important archaeological discovery in history: an orb that leads to the mythical Pandora's Box. Unfortunately, the orb falls into the hands of Jonathan Reiss, an evil scientist who deals in killer viruses and hopes to sell the secrets of the box as the ultimate weapon. Recruited by British Intelligence to get the orb back from Reiss, Lara recruits Terry Sheridan, a British marine turned mercenary (and her former love interest) to help. The two embark on an adventure that spans continents in an attempt to regain the orb..."
The Eye,2002,"Drama, Horror, Thriller",R,"A blind girl gets a cornea transplant so that she would be able to see again. However, she got more than what she bargained for when she realised she could even see ghosts. And some of these ghosts are down right unfriendly. So she embarks on a journey to find the origins of her cornea and to reveal the history of the previous dead owner ..."
Head of State,2003,Comedy,PG-13,"One candidate for the presidency dies in an accident a couple of weeks before the election. Meanwhile the alderman Mays Gilliam becomes a hero when he rescues a woman and her cat from an old house that would blow up. However his fiancee Kim does not pay his bills and dumps him, and Gilliam loses everything including his fancy car. When Senator Bill Arnot sees the news on television, he plots a scheme with the party advisors Martin Geller and Debra Lassiter to invite Mays to be the party nominee and lose the election for the other candidate, Vice-President Brian Lewis. Four years later, he would be the candidate and would have the chance of winning the election. Mays has a terrible beginning of campaign but when his older brother Mitch Gilliam meets him in Chicago, he advises Mays to be himself. Will he have the chance to be the first African American President of the USA?"
Sylvia,2003,"Biography, Drama, Romance",R,"In 1956, aspiring American poet Sylvia Plath meets fellow poet Edward Ted Hughes at Cambridge, where she is studying. Enthralled with the genius of his writing, Sylvia falls in love with him even before meeting him, and he quickly falls in love with her. They eventually marry. Sylvia quickly learns that others are also enthralled with her husband, for a combination of his good looks, charisma, fame and success. Sylvia lives in her husband's professional shadow as she tries to eke out her own writing career, which doesn't come as naturally to her as it does to Ted. She also suspects him of chronic infidelity. Both issues affect Sylvia's already fragile emotional state, she who once tried to commit suicide earlier in her life. Through her pain and her anger, she does gain minor success as a writer, with a completed semi-autobiographical novel and a few well received collection of poems. Following, she tries to regain some happiness in her life with Ted, but has an alternate plan if that does not work out as she wants."
The Texas Chainsaw Massacre,2003,Horror,R,"Driving through the backwoods of Texas, five youths pick up a traumatized hitchhiker, who shoots herself in their van. Shaken by the suicide, the group seeks help from the locals, but their situation becomes even more surreal when they knock on the door of a remote homestead. It's quickly apparent the residents are a family of inbred psychopaths, and the unlucky youths suddenly find themselves running for their lives. In hot pursuit is a disfigured, chainsaw-wielding cannibal known as Leatherface."
Swimming Pool,2003,"Crime, Drama, Mystery",R,"Sarah Morton is a famous British mystery author. Tired of London and seeking inspiration for her new novel, she accepts an offer from her publisher John Bosload to stay at his home in Luberon, in the South of France. It is the off-season, and Sarah finds that the beautiful country locale and unhurried pace is just the tonic for her--until late one night, when John's indolent and insouciant French daughter Julie unexpectedly arrives. Sarah's prim and steely English reserve is jarred by Julie's reckless, sexually charged lifestyle. Their interactions set off an increasingly unsettling series of events, as Sarah's creative process and a possible real-life murder begin to blend dangerously together."
Stone Reader,2002,"Documentary, Drama",PG-13,N/A
Shattered Glass,2003,"Drama, History",PG-13,"This film tells the true story of fraudulent Washington, D.C. journalist Stephen Glass (Christensen), who rose to meteoric heights as a young writer in his 20s, becoming a staff writer at ""The New Republic"" for three years (1995-1998), where 27 of his 41 published stories were either partially or completely made up. Looking for a short cut to fame, Glass concocted sources, quotes and even entire stories, but his deception did not go unnoticed forever, and eventually, his world came crumbling down..."
Chasing Papi,2003,"Comedy, Romance",PG,"The successful and handsome wolf executive of the cosmetic industry Thomas Fuentes has three sexy Latin girlfriends: in Miami, the waitress Cici; in Chicago, the intellectual lawyer Lorena; and in New York, the ""daddy's girl"" Patricia. When the three women decide to visit him in Los Angeles, Thomas is in a big trouble."
Jackass: The Movie,2002,"Documentary, Action, Comedy",R,"Johnny Knoxville and his crazy friends appear on the big screen for the very first time in Jackass: The Movie. They wander around Japan in panda outfits, wreak havoc on a once civilized golf court, they even do stunts involving LIVE alligators, and so on. While Johnny Knoxvile and his pals put their life at risk, they are entertaining people at the same time. Get ready for Jackass: The Movie!!"
Northfork,2003,"Drama, Fantasy",PG-13,"In a near-empty Northfork orphanage, Father Harlan gently tends to Irwin, an eight-year-old who lies between a dream state and death. As orphanage caretaker Harlan reads aloud about Northfork's years-ago forced evacuation to make way for a hydro-electric dam, Irwin's imagination takes flight. While a team of six men evacuate the last remaining citizens of the town, Irwin, too, invents a cast of characters to prepare himself for his own evacuation. (the above states the caretaker - who is actually the priest - is reading about a years-ago evacuation. In the movie, the evacuation is taking place as the boy lays dying!)"
Freaky Friday,2003,"Comedy, Family, Fantasy",PG,"The wide generation gap between Tess Coleman and her teenage daughter Anna is more than evident. They simply cannot understand each other's preferences. On a Thursday night they have a big argument in a Chinese restaurant. Both receive a fortune cookie each from the restaurant owner's mother which causes them to switch bodies next day. As they adjust with their new personalities, they begin to understand each other more and eventually it's the mutual self-respect that sorts the things out."
2 Fast 2 Furious,2003,"Action, Crime, Thriller",PG-13,EX LAPD cop Brian O'Conner (Paul Walker) teams up with his ex-con friend Roman Pearce (Tyrese Gibson) and works with undercover U.S. Customs Service agent Monica Fuentes (Eva Mendes) to bring Miami-based drug lord Carter Verone (Cole Hauser) down.
Underworld,2003,"Action, Fantasy, Thriller",R,"A war has been raging between the Vampires and Lycan for centuries, Selene (Beckinsale) is a death dealer, assigned to hunt down and eradicate the last of the Lycan. When she comes across Michael Corvin (Speedman) who holds the key to end the war she must decide where her allegiances will lie."
Mondays in the Sun,2002,"Comedy, Drama",R,"2001: men without jobs, in the port city of Vigo. Six men worked in a shipyard, now shuttered. They pass the time at La Naval, a bar opened by one of them after the yard closed. They face their futures in makeshift ways: Rico has his bar and a sharp 15-year-old daughter, Reina has become a watchman and a moralizer, Lino fills out job applications, Amador drinks heavily and talks of his wife's return; José is married to Ana, who works at a cannery and tires of being the breadwinner amidst José's emasculated moodiness; Santa, the group's conscience and troublemaker, occasionally fantasizes about Australia. In truth, all are joined like Siamese twins, adrift."
Elf,2003,"Comedy, Family, Fantasy",PG,"Buddy was a baby in an orphanage who stowed away in Santa's sack and ended up at the North Pole. Later, as an adult human who happened to be raised by elves, Santa allows him to go to New York City to find his birth father, Walter Hobbs. Hobbs, on Santa's naughty list for being a heartless jerk, had no idea that Buddy was even born. Buddy, meanwhile, experiences the delights of New York City (and human culture) as only an elf can. When Walter's relationship with Buddy interferes with his job, he is forced to reevaluate his priorities."
The Magdalene Sisters,2002,Drama,R,"A thoroughly mind-provoking film about 3 young women who, under tragic circumstances, see themselves cast away to a Magdalene Asylum for young women in 1964. One of many like institutions, the asylums are run like prisons and young girls are forced to do workhouse laundry and hard labor. The asylum, one of many that existed in theocratic Catholic Ireland, is for supposedly 'fallen' women. Here, young girls are imprisoned indefinitely and endure agonizing punishments and a long, harsh working system which leaves them physically drained and mentally damaged. As the girls bond together, it soon becomes clear that the only way out of the Magdalene convent is to escape, but with twisted Sister Bridget running the wing, any chances seem limited..."
Alex & Emma,2003,"Comedy, Romance",PG-13,"A romantic comedy: Alex is an author whose writer's block and gambling debts have landed him in a jam. In order get loan sharks off his back, he must finish his novel in 30 days or wind up dead. To help him complete his manuscript he hires stenographer Emma. As Alex begins to dictate his tale of a romantic love triangle to the charming yet somewhat opinionated stenographer, Emma challenges his ideas at every turn. Her unsolicited yet intriguing input begins to inadvertently influence Alex and his story and soon real life begins to imitate art."
The Italian Job,2003,"Action, Crime, Thriller",PG-13,"Led by John Bridger (Donald Sutherland) and Charlie Croker (Mark Wahlberg) a team is assembled for one last heist to steal $35 million in gold bars from a heavily guarded safe in Venice, Italy. After successfully pulling off the heist, a team member, Steve (Edward Norton), driven by greed and jealousy, arranges to take the gold for himself and eliminate the remaining members of the group. Thinking the team dead, he returns to L.A. with the gold. Charlie and the survivors of this betrayal follow Steve L.A. to exact revenge against the traitor. Charlie enlists the help of John Bridger's daughter, Stella (Charlize Theron) - a professional safe cracker, to get revenge. With Stella and the hacking skills of Lyle (Seth Green), the explosives skills of ""Left Ear"" (Yasiin Bey), and the driving skills of ""Handsome"" Rob (Jason Statham) this new team plans and executes a daring heist that weaves through the freeways and subways of L.A."
House of the Dead,2003,"Action, Adventure, Horror",R,"This film is a prequel to all of the The House of the Dead video games. Set on an island off the coast, a techno rave party attracts a diverse group of college coeds and a Coast Guard officer. Soon, they discover that their X-laced escapades are to be interrupted by zombies and monsters that attack them on the ground, from the air, and in the sea, ruled by an evil entity in the House of the Dead..."
