Title,Year,Rated,Genre(s),Plot
Casino,1995,R,"Crime, Drama","This Martin Scorsese film depicts the Janus-like quality of Las Vegas--it has a glittering, glamorous face, as well as a brutal, cruel one. Ace Rothstein and Nicky Santoro, mobsters who move to Las Vegas to make their mark, live and work in this paradoxical world. Seen through their eyes, each as a foil to the other, the details of mob involvement in the casinos of the 1970's and '80's are revealed. Ace is the smooth operator of the Tangiers casino, while Nicky is his boyhood friend and tough strongman, robbing and shaking down the locals. However, they each have a tragic flaw--Ace falls in love with a hustler, Ginger, and Nicky falls into an ever-deepening spiral of drugs and violence."
Sense and Sensibility,1995,PG,"Drama, Romance","When Mr. Dashwood dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and their three daughters (Elinor, Marianne, and Margaret) in straitened circumstances. They are taken in by a kindly cousin, but their lack of fortune affects the marriageability of both practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars, his family disapproves and separates them. And though Mrs. Jennings tries to match the worthy (and rich) Colonel Brandon to her, Marianne finds the dashing and fiery John Willoughby more to her taste. Both relationships are sorely tried."
Four Rooms,1995,R,Comedy,"This movie features the collaborative directorial efforts of four new filmmakers, each of whom directs a segment of this comedy. It's New Year's Eve at the Mon Signor Hotel, a former grand old Hollywood hotel, now fallen upon hard times. Often using physical comedy and sight gags, this movie chronicles the slapstick misadventures of Ted, the Bellhop. He's on his first night on the job, when he's asked to help out a coven of witches in the Honeymoon Suite. Things only get worse when he delivers ice to the wrong room and ends up in a domestic argument at a really bad time. Next, he foolishly agrees to watch a gangster's kids for him while he's away. Finally, he finishes off the night refereeing a ghastly wager."
Ace Ventura: When Nature Calls,1995,PG-13,"Adventure, Comedy, Crime","Ace Ventura, emerging from self-imposed exile in a remote Himalayan hideaway, travels to Africa with explorer Fulton Greenwall to find a sacred bat which is told will avert a war between with Wachootoo and Wachati tribes. Of course, when Ace gets involved, all hell breaks loose..."
Money Train,1995,R,"Action, Comedy, Crime","Two foster brothers work as transit cops. While one's life is as good as it gets, the other's is a pit. After losing his job, getting dumped by his brother, and getting the crap kicked out of him by a loan shark for the umpteenth time, He implements his plan to steal the ""money train,"" a train carrying the New York Subway's weekly revenue. But when things go awry, will his brother be able to save him in time?"
Get Shorty,1995,R,"Comedy, Crime, Thriller","Some guys get all the luck, whether they like it or not. Chili Palmer happens to be in Hollywood collecting a gambling debt when he's struck by lightning (not literally). Called a natural for the movie business, he's snagged up by a producer. The rest is history."
Copycat,1995,R,"Drama, Mystery, Thriller","In San Francisco, the criminal psychologist Helen Hudson is specialized in serial-killers. During a trial, the accused Daryll Lee Cullum kills a police officer and tries to kill her and she becomes agoraphobic. Now Helen lives a reclusive life with her gay friend Andy that helps her. Sometime later, there is a wave of crimes and Detectives M.J. Monahan and Reuben Goetz are investigating the murder cases. Helen identifies that the murderer is copycatting notorious serial-killers and she anonymously contacts the Police Department. After fourteen phone calls, she is identified by the police. Detectives M.J. and Reuben visit her and Helen teams up with them and prepares the profile of the killer that wants to be famous. But soon the copycat killer Peter Foley contacts and stalks Helen and M.J. and Reuben give protection to her. Will they be capable to stop Foley before the next murder?"
Assassins,1995,R,"Action, Crime, Thriller","Robert Rath is a seasoned hitman who just wants out of the business with no back talk. But, as things go, it ain't so easy. A younger, peppier assassin named Bain is having a field day trying to kill said older assassin. Rath teams up with a computer hacker named Electra to defeat the obsessed Bain."
Powder,1995,PG-13,"Drama, Fantasy, Mystery","When sheriff Barnum investigates the death of an elderly rural resident, he discovers a teenage grandson living in the basement. Raised by his grandparents, he has experienced the world only through books, never leaving the family farm. He is sent to a state home for boys where he has trouble fitting in socially. His odd appearance and unusual abilities cause the small town residents to fear and ridicule him. However, not all are afraid. Some begin to view his potential and gifts with wonderment."
Leaving Las Vegas,1995,R,"Drama, Romance","Because his wife left him and took his son with her, screenwriter Ben Sanderson has started drinking, a lot. He's getting more and more isolated and he troubles women in bars because he wants to have sex with them. When he gets fired, he decides to leave everything behind and move to Las Vegas and drink himself to death. In Las Vegas he meets Sera, a prostitute with some problems as well who he moves in with."
Othello,1995,R,"Drama, Romance","Iago convinces Othello, The Moor of Venice that his wife, Desdemona has been unfaithful. Iago is an evil, manipulative character with his own agenda. A plot of jealousy and rage transpires in this classic Shakespearean tale."
Now and Then,1995,PG-13,"Comedy, Drama, Romance","Roberta, Teeny, Samantha and Chrissy have been busy growing up, but they always remembered the promise they made to be there for each other. Now they're together again to relive the greatest summer of their lives."
Persuasion,1995,PG,"Drama, Romance","Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ..."
The City of Lost Children,1995,R,"Fantasy, Sci-Fi","Set in a dystopian society, someone is kidnapping the children. Krank and his band of clones are using the children to harvest their dreams. Then they kidnap Denree, the brother of One, a fairground strongman. One sets out to find his brother."
Shanghai Triad,1995,R,"Crime, Drama, Romance","Uncle Liu brings his cousin to Shanghai to work for 'Boss,' the leader of a powerful drug empire in the 1930's. Shuisheng, a simple country boy is awed and overwhelmed by the opulence and immense wealth he is suddenly surrounded by. He is to be the attendant of Xiao Jingbao, the new mistress of 'Boss.' While he fumbles with the demands of his new role, much intrigue is going on around him, well beyond his bewildered perception. Xiao Jingbao is having a tumultuous affair, Fat Yu is starting a gang war, and 'Boss' is beginning to suspect that one of his trusted men is not loyal."
Dangerous Minds,1995,R,"Biography, Drama","Louanne Johnson is an ex-marine, hired as a teacher in a high-school in a poor area of the city. She has recently separated from her husband. Her friend, also teacher in the school, got the temporary job for her. After a terrible reception from the students, she tries unconventional methods of teaching (using karate, Bob Dylan lyrics etc) to gain the trust of the students."
Twelve Monkeys,1995,R,"Mystery, Sci-Fi, Thriller","An unknown and lethal virus has wiped out five billion people in 1996. Only 1% of the population has survived by the year 2035, and is forced to live underground. A convict (James Cole) reluctantly volunteers to be sent back in time to 1996 to gather information about the origin of the epidemic (who he's told was spread by a mysterious ""Army of the Twelve Monkeys"") and locate the virus before it mutates so that scientists can study it. Unfortunately Cole is mistakenly sent to 1990, six years earlier than expected, and is arrested and locked up in a mental institution, where he meets Dr. Kathryn Railly, a psychiatrist, and Jeffrey Goines, the insane son of a famous scientist and virus expert."
Babe,1995,G,"Comedy, Drama, Family","Gentle farmer Arthur Hoggett wins a piglet named Babe at a county fair. Narrowly escaping his fate as Christmas dinner when Farmer Hoggett decides to show him at the next fair, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other farm animals, including Fly's jealous husband Rex, accept a pig who doesn't conform to the farm's social hierarchy?"
Carrington,1995,R,"Biography, Drama, Romance","The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's sexual orientation as with the fact that he was a conscientious objector."
Dead Man Walking,1995,R,"Crime, Drama","A convicted murderer on Death Row and the nun who befriends him. Through the portrayal of finely drawn characters and their interactions as the days, hours, and minutes tick down to the condemned man's execution, powerful emotions are unleashed. While Matthew Poncelet and Sister Prejean desperately try to gain a stay of execution from the governor or the courts, scenes are intercut from the brutal crime, gradually revealing the truth about the events that transpired. In addition to her temporal help, the nun also tries to reach out spiritually and assist as a guide to salvation."
Across the Sea of Time,1995,G,"Adventure, Drama, Family","A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today."
It Takes Two,1995,PG,"Comedy, Family, Romance","Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from getting married to Clarice, a conceited know-it-all, the girls get him to meet Amanda's case worker and switch lives to stop the wedding once and for all. Though things don't go exactly as planned when Alyssa gets adopted and Clarice moves up the wedding..."
Clueless,1995,PG-13,"Comedy, Romance","Cher, a high school student in Beverly Hills, must survive the ups and downs of adolescent life. Her external demeanor at first seems superficial, but rather it hides her wit, charm, and intelligence which help her to deal with relationships, friends, family, school, and the all-important teenage social life."
"Cry, the Beloved Country",1995,PG-13,"Drama, Thriller","South African church minister Steven Kumalo is summoned from his village to Johannesburg. There he finds that his son Absolom has been jailed in connection with a robbery in which a white man was killed. The father of the white man, James Jarvis, is a supporter of apartheid, the separation of the races which is the law of South Africa. When they encounter each other, both Kumalo and Jarvis come to unexpected realizations not only about their sons, but about the nature of their own humanity."
Richard III,1995,R,"Drama, Sci-Fi, War","William Shakespeare's classic play is brought into the present with the setting as Great Britian in the 1930s. Civil war has erupted with the House of Lancaster on one side, claiming the right to the British throne and hoping to bring freedom to the country. Opposing is the House of York, commanded by the infamous Richard who rules over a fascist government and hopes to install himself as a dictator monarch."
Dead Presidents,1995,R,"Action, Crime, Drama","This action film, directed by the Hughes brothers, depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn."" However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960's."
Restoration,1995,R,"Biography, Drama, History","An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of a spaniel dear to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry one of the King's mistresses in order to divert the suspicions of another one of his mistresses. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician."
Mortal Kombat,1995,PG-13,"Action, Adventure, Fantasy","Based on the popular video game of the same name ""Mortal Kombat"" tells the story of an ancient tournament where the best of the best of different Realms fight each other. The goal - ten wins to be able to legally invade the losing Realm. Outworld has so far collected nine wins against Earthrealm, so it's up to Lord Rayden and his fighters to stop Outworld from reaching the final victory..."
To Die For,1995,R,"Comedy, Crime, Drama","Suzanne Stone (Maretto) knows exactly what she wants. She wants to be a television newscaster and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary."
How to Make an American Quilt,1995,PG-13,"Comedy, Drama, Romance","Finn is a young graduate student, finishing a master's thesis, and preparing for marriage to her fiance Sam. But thoughts of the end of the free life, and a potential summer fling, intrude. She goes home to her grandmother, where, over the making of her wedding gift by a group of quilting-bee friends, laughter, bickering, love, and advice lead her toward a more open-eyed examination of her course."
Se7en,1995,R,"Crime, Drama, Mystery","A film about two homicide detectives' (Morgan Freeman and (Brad Pitt desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" (Kevin Spacey) sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer..."
Pocahontas,1995,G,"Animation, Adventure, Drama","This is the Disney animated tale of the romance between a young American Indian woman named Pocahontas and Capt. John Smith, who journeyed to the New World with other settlers to begin fresh lives. Her powerful father, Chief Powhatan, disapproves of their relationship and wants her to marry a native warrior. Meanwhile, Smith's fellow Englishmen hope to rob the Native Americans of their gold. Can Pocahontas' love for Smith save the day?"
When Night Is Falling,1995,R,"Drama, Romance","Camille and Martin are in love and teachers at a christian college; they get the opportunity to get a better job, but they would have to marry for that. But when Camille's dog dies, she recognizes that her love for Martin is not even as big as the love for her dog. After that, Camille gets to know Petra, and Petra falls in love with Camille. They meet again, but Camille is very unsure about her feelings. When Martin is away for a weekend, Camille and Petra meet in the Circus where Petra is working as an acrobat. They spend the night together, but Martin finds out about it and is shocked. He has an argument with Camille, and she goes burying her dog in the snow, and falls asleep..."
The Usual Suspects,1995,R,"Crime, Mystery, Thriller","Following a truck hijack in New York, five conmen are arrested and brought together for questioning. As none of them are guilty, they plan a revenge operation against the police. The operation goes well, but then the influence of a legendary mastermind criminal called Keyser Söze is felt. It becomes clear that each one of them has wronged Söze at some point and must pay back now. The payback job leaves 27 men dead in a boat explosion, but the real question arises now: Who actually is Keyser Söze?"
Mighty Aphrodite,1995,R,"Comedy, Fantasy, Romance","Lenny and Amanda have an adopted son Max who turns out to be brilliant. Lenny becomes obsessed with finding Max's real parents because he believes that they too must be brilliant. When he finds that Linda Ash is Max' real mother, Lenny is disappointed. Linda is a prostitute and porn star. On top of that, she is quite possibly the dumbest person Lenny has ever met. Interwoven is a Greek chorus linking the story with the story of Oedipus."
The Big Green,1995,PG,"Comedy, Family, Sport","Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of dramatic family crises, through the able assistance of a foreign exchange teacher and a former local sports hero as coaches."
Georgia,1995,R,"Drama, Music","Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems. Georgia lives a very ordered life with husband, house and children, and Sadie does everything to get her attention."
Home for the Holidays,1995,PG-13,"Comedy, Drama, Romance","After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics."
Il Postino,1994,PG,"Biography, Comedy, Drama","Pablo Neruda, the famous Chilean poet, is exiled to a small island for political reasons. On the island, the unemployed son of a poor fisherman is hired as an extra postman due to the huge increase in mail that this causes. Il Postino is to hand-deliver the celebrity's mail to him. Though poorly educated, the postman learns to love poetry and eventually befriends Neruda. Struggling to grow and express himself more fully, he suddenly falls in love and needs Neruda's help and guidance more than ever."
The Indian in the Cupboard,1995,PG,"Drama, Family, Fantasy",On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best friend. But these two presents turn out to be much more magic than the rest...
Eye for an Eye,1996,R,"Crime, Drama, Thriller","Karen McCann's eldest daughter is raped and murdered whilst on the phone with her. When the case against Robert Doob, the perpetrator, is dismissed because of a technicality, she starts following him and sees how he checks out his next victim, a woman he delivers groceries to. She tells the police, but is only warned she must stop following Doob. When she tries to warn the woman, she is shooed out of the house. Doob, having found out that Karen is following him, threatens to do something to her youngest daughter. She then seeks help from a group of vigilantes connected to a support group, in order to shoot Doob. However, a friend from the support group turns out to be an FBI agent investigating the very vigilante activity Karen is involved in and warns her that she will go to jail for the rest of her life unless it is self-defense. In the meantime, tension grows between Karen and her husband Mack, because he finds out she has secretly been taking self-defense classes and has been learning how to use a gun. When Doob makes another victim and is again released for lack of evidence, she finds a way to lure him into her house and kill him in self-defense."
Mr. Holland's Opus,1995,PG,"Drama, Music","Glenn Holland is a musician and composer who takes a teaching job to pay the rent while, in his 'spare time', he can strive to achieve his true goal - compose one memorable piece of music to leave his mark on the world. As Holland discovers 'Life is what happens to you while you're busy making other plans' and as the years unfold the joy of sharing his contagious passion for music with his students becomes his new definition of success."
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,R,"Comedy, Crime","""Don't Be a Menace to South Central While Drinking your Juice in the Hood"" is a parody of several U.S. films about being in the 'Hood', for instance ""Boyz n the Hood"", ""South Central"", ""Menace II Society"", ""Higher Learning"" and ""Juice"". We follow Ashtray as he returns to the place he grew up in and meet his father and his basket-case friends. Crazy stuff happens. For example, Ashtray is older than his father and his best friend Loc Dog's grandmother is a trigger-happy old lady who blames her eccentric-looking kid for not being tough enough."
Lawnmower Man 2: Beyond Cyberspace,1996,PG-13,"Action, Sci-Fi, Thriller","Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan."
French Twist,1995,R,Comedy,"Laurent is the local estate agent, a job that offers easy opportunties for his womanising. His wife beautiful wife Loli looks after his home and two children unaware of his many affairs. However, their world is turned upside down by the arrival of Marijo, an itinerant lesbian whose minivan breaks down nearby. The neglected Loli is drawn to the sensitive Marijo and when she learns of Laurent's infidelities, invites Marijo to move in with them. The arrangement takes an emotional toll on each of them, exacerbated by the arrival of a figure from Marijo's past. As they struggle with the situation and each other, all of their lives are changed forever."
Friday,1995,R,"Comedy, Drama","It is Friday and Craig Jones (Ice Cube) is unemployed, having, yesterday, been fired. He is lounging around his house with his friend Smokey (Chris Tucker), a rather incompetent weed dealer. Smokey's problem is that he tends to smoke, rather than sell, his product. This has lead to trouble with Smokey's supplier, Big Worm, who now wants his money, or his product back, or Smokey is a dead man. Then there's Deebo, the local bully, plus Craig's jealous, psychotic girlfriend, Joi, and Debbie, the neighbour Craig has a crush on. A lot can happen while lounging around your house on a Friday."
From Dusk Till Dawn,1996,R,"Action, Crime, Horror","After a bank heist in Abilene with several casualties, the bank robber Seth Gecko and his psychopath and rapist brother Richard Gecko continue their crime spree in a convenience store in the middle of the desert while heading to Mexico with a hostage. They decide to stop for a while in a low-budget motel. Meanwhile the former minister Jacob Fuller is traveling on vacation with his son Scott and his daughter Kate in a RV. Jacob lost his faith after the death of his beloved wife in a car accident and quit his position of pastor of his community and stops for the night in the same motel Seth and Richard are lodged. When Seth sees the recreational vehicle, he abducts Jacob and his family to help his brother and him to cross the Mexico border, promising to release them on the next morning. They head to the truck drivers and bikers bar Titty Twister where Seth will meet with his partner Carlos in the dawn. When they are watching the dancer Santanico Pandemonium, Seth and Richard fight with three bodyguards. But soon they discover that the bar is a coven of vampires and they need to fight until dawn to leave the place alive."
Fair Game,1995,R,"Action, Crime, Romance","Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her."
Kicking and Screaming,1995,R,"Comedy, Drama, Romance","After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies."
Les Misérables,1995,R,"Drama, History","Henri Fortin is poor and iliterate former boxer. Ziman is rich Jewish lawyer from Paris. During WWII they meet when Fortin agrees to drive Ziman's family to Switzerland. Intrigued by Victor Hugo's novel ""Les Miserables"", Fortin asks the Zimans to read that book to him during the travel. Before the end of movie every main character would see his character in situations similar to those in Hugo's novel."
Bed of Roses,1996,PG,"Romance, Drama","Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window."
Screamers,1995,R,"Sci-Fi, Thriller","(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms But man's greatest weapon has continued to evolve without any human guidance, and now it has devised a new mission: to obliterate all life. Col. Hendricksson (Peter Weller) is commander of a handful of Alliance soldiers still alive on Sirius 6B. Betrayed by his own political leaders and disgusted by the atrocities of this never-ending war, Hendricksson decides he must negotiate a separate peace with the New Economic Bloc's decimated forces. But to do so, he will have to cross a treacherous wasteland where the deadliest threat comes from the very weapons he helped to create."
The Crossing Guard,1995,R,"Drama, Thriller","After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiralling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At the end of the week, both men will find themselves on a collision course with each other."
The Juror,1996,R,"Drama, Thriller","When Annie Laird is selected as a juror in a big Mafia trial, she is forced by someone known as ""The Teacher"" to persuade the other jurors to vote ""not guilty"". He threatens to kill her son if she doesn't commit. When the trial is over, he can't let her go..."
Things to Do in Denver When You're Dead,1995,R,"Crime, Drama","Jimmy the Saint's business is videotaping the terminally-ill, so that they will be around to give 'Afterlife Advice' to their survivors. He hasn't been doing too well lately and has had to turn to loan-sharks to accomodate his failing business, as well as his expensive personal tastes. When an evil gangster-overlord buys up his note and demands a favor of Jimmy, in exchange for the interest that he can't afford, Jimmy capitulates. Jimmy is to scare someone for the gangster-overlord--really rough them up. Without giving too much away (spoiler), the scene goes down badly and Jimmy and his crew all end up with contracts on their heads for their trouble."
Antonia's Line,1995,R,"Comedy, Drama","In an anonymous Dutch village, a sturdy, strong-willed matriarch looks back upon her life, the generations of family and friends gathered around her table, and ponders the cyclical nature of time."
Once Upon a Time... When We Were Colored,1995,PG,"Drama, Romance","This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights."
White Squall,1996,PG-13,"Adventure, Drama","A true story about a group of American teenage boys who crew a school sailing ship to gain experience, discipline, or whatever their parents feel they lack. The voyage is a true adventure for them all but it has its downs as well as ups."
Dunston Checks In,1996,PG,"Comedy, Adventure, Family","Robert's a beleaguered concierge of the luxury hotel owned by Mrs. Dubrow. She tells Robert an undercover reviewer is coming and to look sharp. If he does well he might get a promotion and some time off to take his sons, Brian and Kyle, on vacation. But then the villainous jewel-thief Rutledge checks in with his specially trained orangutan, Dunston. And when Dunston gets loose and tries to escape a life of crime with the help of Brian and Kyle, things go just a little lunatic."
Black Sheep,1996,PG-13,Comedy,"Comedy about the prospective Washington State Governor Al Donnelly whose only stumbling block on the road to power is his embarrassing younger brother Mike. To keep him out of mischief, Al forces one of his aides, Steve Dodds to keep an eye on him during the election. However, this is easier said than done..."
Vampire in Brooklyn,1995,R,"Comedy, Fantasy, Horror","Maximillian is the only survivor from a race of vampires on a Caribbean Island, and as a vampire, he must find a mate to keep the line from ending. He knows that a child had been born to a woman who had a vampire father, and he searches for her in Brooklyn. Rita's mother, who has died in an asylum, was that woman and Rita has nightmares that she does not understand. Not knowing that she is part vampire, Max woos her and attempts to bring her to her blood sucking destiny. Even though Rita has strange dreams and actions, Justice, her partner, has feelings for her and does not want her involved with this stranger Max. But it is Rita who must decide her destiny."
