Title,Year,Genre,Plot
Little Voice,1998,"Comedy, Drama, Music","The pathetically shy LV lives the life of a recluse listening to her late father's old records in her room and in the process driving her abusive, loud-mouthed mother, Mari Hoff, to distraction. At night, however, when her father's ghost visits, LV sings the songs of the great divas such as Judy Garland, Marilyn Monroe and Shirley Bassey. One evening LV is overheard by one of her mother's loathsome boyfriends, the disastrous dead-end talent scout Ray Say, who recognizes her innate talent and realizes this is his last big chance for the glittering prizes. Gambling everything Ray Say forces LV to appear at a local run-down, seedy night club run by Mr. Boo. As preparations for the big event proceed apace LV meets the equally shy Billy, a pigeon-racing telephone engineer and they form a tentative, gentle friendship. The big night finally arrives and everything is in readiness, the band, the club and even a big agent from London, but what about LV?"
Urban Legend,1998,"Horror, Mystery","Urban Legend tells the story of a group of pretty college students at a remote New England university. The focus of the story is Natalie, a beautiful, academically-gifted student at the fictional Pendleton University. Natalie and her friends are all involved in the Folklore class being taught by Professor Wexler. Wexler regales his class with urban legends, which include Pendleton's own urban legend about a Psych professor who murdered six students at Stanley Hall 25 years ago. Natalie is the first one to suspect there's a killer on campus, especially after she has ties to all of the victims. No one, including her friends, Wexler, Dean Adams and security guard, of course, believes her until it's too late. Now she finds that she and her friends are part of the killer's ultimate urban legend."
Outside Ozona,1998,"Comedy, Drama, Romance","A serial killer is on the prowl in the badlands of Ozona, Oklahoma, and the travelers who intersect at a roadside cafeteria somewhere between Texas and New Mexico are destined to cross his path. They include a circus clown and his stripper girlfriend, grieving sisters, a trucker, and a woman who is taking her mother to see the ocean before she dies. Tying everything together even tighter is the presence of the local radio station, whose DJ and boss don't seem to be getting along too well."
Bride of Chucky,1998,"Comedy, Horror","Chucky hooks up with another murderous doll, the bridal gown-clad Tiffany, for a Route 66 murder spree with their unwitting hosts, two eloping high-school graduates."
Air Bud: Golden Receiver,1998,"Comedy, Family, Sport","Now in the 8th Grade, Josh discovers he has a great throwing arm and tries out for his school football team. It is then soon discovered that his dog, Buddy, can also make impossible catches, and the two become an unstoppable force. However, an evil duo of Russian circus-managers attempt to kidnap Buddy and use him as their main attraction, while the Timberwolves make it to the championship. Can Josh save Buddy before the big game?"
Whatever,1998,Drama,"A teen faces her impending adulthood in the carefree sex and drug revolution years of the early 80's prior to fears of AIDS. She lives with her bitter, divorced mother and her sadistic kid brother. Looking forward to a life based on her passion for art, she nevertheless gets in with the partying crowd which causes her to miss deadlines and poor grades which jeapordizes her future. Ultimately she ends up losing her virginity to an older artist wanna-be who she has had a long standing crush on."
In God's Hands,1998,"Action, Drama, Sport",In God's Hands is the story of big wave riders that go all over the globe searching to ride bigger and bigger waves. The story mostly follows Shane Dorian and his obsession with surfing. It also follows how they train for waves like that.
Varsity Blues,1999,"Comedy, Drama, Romance","In small-town Texas, high school football is a religion. The head coach is deified, as long as the team is winning and 17-year-old schoolboys carry the hopes of an entire community onto the gridiron every Friday night. In his 35th year as head coach, Bud Kilmer (Jon Voight) is trying to lead his West Canaan Coyotes to their 23rd division title. When star quarterback Lance Harbor (Paul Walker) suffers an injury, the Coyotes are forced to regroup under the questionable leadership of John Moxon (James Van Der Beek), a second-string quarterback with a slightly irreverent approach to the game. ""Varsity Blues"" explores our obsession with sports and how teenage athletes respond to the extraordinary pressures places on them."
Slam,1998,Drama,"Slam tells the story of Ray Joshua, an original, gifted young MC trapped in a war-zone housing project known as Dodge City. Unable to find a job, Ray copes with the despair and poverty of his neighborhood by using his wits and verbal talent."
High Art,1998,"Drama, Romance","Syd, who lives with her boyfriend James, goes to complain to her neighbor about the leak in the ceiling. Her neigbor is photographer Lucy Berliner and Syd starts to fall in love with her."
20 Dates,1998,"Biography, Comedy, Romance","Myles is divorced in L.A. He wants a love life and a film career. So he decides to go on 20 dates and find true love in front of a camera, making his first feature. His patient agent, Richard, finds a $60,000 investor, the shadowy Elie. Myles starts his search, sometimes telling his date she's being filmed, sometimes not. Elie wants sex and titillation, Myles wants it ""real."" Myles regularly talks with his old film teacher, Robert McKee, who wonders if love is possible in modern life. Half-way through the 20 dates, Myles meets Elisabeth; she's everything he desires and she likes him. Can he finish the 20 dates, satisfy Elie, and complete his film without losing Elisabeth?"
Pi,1998,"Drama, Horror, Mystery",Max is a genius mathematician who's built a supercomputer at home that provides something that can be understood as a key for understanding all existence. Representatives both from a Hasidic cabalistic sect and high-powered Wall Street firm hear of that secret and attempt to seduce him.
Shakespeare in Love,1998,"Comedy, Drama, History","Will Shakespeare is a known but struggling poet, playwright and actor who not only has sold his next play to both Philip Henslow and Richard Burbidge but now faces a far more difficult problem: he is bereft of ideas and has yet to begin writing. He is in search of his muse, the woman who will inspire him but all attempts fail him until he meets the beautiful Viola de Lesseps. She loves the theatre and would like nothing more than to take to the stage but is forbidden from doing so as only men can be actors. She is also a great admirer of Shakespeare's works. Dressing as a man and going by the name of Thomas Kent, she auditions and is ideal for a part in his next play. Shakespeare soon sees through her disguise and they begin a love affair, one they know cannot end happily for them as he is already married and she has been promised to the dour Lord Wessex. As the company rehearses his new play, Will and Viola's love is transferred to the written page leading to the masterpiece that is Romeo and Juliet."
The Rugrats Movie,1998,"Animation, Adventure, Comedy","Tommy faces responsiblity when Dil, his new baby brother is born. As with all newborns, the child becomes a bane to Tommy and the rest of his gang. Even Phil and Lil don't like them. So they decide to return Dil to where he came from, the hospital. But they get lost along the way, REALLY lost, and get into even more trouble with a circus. Can they find their way home and can Tommy and Dil just get along?"
The Siege,1998,"Action, Thriller","After the abduction by the US military of an Islamic religious leader, New York City becomes the target of escalating terrorist attacks. Anthony Hubbard, the head of the FBI's Counter-Terrorism Task Force in New York, teams up with CIA operative Elise Kraft to hunt down the terrorist cells responsible for the attacks. As the bombings continue, the US government responds by declaring martial law, sending US troops, led by Gen. Devereaux, into the streets of New York City."
The Faculty,1998,"Horror, Sci-Fi","A horror tale set in a High School where the students suspect the teaching staff of being aliens, who are intent on making the students their victims."
At First Sight,1999,"Drama, Romance","First Sight is true to the title from start to finish. Val Kilmer skates in the dark appears FIRST to Mira Sorvino car headlights driving lost searching for her retreat spa motel. Kilmers FIRST visual memory links him coincidently to his last. This is a true love drama with Nathan Lane providing laughs counseling visual therapy. All stars emotional vulnerability teach the audience learning love matters in art, architecture, education, parenting, massage and trees."
BASEketball,1998,"Comedy, Sport","Two losers from Milwaukee, Coop & Remer, invent a new game playing basketball, using baseball rules. When the game becomes a huge success, they, along with a billionaire's help, form the Professional Baseketball League where everyone gets the same pay and no team can change cities. Coop & Remer's team, the Milwaukee Beers is the only team standing in the way of major rule changes that the owner of the Dallas Felons wants to institute."
I Got the Hook Up,1998,Comedy,"Two broke buddies feel lucky when they come upon a truckload of cellular phones and begin selling them out of the back of their van. Trouble arises though, when the phones develop faults. The two friends then not only have to deal with unsatisfied customers but also the FBI."
I Still Know What You Did Last Summer,1998,"Horror, Mystery","Julie's back in college with her new friend, and they win a weekend trip to an island. On the way there, someone dies, and then the girls are tormented on the island."
There's Something About Mary,1998,"Comedy, Romance","Ted was a geek in high school, who was going to go to the prom with one of the most popular girls in school, Mary. The prom date never happened, because Ted had a very unusual accident. Thirteen years later he realizes he is still in love with Mary, so he hires a private investigator to track her down. That investigator discovers he too may be in love with Mary, so he gives Ted some false information to keep him away from her. But soon Ted finds himself back into Mary's life, as we watch one funny scene after another."
Patch Adams,1998,"Biography, Comedy, Drama","Patch Adams is determined to become a medical doctor because he enjoys helping people. Unfortunately, the medical and scientific community does not appreciate his methods of healing the sick, while the actual patients, medical professors, and hospital nurses all appreciate the work *he* can do, because they are unable to do it."
You've Got Mail,1998,"Comedy, Drama, Romance",The owner of a large bookstore chain starts putting the owner of a small local bookstore out of business. Meanwhile they have been corresponding over the internet without knowing who either of them are. They can't stand each other in person but over the internet they are very attracted. He finds out who she is but she doesn't know. He starts to like her more but she still hates him. He has to fix it.
Rushmore,1998,"Comedy, Drama","Max Fischer is a precocious 15-year-old whose reason for living is his attendance at Rushmore, a private school where he's not doing well in any of his classes, but where he's the king of extracurricular activities - from being in the beekeeping society to writing and producing plays, there's very little after school he doesn't do. His life begins to change, however, when he finds out he's on academic probation, and when he stumbles into love with Miss Cross, a pretty teacher of the elementary school at Rushmore. Added to the mix is his friendship with Herman Blume, wealthy industrialist and father to boys who attend the school, and who also finds himself attracted to Miss Cross. Max's fate becomes inextricably tied to this odd love triangle, and how he sets about resolving it is the story in the film."
Rounders,1998,"Crime, Drama","A young, reformed gambler must return to playing big stakes poker to help a friend pay off loan sharks, while balancing his relationship with his girlfriend and his commitments to law school."
The Harmonists,1997,"Biography, Drama, Music","Comedian Harmonists tells the story of a famous, German male sextet, five vocals and piano, the ""Comedian Harmonists"", from the day they meet first in 1927 to the day in 1934, when they become banned by the upcoming Nazis, because three of them are Jewish."
Can't Hardly Wait,1998,"Comedy, Romance","It's high school graduation and, like all seniors, they want to party. So, 500 high school seniors look forward to a party while, in the meantime, a boy wants to get a girl he's loved for years who just broke up with her boyfriend, and one head-case who wants revenge on a lifelong bully. So, the party comes, things develop. People have sex, drink, and go along with most of the guidelines of a high school graduation party."
Another Day in Paradise,1998,"Crime, Drama, Thriller","Bobbie is an addict and small-time thief. When one of his jobs goes bad, Mel is called in to patch him up. Mel offers him a chance at a bigger score. Over time, Mel and his girlfriend Sid become almost like parents to Bobbie and his girlfriend Rosie, but this can't last."
Elizabeth,1998,"Biography, Drama, History","This film details the ascension to the throne and the early reign of Queen Elizabeth the First, as played by Cate Blanchett. The main focus is the endless attempts by her council to marry her off, the Catholic hatred of her and her romance with Lord Robert Dudley."
Hav Plenty,1997,Comedy,"Lee Plenty is an almost broke would-be novelist and Havilland Savage is rich and very beautiful woman and his friend. When she invites him to her home for New Year's Eve, they start to build up a romance."
Pecker,1998,"Comedy, Drama",A Baltimore sandwich shop employee becomes an overnight sensation when a photographer's photos he's taken of his weird family become the latest rage in the art world.
I Went Down,1997,"Action, Comedy, Crime","Fresh out of prison, Git rescues a former best friend (now living with Git's girlfriend) from a beating at the hands of loan sharks. He's now in trouble with the mob boss, Tom French, who sends Git to Cork with another debtor, Bunny Kelly, to find a guy named Frank Grogan, and take him to a man with a friendly face at a shack across a bog. It's a tougher assignment than it seems: Git's a novice, Bunny's prone to rash acts, Frank doesn't want to be found (and once he's found, he has no money), and maybe Tom's planning to murder Frank, which puts Git in a moral dilemma. Then, there's the long-ago disappearance of Sonny Mulligan. What's a decent and stand-up lad to do?"
Paulie,1998,"Adventure, Comedy, Drama","Paulie, an intelligent parrot who actually talks, relates the story of his struggle to a Russian immigrant who works as a janitor at the research institute where he is housed and neglected. Paulies story begins many years earlier when he is given as a gift to a little girl who stutters. Eventually, he teaches the girl to speak correctly but is taken away by her father because he believes the girl cannot distinguish fantasy from reality because she believes the bird can talk. Paulie goes through a series of adventures with a pawn shop owner, an ageing widow, a Mexican-American troubadour and a would be thief before being taken to the institute where he now lives."
The Big One,1997,"Documentary, Comedy, Crime","Our intrepid defender of the working man, Michael Moore, documents his 1996 ""Downsize This!"" book tour across the USA. Shot on-the-cheap with a video camera, we once again watch our hero interview the working man at yet another plant closing, while also trying to get past corporate security guards to interview the millionaire CEOs."
Very Bad Things,1998,"Comedy, Crime, Thriller","A group of friends head to Las Vegas for a bachelor party.. only things go wrong and a woman is killed. Soon, the bodies are piling up and the friends find themselves turning against one another as the coverup builds."
Two Girls and a Guy,1997,"Comedy, Drama","Two girls, Carla and Lou meet on the street outside a loft waiting for their boyfriends. In a short time, they find out that they're waiting for the same guy - young actor Blake, who said that he loves only her to both of them but was actually leading double life for a few months already. Angry, they break into his loft and when he returns, a round of accusations and explanations begins."
Seventh Heaven,1997,Drama,The slightly kleptomanic 29-year-old Mathilde is experiencing strange swoonings since a few days. There she encounters a mysterious doctor who treats her with hypnosis therapy. As she gets ...
Madeline,1998,"Comedy, Family","The adventurous, young Madeline is very good at getting into trouble, but she's also fantastic in solving problems as well, and her school-mistress Miss Clavel is not too approving of her. The biggest problem comes up when Lord Covington decides to sell Madeline's school."
Cube,1997,"Drama, Mystery, Sci-Fi","Six different people, each from a very different walk of life, awaken to find themselves inside a giant cube with thousands of possible rooms. Each has a skill that becomes clear when they must band together to get out: a cop, a math whiz, a building designer, a doctor, an escape master, and a disabled man. Each plays a part in their thrilling quest to find answers as to why they've been imprisoned."
Why Do Fools Fall in Love,1998,"Biography, Drama, Music","In the mid-1980s, three women (each with an attorney) arrive at the office of New York entertainment manager Morris Levy. One is a singer from Los Angeles, formerly of the Platters; one is a petty thief from Philadelphia; one teaches high school in a small Georgia town. Each claims to be the widow of long-dead doo-wop singer-songwriter Frankie Lyman, and each wants years of royalties due to his estate, money Levy has never shared. During an ensuing civil trial, flashbacks tell the story of each one's life with Lyman, a boyish, high-pitched, dynamic performer, lost to heroin. Slowly, the three widows come together and establish their own bond."
One Tough Cop,1998,"Action, Crime","A detective tries to remain loyal to his partner, and his best friend - a mobster."
Henry Fool,1997,"Comedy, Drama","Socially inept garbage man Simon is befriended by Henry Fool, a witty roguish, but talentless novelist. Henry opens a magical world of literature to Simon who turns his hand to writing the 'great American poem'. As Simon begins his controversial ascent to the dizzying heights of Nobel Prize winning poet, Henry sinks to a life of drinking in low-life bars. The two friends fall out and lose touch until Henry's criminal past catches up with him and he needs Simon's help to flee the country."
Lethal Weapon 4,1998,"Action, Crime, Thriller","Martin Riggs and Roger Murtaugh, after escaping death from the previous movies are put on a hit list by The Triads. When blood thirsty mercenaries are on their tail they team up again with Leo Getz and Lorna Cole, a newcomer (Chris Rock) to finally put an end to the Triads for good."
Zero Effect,1998,"Comedy, Crime, Drama","Daryl Zero is a private investigator. Along with his assistant, Steve Arlo he solves impossible crimes and puzzles. Though a master investigator, when he is not working, Zero doesn't know what to do with himself. He has no social skills, writes bad music, and drives Arlo crazy. In his latest case, Zero must find out who is blackmailing a rich executive, and when his client won't tell him, why. The only problem with this case is Zero has done something he's never done before: got emotionally involved."
The X Files,1998,"Drama, Mystery, Sci-Fi","With problems appearing between FBI agents Fox Mulder and Dana Scully, a dangerous conspiracy is starting to appear. A deadly virus, which appears to be of extraterrestrial origin has appeared, which could destroy all life on Earth. With the help of a paranoid doctor, Alvin Kurtzweil, Mulder and Scully must act fast in order to save everyone on the planet."
What Dreams May Come,1998,"Drama, Fantasy, Romance","After Chris Nielsen dies in a car accident, he is guided through the afterlife by his spirit guide, Albert. His new world is beautiful and can be whatever Chris imagines. Even his children are there. But, when his wife, Annie, commits suicide and is sent to hell, Chris ignores Albert's warnings and journeys there to save her. Upon arrival, Chris finds that rescuing Annie will be more difficult than he'd imagined."
The Wedding Singer,1998,"Comedy, Music, Romance","Robbie Hart is singing the hits of the 1980s at weddings and other celebrations. He also can keep the party going in good spirit, he knows what to say and when to say it. Julia is a waitress at the events where Robbie performs. When both of them find someone to marry and prepare for their weddings, it becomes clear that they've chosen wrong partners."
Wag the Dog,1997,"Comedy, Drama","After being caught in a scandalous situation days before the election, the president does not seem to have much of a chance of being re-elected. One of his advisers contacts a top Hollywood producer in order to manufacture a war in Albania that the president can heroically end, all through mass media."
Velvet Goldmine,1998,"Drama, Music","1971: Glamrock explodes all over the world and challenges the seriousness within the flower power generation by means of glitter and brutal music. Brian Slade, a young rock star, inspires numerous teenage boys and girls to paint their nails and explore their own sexuality. In the end Slade destroys himself. Unable to escape the character role of ""Maxwell Demon"" that he created, he plots his own murder. When fans discover the murder is not real, his star falls abruptly and he is quickly forgotten about. 1984: Arthur, a journalist working for a New York newspaper, gets assigned the tenth anniversary story about the fake murder of Brian Slade. When Arthur was young and growing up in Manchester, he was more than a fan of Slade. Reluctantly he accepts the assignment and starts to investigate what happened to his old glamrock hero."
Vampires,1998,"Action, Horror, Thriller","The church has long known that vampires exist. However, it is discovered that a group of vampires are searching for a powerful doom for mankind. The Vatican then secretly enlists a team of vampire-hunters, led by Jack Crow, to hunt down and destroy the vampires before they find the crucifix."
U.S. Marshals,1998,"Action, Crime, Thriller","When a prisoner transport plane crashes, one prisoner, Mark Sheridan, skillfully escapes and saves lives at the same time. Deputy Sam Gerard and his team of U.S. Marshals pursue relentlessly, but Gerard begins to suspect that there is more to the exceptional fugitive than what he has been told. Meanwhile, Sheridan struggles to avoid capture while seeking answers of his own. Until the final scene, both Gerard and Sheridan are in jeopardy of the unknown."
The Thin Red Line,1998,"Drama, War","U.S. Army Private Witt (AWOL) is found and imprisoned on a troop carrier by his company First Sergeant, Welsh.The men of C Company,1st Battalion,27th Infantry Regiment,25th Infantry Division have been brought to Guadalcanal as reinforcements in the campaign to secure Henderson Field and seize the island from the Japanese. They arrive near Hill 210, a key Japanese position. Their task is to capture the hill at all cost. What happens next is a story developing about redemption and the meaningless of war. Regardless the outcome."
Tea with Mussolini,1999,"Drama, Comedy, War","In 1935 a group of elderly British women, whom the Italians have named the Scorpioni, have chosen Italy, specifically Florence, as a place to live to blend their proper British sensibilities with their love of Italian art and culture. One of those Scorpioni, Mary Walsh, works as the English secretary for Paolo Innocente, who, in part because of his own wife's adamant refusal, largely neglects his illegitimate adolescent son, Luca, despite Paolo's want for Luca to grow up to be a proper young man, much like the English. Luca has lived in an orphanage since his dressmaker mother's death, death a concept that Luca does not yet understand. As such, he often runs away looking for his mother. On a mutual agreement between Paolo and Mary, Mary becomes Luca's guardian, she who will receive help in raising Luca by her fellow Scorpioni and financial help from Paolo as needed. Associated with the Scorpioni is a brash younger nouveau riche Jewish-American woman named Elsa Morgenthal, who, because of her affection for Luca's mother to who she owed money, sets up a trust for Luca's future. Among the Scorpioni, Lady Hester Random, the widow of the former ambassador to Italy, in particular and Elsa do not get along because of their fundamental outward differences. The life for the Scorpioni changes with the onset of WWII, more specifically when Italy declares war on Britain and France. Despite all of the Scorpioni taken into custody of sorts by the Italians, they are eventually housed in the comforts of a hotel. Lady Hester wrongly believes it is her association with Mussolini that has gotten them into their comfortable surroundings, but which in reality was arranged and paid for by Elsa. Luca, who has just returned to Italy after attending school in Austria, helps Elsa with her efforts to assist those persecuted in Italy. Luca, now a teenager, has fallen in love with Elsa. As such, Luca is jealous of Elsa's professional and personal relationship with Italian lawyer Vittorio Fanfanni. Elsa's own situation becomes more precarious with the United States' entrance into the war, the Nazis' increasing persecution of Jews, and Luca discovering that Fanfanni has ulterior motives in his relationship with Elsa. Through it all, Mary still tries to be the voice of what is right to Luca, who may be tainted by his own immature teenaged thoughts during these difficult times."
Star Trek: Insurrection,1998,"Action, Adventure, Sci-Fi","While on a mission to observe the peaceful Ba'ku race, Lt. Commander Data suddenly behaves as if having to fear for his existence. The immortal Ba'ku, whose planet offers regenerative radiation and therefore incredible lifespans, live in harmony with nature and reject advanced technology. Their planet and their culture is secretly researched by the Federation associated with an alien race called the Son'a. But the Son'a intend to abduct the Ba'ku in order to take the planet for themselves and for the Starfleet officials who all would like to regenerate their bodies. But they did not think of the loyalty of Captain Jean-Luc Picard and the crew of the Enterprise-E to the Prime Directive."
Species II,1998,"Action, Horror, Sci-Fi",Mykelti Williamson and Justin Lazard are a pair of astronauts who make the first successful manned mission to Mars. Lazard's character gets infected by an alien and slowly begins to mutate. When they get back to Earth all he has on his mind is to have sex with Henstridge!
Snake Eyes,1998,"Crime, Mystery, Thriller","Ricky Santoro is a flamboyant and corrupt Atlantic City cop with a dream: become so well connected that he can become mayor. In lieu of that, he'll settle for keeping his comfortable lifestyle. On the night of the heavyweight boxing championship, Rick becomes mixed up in the assassination of the Secretary of Defense, an assassination involving his best friend. Becoming the investigating officer in the case, Rick soon uncovers a conspiracy to kill the Secretary and a mysterious woman in white. The conspiracy was shocking, but not half as shocking as the identity of its mastermind."
Slums of Beverly Hills,1998,"Comedy, Drama","Vivian's family are penniless nomads, moving from one cheap flat to another in Beverly Hills so she and her brothers can attend the city's schools. Uncle Mickey sends them money to survive. When Mickey's daughter Rita runs away from an asylum, Vivian's dad offers shelter to her if Mickey will pay for a plush flat. Vivian must babysit her adult cousin, making sure she gets to nursing school and avoids pills and booze. But Vivian has her own problems: she's curious about sex, likes an older neighbor kid, has inherited her mother's ample breasts, and wants a family that doesn't embarrass her. Can she help Rita, keep Uncle Mickey happy, and feel OK about her body and her family?"
Six Days Seven Nights,1998,"Action, Adventure, Comedy","Taking a romantic tropical island week off with her boyfriend, an ambitious, decisive New York girl agrees to help her magazine out by covering a story on a neighboring island. The only plane available is piloted by a laid-back heavy drinker with whom she shares a mutual dislike. But she has no choice and he can't refuse the money. When the plane crash-lands on an uninhabited island with little chance of rescue they both wish they had made other arrangements - at least to start with."
The Impostors,1998,Comedy,"In an attempt to resurrect the slapstick comedy of Laurel and Hardy or The Marx Brothers, Stanley Tucci and Oliver Platt team-up as two out-of-work actors who accidentally stowaway on a ship to hide from a drunken, belligerent lead actor who has sworn to kill them for belittling his talents. Of course, the lead actor end up on the ship as well. Also, a madman (Tony Shalhoub) plots the destruction of the ship and Steve Buscemi is a depressed, suicidal lounge singer named Happy Frank."
Senseless,1998,"Comedy, Romance","Darryl Witherspoon is a young black college student who wants to win annual junior analyst competition, which can land him a job in a big brokerage company. He becomes a guinea pig for the drug developed at the college which is promised to heighten all senses by ten times."
Saving Private Ryan,1998,"Drama, War","Opening with the Allied invasion of Normandy on 6 June 1944, members of the 2nd Ranger Battalion under Cpt. Miller fight ashore to secure a beachhead. Amidst the fighting, two brothers are killed in action. Earlier in New Guinea, a third brother is KIA. Their mother, Mrs. Ryan, is to receive all three of the grave telegrams on the same day. The United States Army Chief of Staff, George C. Marshall, is given an opportunity to alleviate some of her grief when he learns of a fourth brother, Private James Ryan, and decides to send out 8 men (Cpt. Miller and select members from 2nd Rangers) to find him and bring him back home to his mother..."
Safe Men,1998,"Comedy, Crime","Two untalented singers are mistaken for a pair of major league safe crackers in Providence, Rhode Island. The two are pressed into service by the local hoodlums and quickly find themselves in conflict with their professional colleagues. Romantic interest is added by the daughter of the underworld leader who won't date the men she knows are gangsters."
Rush Hour,1998,"Action, Comedy, Crime","Cultures clash and tempers flares as the two cops named Detective Inspector Lee a Hong Kong Detective and Detective James Carter FBI, a big-mouthed work-alone Los Angeles cop who are from different worlds discovers one thing in common: they can't stand each other. With time running out, they must join forces to catch the criminals and save the eleven-year-old Chinese girl of the Chinese consul named Soo Yung."
The Magic Sword: Quest for Camelot,1998,"Animation, Adventure, Comedy","During the times of King Arthur, the story of an adventurous brave girl, named Kayley, whose father, a Knight of the Round Table, is killed by Sir Ruber, a maniacal brute who steals Excalibur and ultimately threatens to seize King Arthur's Camelot. Kayley enlists the blind, reclusive knight-aspirant Garrett and a goofy two headed dragon to brave the Enchanted Forest and retrieve the magic sword. Their adventure is also, of course, fraught with danger."
The Prince of Egypt,1998,"Animation, Adventure, Drama","This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world."
