,Plot,Title,Year
14,"The intertwined lives and loves of three highly-ranked athletes striving for the national team; Chris bounces between the beds of male coach Terry and her female friend, competitor, and role model Tory.",Personal Best,1982
15,"In downtown Manhattan, a twenty-something boy ('Chris Parker')whose Father is not around and whose Mother is institutionalized, is a big Charlie Parker fan. He almost subconsciously searches for more meaning in his life and meets a few characters along the way.",Permanent Vacation,1980
16,"Hank and Frannie don't seem to be able to live together anymore. After a five-year relationship, lustful and dreamy Fanny leaves down-to-earth Hank on the anniversary of their relationship. Each one of them meets their dream mate, but as bright as they may seem, they are but a stage of lights and colours. Will true love prevail over a seemingly glamorous passion? Welcome to Coppola's Broadway-like romantic musical.",One from the Heart,1981
17,"The Night of San Lorenzo, the night of the shooting stars, is the night when dreams come true in Italian folklore. In 1944, a group of Italians flee their town after hearing rumours that the Nazis plan to blow it up and that the Americans are about to arrive to liberate them.",The Night of the Shooting Stars,1982
18,"A Polish contractor, Nowak, leads a group of workmen to London so they can provide cheap labor for a government official based there. Nowak (Irons) has to manage the project and the men as they encounter the tempations of the West and loneliness and separation from their families. Nowak is the only one of the group who speaks English, and he uses this as a tool over his team. When the unrest in Poland leads to a military takeover, Nowak is faced with a much more difficult situation than he expected.",Moonlighting,1982
19,"A collection of skits that made the Python troup famous, performed live at the Hollywood Bowl. Included are the singing philosophers, lumberjacks, the pope, and a suspiciously-male looking seabird vendor.",Monty Python Live at the Hollywood Bowl,1982
20,"John Flaherty is a young and ambitious American priest who arrives in the Papal sovereign city state of the Vatican in 1944 to take his holy orders as a Catholic priest. After distinguishing himself in combat in the World War II battlefields of northern Italy, he's assigned as the Vatican treasurer. With the Vatican strapped for money during the war, Flaherty soon makes illegal business deals with a corrupt U.S. Army sergeant named Varese, who deals goods on the local black market, which is connected to a ruthless Sicilian mobster named Don Appolini. Appolini agrees to fund Flaherty's operation for profit through his Swiss bank connections. Flaherty's mentor, Cardinal Santoni, the secretary to the elderly but powerful Pope, learns of Flaherty's business deals, but covers for Flaherty in order for them to rise in the ranks of the church against Santoni's rival, Cardinal Vinci. But Flaherty's double life as a black marketeer and priest takes a turn when he falls in love with a young French nun, named Clara, who knows of his dealings, but not of his true identity in the Catholic Church.",Monsignor,1982
21,"In September1973, in Chile, the American journalist Charles Horman arrives in Valparaiso with his friend Terry Simon to meet his wife Beth and bring her back to New York with him. However, they are surprised by the military coup d'état sponsored by the US Government to replace President Salvador Allende and Charles is arrested by the military force. His father Ed Horman, a conservative businessman from New York, arrives in Chile to seek out his missing son with Beth. He goes to the American Consulate to meet the Consul that promises the best efforts to find Charles while the skeptical Beth does not trust on the word of the American authorities. The nationalism and confidence of Ed in his government changes when he finds the truth about what happened with his beloved son.",Missing,1982
22,"Centred around a weekend party at the home of inventor Andrew Hobbs and his wife Adrian, attended by randy doctor Maxwell Jordan, his nurse Dulcy, renowned philosopher Dr.Leopold Sturgis and his fiancée, this is a light comedy concerning their various emotional, intellectual and sexual entanglements, loosely based on Ingmar Bergman's 'Smiles of a Summer Night' .",A Midsummer Night's Sex Comedy,1982
23,"A successful young L.A. doctor and his equally successful television-producer wife find their happily-ever-after life torn assunder when he suddenly confronts his long-repressed attraction for other men. Zach and Claire live a comfortable life secure in their love for one another when Bart, a swinging L.A. novelist, walks into Zach's office and awakens unfamiliar feelings in him. In a move which leaves him wracked with guilt, Zach cancels dinner with his wife in order to go out with Bart. He is inexplicably drawn to this man who seems intent on keeping him at arms distance. Why can't Bart allow their relationship to grow? he wonders. Exasperated, he asks Bart, ""Do you snore? Does anybody ever get a chance to find out?"" As Zach's absences become more and more frequent, Claire's concern manifests itself in the suspicion that he is having an affair with another woman. Jilted by Bart and feeling alone for the first time in his married life, Zach resolves to tell Claire the truth about himself. Predictably, Claire is shocked that she could have known so little about the man she has loved for so many years and accuses him of deceiving her from the very start.",Making Love,1982
24,"The adventures of a restless martial arts student called Dragon, who, while constantly pursuing a girl, gets involved in the affairs of a gang of thieves.",Dragon Strike,1982
25,"From a riddle-speaking butterfly, a unicorn learns that she is supposedly the last of her kind, all the others having been herded away by the Red Bull. The unicorn sets out to discover the truth behind the butterfly's words. She is eventually joined on her quest by Schmendrick, a second-rate magician, and Molly Grue, a now middle-aged woman who dreamed all her life of seeing a unicorn. Their journey leads them far from home, all the way to the castle of King Haggard...",The Last Unicorn,1982
26,"The friendship of a group of young friends struggling with teen sex, drugs, and work is jeopardized by a romantic interest which may turn pals into bitter rivals.",The Last American Virgin,1982
27,"A camp melodrama/comedy about Sexilia (a nymphomaniac), Sadec (a gay Islamic terrorist), Riza Niro (the son of the emperor of Tiran), and Queti (the daughter of a dry-cleaner). When Riza Niro discovers that Sadec and his colleagues are after him, he disguises himself as a punk rocker, and falls in love with the stunning Sexilia, his first straight relationship. Meanwhile Queti, Sexilia's ""biggest fan"", helps Sexilia come to terms with her new life-style.",Labyrinth of Passion,1982
28,"As the film opens on an Oklahoma farm during the depression, two simultaneous visitors literally hit the Wagoneer home: a ruinous dust storm and a convertible crazily driven by Red, the missus' brother. A roguish country-western musician, he has just been invited to audition for the Grand Ole Opry, his chance of a lifetime to become a success. However, this is way back in Nashville, Red clearly drives terribly, and he's broke and sick with tuberculosis to boot. Whit, 14, seeing his own chance of a lifetime to avoid ""growing up to be a cotton picker all my life,"" begs Ma to let him go with Uncle Red as driver and protege. Thus begins a picaresque journey both hilarious and poignant.",Honkytonk Man,1982
29,"The Soviets have developed a revolutionary new jet fighter, called ""Firefox"". Naturally, the British are worried that the jet will be used as a first-strike weapon, as rumours say that the jet is indetectable on radar. They send ex-Vietnam War pilot Mitchell Gant on a covert mission into the Soviet Union to steal Firefox.",Firefox,1982
30,"Hercule Poirot is called in to investigate a case for an insurance company regarding firstly a dead woman's body found on a moor and then a important diamond sent to the company to be insured turns out to be a fake. Poirot discovers that the diamond was bought for Arlena Marshall by Sir Horace Platt and Arlena is on her honeymoon with her husband and step-daughter on a tropical island hotel. He joins them on the island and finds that everybody else starts to hate Arlena for different reasons - refusing to do a stage show, stopping a book, and for having an open affair with Patrick Redfern, another guest, in full view of his shy wife. So it's only a matter of time before Arlena turns up dead, strangled and Poirot must find out who it is...",Evil Under the Sun,1982
31,"When a Paul enters his apartment to find Mary fighting off a swinger who has gotten into the wrong apartement (and thinks that Mary is just playing hard to get) he hits the man with a frying pan, killing him. Their dreams of running a small resturant seem to be in jeopardy until they decide to dispose of the body, keep the wallet, and to advertise for other sexually oriented visitors who are summarily killed, bagged, robbed and disposed of. This goes along quite well until one night a burglar named Raoul breaks in and cuts himself in for a piece of the action.",Eating Raoul,1982
32,"To make Sidney's slump all the more painful, Clifford Anderson, a student of one of Sidney's writing seminars, has recently sent his mentor a copy of his first attempt at playwrighting for Sidney's review and advice. The play, ""Deathtrap,"" is a five character, two act thriller so perfect in its construction that, as Sidney says, ""A gifted director couldn't even hurt it."" Using his penchant for plot, and out of his desperate desire to once again be the toast of Broadway, Sidney, along with Myra, cook up an almost unthinkable scheme: They'll lure the would-be playwright to the Bruhl home, kill him, and market the sure-fire script as Sidney's own. But shortly after Clifford arrives, it's clear that things are not what they seem! Indeed, even Helga Ten Dorp, a nosey psychic from next door, and Porter Milgram, Sidney's observant attorney, can only speculate where the line between truth and deception lies.",Deathtrap,1982
33,"The Disciples of James Dean meet up on the anniversary of his death and mull over their lives in the present and in flashback, revealing the truth behind their complicated lives. Who is the mysterious Joanne and what's the real story behind Mona's son, James Dean Junior ?","Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",1982
34,"Monterey, California in the 1940's. Cannery Row - the section of town where the now closed fish canneries are located - is inhabited primarily by the down and out, although many would not move away even if they could. Probably the most upstanding citizen in the area is Doc, a marine biologist who earns a living primarily by collecting and selling marine specimens for research. He is a lost soul who is looking for his place in life. He is running away from his past, one where he is trying to make amends for what he considers a past wrong. But his current life isn't totally satisfying either. He believes that his recent collection of eight baby octopi will help him define that future in conducting research on their behavior. However, he is finding that research is not as easy as he had hoped, and that he is still feeling restless. Into the area comes drifter Suzy DeSoto. She too is a lost soul. With few job skills, she gets a job as what she calls a floozy in the local whorehouse, despite her openly headstrong demeanor not making her well suited to the work. Doc and Suzy are immediately attracted to each other, but theirs is a clash of personalities, despite each truly liking the other. The other residents of Cannery Row do their part for a Doc/Suzy coupling, not always with successful results. Doc and Suzy will first have to find their own lot in life before they can commit to someone else, be it the other or anyone else.",Cannery Row,1982
35,"A documentary on the chaotic production of Werner Herzog's epic Fitzcarraldo (1982), showing how the film managed to get made despite problems that would have floored a less obsessively driven director. Not only does he have major casting problems, losing both Jason Robards (health) and Mick Jagger (other commitments) halfway through shooting, but the crew gets caught up in a war between Peru and Ecuador, there are problems with the weather and the morale of cast and crew is falling rapidly.",Burden of Dreams,1982
36,"Founded in 1910 just outside of the city limits of Gilbert located in Lanville County, Texas, the Chicken Ranch has for generations been known as the best whorehouse in Texas for its wholesome fun, strict moral code and cleanliness, all perpetuated by its original owner, Miss Wulla Jean. Seven years ago, Miss Wulla Jean passed on, leaving the Chicken Ranch to her favorite working girl, Miss Mona Stangley, who wants to keep the same traditions of Miss Wulla Jean. The Chicken Ranch has always had the unofficial blessing of the local authorities, who see the ranch providing an important community service, one which most in local authority have used at one time or another in their life. In fact, Miss Mona and Lanville County Sheriff Ed Earl Dodd have been in a relationship for years, Ed Earl who is Miss Mona's protector, albeit one with a hot temper and good ol' boy attitude that doesn't exactly match the needs of his law upholding position. That blessing may change when television personality and consumer watchdog, Melvin P. Thorpe, one of the most powerful men in the state, starts an on-air exposé of the illegal activities at the Chicken Ranch, the exposé which includes Ed Earl's role in letting it happen. Ed Earl and Miss Mona's relationship goes through some difficult times on how to deal with this issue, especially with the upcoming annual party night with the players following the Thanksgiving Day football game between the University of Texas and Texas A&M, this party which is arguably the Chicken Ranch's busiest night of the year and one filled with tradition for the ranch and the participating schools. Will the Chicken Ranch be able to remain open especially in light of a spineless Governor who sways to the direction of polls, and will Ed Earl and Miss Mona's relationship be able to withstand the pressure?",The Best Little Whorehouse in Texas,1982
37,"When a professional couple who have lived & worked together for many years finally decide to marry, their sudden betrothal causes many unexpectedly funny and awkward difficulties. They soon find that being married is often quite different from being ""best friends.""",Best Friends,1982
38,"Playwright Travalian feels pulled limb from limb these days. He has a Broadway play in rehearsal and they want rewrites. His tramp wife is leaving him, leaving him as well with four children from her previous marriages plus his own son. And his lead actress wants to move in with him but isn't used to kids.",Author! Author!,1982
39,"A compilation of 1960's films about what to do in case of a Nuclear attack and the effects of radiation, also footage of troop tests of the exposure to an atomic bomb.",The Atomic Cafe,1982
40,"Thanks to a major power cut, a gang of psychopaths breaks out of the Haven maximum security mental institute in order to lay siege to the psychiatrists who have tormented them over the years with their bizarre theories...",Alone in the Dark,1982
41,"A kind of musical accompanying the story of the early 1940's and the effect that the ""zoot suit"" (a man's suit of long jacket and pegged pants, always worn with a long keychain that looped almost to the ankle.... the rebellious fashion of young men) had on the morals and attitudes of the people of that era.",Zoot Suit,1981
42,"In World War II, a group of Nazi officers come up with a propaganda event in which an all star Nazi team will play a team composed of Allied Prisoners of War in a Soccer (Football) game. The Prisoners agree, planning on using the game as a means of escape from the camp.",Victory,1981
43,"Early Errol Morris documentary intersplices random chatter he captured on film of the genuinely eccentric residents of Vernon, Florida. A few examples? The preacher giving a sermon on the definition of the word ""Therefore,"" and the obsessive turkey hunter who speaks reverentially of the ""gobblers"" he likes to track down and kill.","Vernon, Florida",1981
44,"De Niro (a Catholic Priest) and Duvall (a Homicide Detective) play brothers drawn together after many years apart, in the aftermath of the brutal murder of a young prostitute.",True Confessions,1981
45,"Though several actors portray Elvis Presley at different stages of his life, this documentary is comprised mostly of actual performance footage and interviews with Elvis, his fans and those close to him. His arrival on the national scene ,in 1956, is highlighted by clips from ""Stage Show"", ""The Milton Berle Show"" and ""The Ed Sullivan Show"". Scenes from several of his 33 films are highlighted including his screen debut in ""Love Me Tender"" (1956) and the critically acclaimed ""King ""Creole""(1958), his last film prior to a 2 year hitch in the military. From 1960-68 he kept busy by making films and soundtrack albums, as well as some Gospel albums. After an absence of almost 9 years from live performing, Elvis returned in 1968 to do a TV Special titled ""Elvis"" and in 1969 performed in Las Vegas for the first time since 1956. His Vegas appearances, along with his nation wide concert tours, continued for the remainder of his career. A clip from his 1973 TV Special,""Elvis: Aloha From Hawaii"", is featured. Telecast from Honolulu, it was the first concert to be televised live by satellite around the world.We also see footage from his last TV Special, ""Elvis in Concert"", which was taken from his final 1977 tour.",This Is Elvis,1981
46,"Frank is an expert professional safecracker, specializing in high-profile diamond jobs. After having spent many years in prison, he has a very concrete picture of what he wants out of life--including a nice home, a wife, and kids. As soon as he is able to assemble the pieces of this collage, by means of his chosen profession, he intends to retire and become a model citizen. In an effort to accelerate this process, he signs on to take down a huge score for a big-time gangster. Unfortunately, Frank's obsession for his version of the American Dream allows him to overlook his natural wariness and mistrust, when making the deal for his final job. He is thus ensnared and robbed of his freedom, his independence, and, ultimately, his dream.",Thief,1981
47,"New York's Odyssey Detective Agency is hired by two different clients to follow two women suspected of infidelity. Ladies' man John Russo trails Angela Niotes, the elegant wife of a wealthy Italian industrialist, while Charles Rutledge and Arthur Brodsky follow Dolores Martin, the beautiful young wife of a jealous husband. Their respective cases are complicated when John falls for Angela, and Charles falls for Dolores.",They All Laughed,1981
48,"The Tarzan story from Jane's point of view. Jane Parker visits her father in Africa where she joins him on an expedition. A couple of brief encounters with Tarzan establish a (sexual) bond between her and Tarzan. When the expedition is captured by savages, Tarzan comes to the rescue.",Tarzan the Ape Man,1981
49,"An announcement that the venerable Bunker Hill Military Academy, a 141 year old institute, is to be torn down and replaced with condos sets off the young cadets led by their stodgy commander. Under the command of a student cadet major, the cadets seize the campus, refuse entry of the construction crews and ultimately confront the real military.",Taps,1981
50,"Tom Sharky is a narcotics cop in Atlanta who's demoted to vice after a botched bust. In the depths of this lowly division, while investigating a high-dollar prostitution ring, Sharky stumbles across a mob murder with government ties, and responds by assembling his downtrodden fellow investigators (Sharky's ""machine"") to find the leaders and bring them to justice before they kill off all his partners and witnesses, including Sharky himself.",Sharky's Machine,1981
51,"Pat Quid is driving a semi across Australia. On the way he encounters various other travellers, and the occasional hitchhikers repeatedly as they're traveling the same road. A favorite pastime of Pat is to play games to pass the time on the journey. (Such as to make up backgrounds of the other people on the road.) Pamela is one hitchhiker he picks up. But when she disappears, he suspects that the driver of a van who has been acting a little strange, (Smith or Jones) maybe the serial killer mentioned on the radio. But his pursuit of the van driver brings him to the attention of the police, who begin to suspect him.",Road Games,1981
52,"The story runs in the 1910's New York. Coalhouse Walker Jr. is a black piano player. He has won fame and fortune playing with a jazz band. Some white men do not like this situation, and one day they assault him and spoil his brand new car. Walker tries by all means to get justice, without an answer...",Ragtime,1981
53,"It's 1944 in the small town of Gregory, Texas. Divorcée Nita Longley has been brought into the town by the telephone company to work as its switchboard operator, a job which requires her to be at the switchboard day and night. She was originally told by her boss Mr. Rigby that this job would only be a stepping-stone to a more lucrative job with regular working hours, which Mr. Rigby seems to be reneging on since he has now told her that her position is frozen due to the war. As such, Nita feels trapped by this situation. Nita lives in the telephone switchboard office building with her two sons, adolescent Harry and infant Henry. Because of her marital status, many of the townsfolk, especially the men, view Nita either with contempt or as a loose woman. One evening, Teddy Roebuck, a sailor on a four day furlough who is hitchhiking back to his home in Ardmore, Oklahoma, stops by to make a telephone call. When he learns that the reason for his trip home no longer exists, Teddy decides to stay in Gregory instead. Teddy strikes up a friendship with Nita and her two boys, which blossoms into love. The appearance of this stranger does not sit well with locals Calvin and Arnold, who had plans of having their way with loose Nita, who earlier rebuked their advances. The town's unidentified disfigured man, who Nita fears, may ultimately provide her with the ability to move on with her life.",Raggedy Man,1981
54,"French secret agent Joss Baumont is sent to one of the African countries to kill their president Njala. However, at the last moment the political situation changes and the French secret service turns him in to the African authorities, and he is sentenced to a long-term imprisonment. After the daring escape he returns to France and deliberately informs his former chiefs of his presence promising them to kill Njala who has just arrived to the country with the official visit.",The Professional,1981
55,"Francine Fishpaw is an upper middle class suburban housewife in Baltimore. Unfortunately for this ""good Christian woman"", the money to support her lifestyle comes from her husband's porno theater, the neighbors are protesting, her son is the notorious ""Baltimore Stomper"", her daughter is knocked up by a local hoodlum, and her husband is having an affair with his secretary.",Polyester,1981
56,"A sunken US supply ship off a Caribbean island resort is the focus for a series of mysterious piranha attacks. Investigating the death of one of her son's companions after a scuba-diving trip, Anne Kimbrough breaks into the morgue with holidaymaker Tyler Sherman, only to discover that the fish have wings and can fly. But the hotel manager refuses to call off the annual fish fry on the beach, with inevitable consequences...",Piranha Part Two: The Spawning,1981
57,"In Chicago during the 1930s depression, sheet music salesman Arthur Parker is trying to sell his products, but it's not easy to convince unwilling music store owners to buy them. Although he's already married to the somewhat drab Joan, when he meets school teacher Eileen in a music store, he falls in love with her.",Pennies from Heaven,1981
58,"One man's quiet suburban life takes a sickening lurch for the worse when a young couple move into the deserted house next door. From the word go it is obvious these are not the quiet professional types who *should* be living in such a nice street. As more and more unbelievable events unfold, our hero starts to question his own sanity... and those of his family.",Neighbors,1981
59,"Wallace Shawn and Andre Gregory, apparently playing themselves, share their lives over the course of an evening meal at a restaurant. Gregory, a theater director from New York, is the more talkative of the pair. He relates to Shawn his tales of dropping out, traveling around the world, and experiencing the variety of ways people live, such as a monk who could balance his entire weight on his fingertips. Shawn listens avidly, but questions the value of Gregory's seeming abandonment of the pragmatic aspects of life.",My Dinner with Andre,1981
60,"Air traffic controller Max Fiedler is unhappy with his career and his second marriage. An exposure to toxic waste gives him the power of telekinesis. He comes to a crossroads at a beachhouse he shares with his wife, his ex, and a voodoo priestess.",Modern Problems,1981
61,"While playing with a puzzle, a teenager is repressed by his mother, and he kills her and severs her body with an ax. Forty years later, in an university campus in Boston, a serial killer kills young women and severs their bodies in parts, stealing body pieces from each student. Lt. Bracken makes a deal with the dean of the campus, and infiltrates the agent Mary Riggs as if she were a tennis teacher and together with the student Kendall, they try to find the identity of the killer.",Pieces,1982
62,"This is the second feature-length film containing classic Warner Brothers cartoons linked together by newly animated footage. It is divided into three parts, all of which are being shown in a theater as part of a film ceremony honoring the classic Looney Tunes characters. Part 1 involves Yosemite Sam's pact with the Devil to exchange his place in Hell with Bugs Bunny, provided that Sam can lure Bugs into sin and then kill him. Part 2 is a parody of TV crime-fighting dramas as Bugs is selected by law-enforcement to find and apprehend gangster Rocky, who has kidnaped Tweety Bird for a ransom. Part 3 is an Academy Awards-like contest in which various classic cartoon shorts are showcased.","The Looney, Looney, Looney Bugs Bunny Movie",1981
63,"Jon Lansdale is a comic book artist who loses his right hand in a car accident. The hand was not found at the scene of the accident, but it soon returns by itself to follow Jon around, and murder those who anger him.",The Hand,1981
64,"In his Scottish New Town home, gangling Gregory and his school-friends are starting to find out about girls. He fancies Dorothy, not least because she has got into the football team - and is a better player than him. He finally asks her out, but it is obviously the females in control of matters here, and that very much includes Gregory's younger sister.",Gregory's Girl,1980
65,"The story of a group of young Australian men who leave their various backgrounds behind and sign up to join the ANZACs in World War I. They are sent to Gallipoli, where they encounter the resolute Turkish army.",Gallipoli,1981
66,"A spacecraft travels to a distant planet to rescue the crew of another spaceship that crashed, but their own craft, damaged in the landing, needs repair. Baelon commands the rescue team formed of his rival Cabren, Alluma, Dameia, Quuhod and the rookie Cos. While looking for but not finding survivors from the former expedition, Cos is murdered; however, they cannot leave the planet due to a projected electromagnetic field. Commander Ilvar joins the team to search for the cause of the interference, while Captain Trantor, technician Ranger and cook Kore stay in the craft. One by one, rescue team members are killed in weird situations materialized from their own fears by an ancient alien pyramid.",Galaxy of Terror,1981
67,"Three middle-aged wealthy couples take vacations together in Spring, Summer, Autumn and Winter. Along the way we are treated to mid-life, marital, parental and other crises.",The Four Seasons,1981
68,"Ruth Loomis becomes the first woman appointed to the United States Supreme Court. A staunch conservative, she immediately runs into conflict with Dan Snow, the high court's resident liberal. Although, they never agree on the issues before the Court, they develop a respect and affection for one another after several comedic encounters.",First Monday in October,1981
69,Douglas is a lonesome record salesman and a true fan of the actress Sally Ross. Every day he writes her gleaming letters of love. But the only response he gets are formal letters. So his love turns into hatred.,The Fan,1981
70,"Ernie Souchak (John Belushi), a tough Chicago reporter, gets a little too close to the Mob, and is assaulted by two crooked police officers sent by a crooked councilman, and ends up in the hospital. To take the heat off of him, his editor sends him to Colorado to investigate an eagle researcher ('Blair Brown'). Sparring partners at first, the pair eventually fall in love, but Souchak must return to Chicago when one of his sources is mysteriously killed.",Continental Divide,1981
71,"A white corporate executive is surprised to discover that he has a black teen-age son who can't wait to be adopted into the, almost-exclusively-white community of, San Marino, California.",Carbon Copy,1981
72,"A janitor at a summer camp is accidently burned severely from a prank. Years later, he is released from an institute, and returns to the camp with a pair of hedge clippers to take revenge on the campers.",The Burning,1981
73,"This stylish Brian De Palma thriller plays off the theme of the unsuspecting witness who discovers a crime and is thereby put in grave danger, but with a novel twist. Jack Terry is a master sound recordist who works on grade-B horror movies. Late one evening, he is recording sounds for use in his movies when he hears something unexpected through his sound equipment and records it. Curiosity gets the better of him when the media become involved, and he begins to unravel the pieces of a nefarious conspiracy. As he struggles to survive against his shadowy enemies and expose the truth, he does not know whom he can trust.",Blow Out,1981
74,"Remy is morose, nearing 30 with his career as a musician going nowhere and his eight-year marriage to Martine souring. Then, Martine dies in a car crash, and Marion, her 14-year-old, wants to stay rather than move to her father's. Remy likes the idea: he loves her, he's raised her, and she offers him emotional responsibility. Marion's father objects, but she's willful, so he relents. Soon, she tells Remy she finds him attractive, that she's now ""a woman,"" and why can't they be lovers. Remy is appalled, but weakens, missing her when she spends Christmas with her dad. What if they do become lovers? What next? And what if a women more his age enters the picture?",Beau Pere,1981
75,"A man is living happily on an island with his family, growing bananas. When a local mobster with an eye on man's property tries to take it from him, he must go to the town for the first time to get some help.",Banana Joe,1982
76,"A ship pulls into New York Harbor with no one on board. The police find a cargo full of green pulsating eggs. Upon contact, the eggs explode spreading a green acid like substance that seeps into the skin and explodes. It is later discovered that the eggs are being manufactured in South America by a one-eyed Martian that grew from a tiny seed a former astronaut brought back from a expedition to Mars.",Contamination,1980
77,"Mike Gallagher is a Miami liquor wholesaler whose deceased father was a local mobster. The FBI organized crime task force have no evidence that he's involved with the mob but decide to pressure him into perhaps revealing something - anything - about a murder they're sure was a mob hit. They let Megan Carter, a naive but well-meaning journalist, know he is being investigated and Gallagher's name is soon all over the newspaper. Gallagher has an iron-clad alibi for when the murder occurred but won't reveal it to protect his fragile friend Teresa. When Carter publishes her story, tragedy ensues. Needing to make amends, Carter tells Gallagher the source of the first story about him and he sets out to teach the FBI and the Federal Attorney a lesson.",Absence of Malice,1981
78,"Bud Davis is a country boy who moves to the city to visit his uncle and his family. He starts hanging out at Gilley's, the popular nightclub owned by Mickey Gilley himself. He takes a job at the oil refinery where his uncle works, hoping to save enough money to buy some land. He also meets a cowgirl named Sissy, they dance together, fall in love and suddenly get married. And then their marriage is shattered when Bud sees Sissy allegedly seeing con man Wes, who teaches her how to ride the mechanical bull... and plans to rob Gilley's. When a bull-riding contest at Gilley's is announced, Bud decides to sign up. Can he win the contest and save his marriage to Sissy?",Urban Cowboy,1980
79,"Low-budget film about a young man given a mystical medallion by an Aztec shaman, in order to become a puma-empowered champion like his father before him. In trying to initially locate the young man, the shaman has the nasty habit of pushing candidates out of windows to test them (""Nope, not him."")",The Pumaman,1980
80,Skip and Harry are framed for a bank robbery and end up in a western prison. The two eastern boys are having difficulty adjusting to the new life until the warden finds that Skip has a natural talent for riding broncos with the inter-prison rodeo coming up.,Stir Crazy,1980
81,"It's been a few years since Cletus and the Bandit made their famous 28-hour run to Texas for a few cases of Coors. Bandit is now a washed-up has-been living in the past, until Big Enos and Little Enos make him another offer: Transport a live Elephant across country in 3 days or less.",Smokey and the Bandit II,1980
