Plot,Title,Year
"On her first day on the job, NYPD officer Megan Turner, the lone officer on the scene, shoots and kills the perpetrator of a supermarket hold-up. Since no gun was found on the perpetrator's person or at the scene and none of the witnesses could corroborate Megan's story definitively that the perpetrator was indeed wielding a gun, she is suspended from active duty. She is quickly albeit temporarily reinstated to the position of homicide detective because the spent shell casing from the bullet used in a subsequent murder had her name carved on it. This murder ends up being only the first in a series. Working on the case with fellow homicide detective Nick Mann, Megan initially has no idea who in her life could be the murderer. In short order, the murderer does show himself to her. He is commodities trader Eugene Hunt who she met immediately following her suspension and who she has since dated. He also implies to her that he was in the supermarket at the time of the hold-up and that he fled the scene with the perpetrator's gun. The supermarket shooting caused a psychotic break in him which resulted in among other things his obsession with her. However, beyond his implications only to her of being the murderer, Megan has no hard evidence that would stand up in a court of law that Eugene is indeed the murderer. Megan has to convince her colleagues, especially Nick, that she is telling the truth about Eugene, while stopping him from killing again and equally as important stopping him from his continued psychological torture of her.",Blue Steel,1989
"Offbeat fashion student Betsy Hopper and her strait-laced investment-banker fiancé, Jake Lovell, just want an intimate little wedding reception, but Betsy's father, Eddie, a Long Island construction contractor, feels so threatened by Jake's rich WASP parents that he blows the ceremony up into a bank-breaking showpiece, sending his wife, Lola, into a financial panic. Pressure from Betsy's extended family to include their joint Jewish and Italian-Catholic heritage in the ceremony doesn't do much to assuage the title character's worries, nor does the lovelorn bitterness of her older sister, Connie, who's single, her parents assume, because she has the audacity to pursue the unfeminine profession of police officer. With all of his funds tied up into the money pit of a house he's building, Betsy's dad has to turn to his crooked brother-in-law, Oscar, for financial assistance, and soon a soft-spoken but menacing young mobster named Stevie Dee is supervising Eddie's construction project and casting his romantic aspirations toward the clueless Connie.",Betsy's Wedding,1990
"Michael, a wimpy young executive, is about to get pulverized by a jealous boyfriend in a bar when a handsome, mysterious stranger steps in--and then disappears. Later that night, while jogging, Michael runs into the stranger on a pier. He introduces himself as Alex, and the two go out to an under- ground club. Within a matter of days, Alex wheedles his way into Michael's life and turns it upside down, and Michael doesn't realize that Alex is a dangerous sociopath until it's too late.",Bad Influence,1990
"In 1920s and 1930s New Zealand, Janet Frame grows up in a poor family with lots of brothers and sisters. Already at an early age she is different from the other kids. She gets an education as a teacher but since she is considered abnormal she stays at a mental institution for eight years. Success comes when she starts to write novels.",An Angel at My Table,1990
"Sylvia's work increasingly takes her away from the three men who help bring up Mary, her daughter. When she decides to move to England and take Mary with her, the three men are heartbroken at losing the two most important females in their lives.",3 Men and a Little Lady,1990
"Set in Baroque France, a scheming widow and her lover make a bet regarding the corruption of a recently married woman. The lover, Valmont, bets that he can seduce her, even though she is an honorable woman. If he wins, he can have his lover to do as he will. However, in the process of seducing the married woman, Valmont falls in love. Based on the same novel as ""Dangerous Liaisons.""",Valmont,1989
"The Leningrad Cowboys, a fictional Russian rock band, and their manager, travel to America seeking fame and fortune. As they cross the country, trying to get to a wedding in Mexico, they are followed by the village idiot, who wishes to join the band.",Leningrad Cowboys Go America,1989
"Simple conversations engender complicated human interactions. Jeanne is open and even-tempered, a philosophy teacher at a lycée. Her fiancé is away and she doesn't want to stay at his messy flat; she's loaned hers to a cousin, so she accepts the invitation of Natasha, a music student whom she meets at a party, to sleep in her father Igor's bedroom because he's always with his young girlfriend, Eve. Natasha tells Jeanne a story of a missing necklace and her suspicions of Eve. They all meet at dinner, then again at Igor's country house. Is Natasha scheming to get Igor and Jeanne together alone? Once alone, what determines how they choose to act? And the necklace, what of it?",A Tale of Springtime,1990
"Mad scientist Professor Gangreen is cooking up the second coming of the Great Tomato Uprising, in which music converted tomatoes into human form to war against mankind. Pizza delivery man Chad Finletter must save the world and beautiful tomato-girl Tara.",Return of the Killer Tomatoes!,1988
An exploration of technologically developing nations and the effect the transition to Western-style modernization has had on them.,Powaqqatsi,1988
"Nick Hart is a struggling American artist who lives amongst the expatriate community in 1920s Paris. He spends most of his time drinking and socializing in local cafés and pestering gallery owner Libby Valentin to sell his paintings. He becomes involved in a plot by wealthy art patroness Nathalie de Ville to forge three paintings. This leads to several run-ins with American rubber magnate Bertram Stone, who happens to be married to Hart's ex-wife Rachel.",The Moderns,1988
"The story of Seita and Satsuko, two young Japanese siblings, living in the declining days of World War II. When an American firebombing separates the two children from their parents, the two siblings must rely completely on one another while they struggle to fight for their survival.",Grave of the Fireflies,1988
"A normal, average guy who lives in New York City becomes dependent on an evil, disembodied brain. The brain feeds the guy a narcotic substance in exchange for his unwilling assistance in obtaining the brains of innocent victims for sustenance. This turns into a tour of circa-1980s underground NYC clubs, backlots, and other seedy locations. One scene features the band Swimming Pool Cues playing the song ""Corruption.""",Brain Damage,1988
"All three previously married but now single, best friends sculptress Alex Medford, cellist Jane Spofford and writer Sukie Ridgemont are feeling emotionally and sexually repressed, in large part due to the traditional mores overriding their small New England coastal town of Eastwick. After their latest conversation lamenting about the lack of suitable men in Eastwick and describing the qualities they are looking for in a man, mysterious Daryl Van Horne and his equally mysterious butler Fidel arrive in town. Despite being vulgar, crude, brazen and not particularly handsome, Daryl manages to be able to tap into the innermost emotions of the three friends, and as such manages to seduce each. In turn, the three women blossom emotionally and sexually. After an incident involving one of the town's leading citizens, the ultra conservative Felicia Alden, the three women begin to understand how and why Daryl is able to mesmerize them so fully. The three decide to experiment with some powers learned indirectly from Daryl so that they can hopefully regain control of their own lives.",The Witches of Eastwick,1987
"A high school nerd, Jerry Mitchell (Siemaszko) is assigned to write a piece for the school paper about new boy Buddy Revell (Tyson), who is rumored to be a psychopathic nutcase. When Jerry accidentally touches Buddy, he says that they must fight in the parking lot at 3pm. Jerry will just about do anything to avoid the confrontation.",Three O'Clock High,1987
"Three bachelor friends - architect Peter, artist Michael, and actor Jack are sharing an apartment in Manhattan. After Jack goes filming in Turkey his two flatmates find his baby daughter - which Jack doesn't know about - left outside their door. The two are left to look after the baby, and realise how difficult this can be. How would this baby change the life style of these confirmed bachelors?",3 Men and a Baby,1987
"A high-school gym teacher has big plans for the summer, but is forced to cancel them to teach a ""bonehead"" English class for misfit goof-off students. Fortunately, his unconventional brand of teaching fun field trips begins to connect with them, and even inspires ardor in some.",Summer School,1987
"The film opens with a daring escape of a convict imprisoned for killing an FBI agent, then moves on to two Seattle detectives chasing a suspect who gets away, destroying a forklift in the process, these two detectives are reassigned to a stakeout, watching the girlfriend of the escaped federal prisoner. One falls in love with her, the escaped convict eventually catches up to her, with them actually, and in the midst of their getaway, the escaped convict learns that his woman's man is a cop, but the two detectives kill him, saving the day.",Stakeout,1987
"A high-class call girl kills a customer in self-defense. To avoid scandal, her parents try to have her declared mentally incompetent. Not helping matters is that she is very distrustful of everybody, including her court-appointed attorney, and is very disruptive during her court hearings.",Nuts,1987
"Cinecitta, the huge movie studio outside Rome, is 50 years old and Fellini is interviewed by a Japanese TV crew about the films he has made there over the years as he begins production on his latest film. A young actor portrays Fellini arriving at Cinecitta the first time by trolley to interview a star. Marcello Mastroianni dressed as Mandrake the Magician floats by a window and Fellini followed by TV crew takes him to Anita Ekberg's villa where the Trevi fountain scene from Dolce vita, La (1960) is shown on a sheet that appears and disappears as if by magic.",Intervista,1987
"Friday and Streebek are assigned to some very strange robberies, like i.e. the stealing of one bat, a 30 foot long snake and the mane of a lion from a zoo. All the latest BAIT magazines were also recently stolen, and some chemicals that when are mixed correctly develops a very deadly gas. All these thefts have one thing in common; visit cards with the word ""PAGAN"" left at the crime scenes. Solving these crimes, including why plenty of police vehicles have been stolen lately, involves the usual; to drink coffee at strip tease bars, rescue kidnapped virgins from drowning and lose their jobs.",Dragnet,1987
"In a remote 19th-century Danish village, two sisters lead a rigid life centered around their father, the local minister, and their church. Both had opportunities to leave the village: one could have married a young army officer and the other, a French opera singer. Their father objected in each case, and they spent their lives caring for him. Many years later - their father is now deceased - they take in French refugee, Babette Hersant, who agrees to work as their servant. After winning the lottery, Babette wants to repay the sisters for their kindness and offers to cook a French meal for them and their friends on the 100th anniversary of their father's birth. It proves to be an eye-opening experience for everyone.",Babette's Feast,1987
"Molly is a high school track coach who knows just as much about football as anyone else on the planet. When the football coach's position becomes vacant, she applies for the job, despite expecting sniggers from fellow staff members and her former husband.",Wildcats,1986
"A young boy stumbles into a mysterious girl who floats down from the sky. The girl, Sheeta, was chased by pirates, army and government secret agents. In saving her life, they begin a high flying adventure that goes through all sorts of flying machines, eventually searching for Sheeta's identity in a floating castle of a lost civilization.",Castle in the Sky,1986
"Delphine's traveling companion cancels two weeks before her holiday, so Delphine, a Parisian secretary, is at loose ends. She doesn't want to travel by herself, but has no boyfriend and seems unable to meet new people. A friend takes her to Cherbourg; after a few days there, the weepy and self-pitying Delphine goes back to Paris. She tries the Alps, but returns the same day. Next, it's the beach: once there, she chats with an outgoing Swede, a party girl, and a friendship seems to bud; then, suddenly, Delphine bolts, heading back to Paris. As she waits at the Biarritz train station, a young man catches her eye; perhaps a sunset and the sun's green ray await.",Summer,1986
"A French anthropologist gets murdered in Los Angeles after he discovers the existence of some unknown demonical creatures. Before he dies, he reveals his secret to a young doctor...",Nomads,1986
"District Attorney Tom Logan is set for higher office, at least until he becomes involved with defence lawyer Laura Kelly and her unpredictable client Chelsea Deardon. It seems the least of Chelsea's crimes is the theft of a very valuable painting, but as the women persuade Logan to investigate further and to cut some official corners, a much more sinister scenario starts to emerge.",Legal Eagles,1986
"The death of King Henry VIII throws his kingdom into chaos because of succession disputes. His weak son Edward, is on his deathbed. Anxious to keep England true to the Reformation, a scheming minister John Dudley marries off his son, Guildford to Lady Jane Grey, whom he places on the throne after Edward dies. At first hostile to each other, Guildford and Jane fall in love. But they cannot withstand the course of power which will lead to their ultimate downfall.",Lady Jane,1986
"The feature film directed by Elem Klimov, shot in the genre of military drama. The action takes place on the territory of Belarus in 1943. In the center of the story is a Belarusian boy, who witnesses the horrors of the Nazi punitive action, turning from a cheerful teenager into a gray-haired old man for two days.",Come and See,1985
"Hannah, Holly and Lee are adult sisters from a show business family, their boozy actress mother who still believes she's an ingénue that can attract any man she wants, despite still being married to the girls' father, Evan. Hannah, on her second marriage to a man named Elliot, a financial advisor, is the success of the family, taking a break from her acting career to raise her children. Everyone turns to her for advice, while she never talks to others about what she needs or feels. Her first husband, Mickey, is a comedy show writer and hypochondriac, who is going through a crisis as he mistakenly believes he will die soon without a clear belief, as a non-practicing Jew, of what will happen to him in the afterlife. Single Holly is the insecure flaky sister, a struggling and thus continually unemployed actress, who has just started a catering business with her actress friend April, in order to do something constructive with her life. In her own security, Hannah even set up Holly and Mickey together following her own break-up with Mickey, Holly and Mickey's sole date which arguably was the worst night in both their lives. Holly turns to Hannah for everything in her life, including money, despite feeling Hannah overly judgmental about her failures. It's during a catering job that Holly and April meet David, an architect, who seems interested in both of them. Holly's insecurities may threaten her potential relationship with David and friendship with April. Lee, who collects unemployment, is metaphorically the family's piece of clay waiting for the right artist to mold her. She has long lived with artist Frederick, who has contempt for everyone except her, and as such relies on her for whatever his connection to the outside world. This already complex collective becomes even more complex when Elliot contemplates telling Lee that he has fallen in love with her. His attraction to her is as much feeling unneeded by Hannah, who he does not want to hurt regardless of what he decides to do with respect to Lee.",Hannah and Her Sisters,1986
"Dr. Lauren Slaughter, a research fellow at the Arab-Anglo Institute in London is utterly frustrated by her job. To supplement her income, she starts moonlighting at the Jasmine Escort Service, where she has more control over men and money than she does at the office. On one of her 'dates', Lauren meets the politician Lord Bulbeck who is trying to mediate a peace accord between the Arabs and Israelis. Bulbeck falls in love with his escort, and unwittingly, Lauren becomes a pawn in some very dirty politics.",Half Moon Street,1986
"Beverly Hills couple Barbara and Dave Whiteman are very rich but not happy Dave is a hard working business man, his wife is only interested in yoga, aerobics and other meditation classes, and he sleeps with the house maid. Their teenage son is confused about his sexuality and their daughter is suffering from eating disorders. While they are celebrating thanksgiving having plenty of food, street tramp Jerry is hungry, homeless, sleeping rough and has lost his dog. Jerry decides to end his life by drowning himself in their swimming pool. Dave rescues him and invites him to stay for a while. How does this stranger change the life style of this family?",Down and Out in Beverly Hills,1986
"A gang of neo-fascist thugs, led by the self-proclaimed 'Night Slasher', are breaking into people's homes & cars, then killing them at random. When of of these thugs holds up a food store & takes hostages, Lt. Marian Cobretti - an intense, take-no-prisoners cop, is brought onto the scene to end the hostage-taking. Ranting bizarrely about a 'New World', the man levels a sawed-off shotgun at Cobretti, who hits him with a knife, then guns him down when the man refuses to put down his weapon. Later that night, another murder occurs, attributed to the Night Slasher - and the next day, another one. This one is witnessed by a young woman, Ingrid Knutsen. She drives away before the thugs can kill her, but it isn't long before some creepy-looking people start making attempts on her life - and Cobretti's. Cobretti plans to move the only witness to the blood spree upstate, but with inside information, the thugs follow them. And a battle for survival rages between Cobretti and the thugs...",Cobra,1986
"In this second installment to the original Care Bear Movie trilogy of the 1980s, the Care Bear Family goes on their first Caring Mission--to stop the evil doings of a demon villain, named Dark Heart, from taking over a summer camp while making the Bears and Cousins vanish forever. In exchange for the Family's capture, he gives a camper named Christy the chance to succeed as the ""Camp Champ"" over her so-named rival. While starting the Kingdom of Caring, its founders (True Heart Bear and Noble Heart Horse) will stop at nothing to end the wrath of the Bears' first villain. Christy's friends, Dawn and John, and the rest of the Family join them in doing so. Narrating the tale is the Great Wishing Star (voiced by Chris Wiggins), who also helps True Heart and Noble Heart start the Kingdom, as both of them take care of the little orphan Cubs.",Care Bears Movie II: A New Generation,1986
"Working largely in cases of counterfeiting, LA based Secret Service agent Richie Chance exhibits reckless behavior which according to his longtime and now former partner Jimmy Hart will probably land him in the morgue before he's ready to retire. That need for the thrill manifests itself in his personal life by his love of base jumping. Professionally, it is demonstrated by the fact that he is sextorting a parolee named Ruth Lanier, who feeds him information in return for him not sending her back to prison for some trumped up parole violation. With his new partner John Vukovich, Chance is more determined than ever, based on recent circumstances, to nab known longtime counterfeiter Ric Masters, who is more than willing to use violence against and kill anyone who crosses him. Masters is well aware that the Secret Service is after him. Masters' operation is somewhat outwardly in disarray, with Chance being able to nab his mule, Carl Cody, in the course of moving some of the fake money, and one of his associates, a lawyer named Max Waxman, probably stealing money from him. Partly with information from Ruth, Chance is trying to find and exploit the weaknesses in Masters' operation. To accomplish his goal, Chance takes more and more unethical and illegal measures, which may be problematic for Vukovich, who comes from a family of police officers who are sworn to uphold the law.",To Live and Die in L.A.,1985
"A delinquent teenager's only link to society is the attachment he feels towards an older brother-figure. When the older boy starts spending time with a new girlfriend, the teenager begins to feel even more alienated, and gets involved with drugs and the police.",That Was Then... This Is Now,1985
"Meet Scott Howard, a struggling high school student with problems. He is on a lackluster basketball team with a lame duck coach, he is having problems getting noticed by the prettiest girl in his school, Pamela Wells (who already has a boyfriend who wants to ruin Scott's life named Mick McAllister). But in the middle of it all, he feels an effects of a dog whistle and he itches everywhere and even discovers that his nails are longer and sharp. When he came home from a party, he discovers his new problem. He is a half human-wolf hybrid. He tries to keep this a secret, but during a basketball game the secret comes out and it helped Scott to turn his life around, the basketball team starts to become a contender for the state championships. He became very popular, and he was discovered by Pamela, and begin to go out with each other (despite that Pamela is still going out with Mick). However, Scott's father warns him about turning into the wolf out of anger. Scott must watch his anger as he can still win Pamela's heart and the High School Basketball State Championship game.",Teen Wolf,1985
"Patsy Cline was the first female solo artist to be elected to the Country Music Hall of Fame. Thirty-two years after her untimely death in a plane crash in Tennessee, her ""Greatest Hits"" album sold over six million copies. Loved by her fans today as much - if not more - than she was at the height of her fame, the life, the loves and most of all the voice of Patsy Cline is legendary. This film tells the story of the passionate, fun-loving, soft-spoken, loud-living life of one of country music's - and one of popular music's - greatest singing stars. This film covers the years 1956 through 1963, from her rise to fame and the top of the charts through TB talent shows and country bars - through her turbulent marriage to Charlie Dick and the demands of touring which would lead to the fatal plane crash.",Sweet Dreams,1985
"College freshman Walter (Gib) Gibson decides to go cross country to visit his friend in California during winter break. Awaiting there is a bikini-clad babe whom his friend assures him is a ""sure thing"". Meanwhile, Allison, a cute (but somewhat retentive) girl at Gib's college has also decided to head out to Cal. to see her boyfriend during break. Gib and Allison are thrust together on a road trip from hell, and somewhere along the way, they find each others company to be tolerable. Now, what will become of Gib's ""sure thing?""",The Sure Thing,1985
"In 1880, four men travel together to the city of Silverado. They come across many dangers before they finally engage the ""bad guys"" and bring peace and equality back to the city.",Silverado,1985
"The small town of Tarker's Mills was a place that was very peaceful, where nothing extraordinary ever happened until one night when murders began. The townspeople believe it's some maniacal killer on the loose whom they intend to hunt down. Marty, a young handicapped boy, believes the killer is no man at all, but a werewolf. After a run-in with the werewolf, Marty and his sister Jane hunt all over town for the man who is the werewolf.",Silver Bullet,1985
"Claude Lanzmann directed this 9 1/2 hour documentary of the Holocaust without using a single frame of archive footage. He interviews survivors, witnesses, and ex-Nazis (whom he had to film secretly since they only agreed to be interviewed by audio). His style of interviewing by asking for the most minute details is effective at adding up these details to give a horrifying portrait of the events of Nazi genocide. He also shows, or rather lets some of his subjects themselves show, that the anti-Semitism that caused 6 million Jews to die in the Holocaust is still alive and well in many people who still live in Germany, Poland, and elsewhere.",Shoah,1985
"The Countess has a problem. She is a 400 year old vampire who will cease to look young unless she is able to feed on a virgin three times before the upcoming Halloween, a week away. She sends Sebastian, her servant and all of her lesser vampires out to find one. Finding a virgin is difficult in 1980s Los Angeles. Mark has a problem. He wants to 'do it' with Robin in the worst way, but she wants to wait. Jamie and Russ, Mark's goofy friends convince him to go to a Hollywood pick up spot where Mark meets the Countess, on the prowl. Robin's not going to understand this.",Once Bitten,1985
"Luis Molina and Valentin Arregui are cell mates in a South American prison. Luis, a trans individual, is found guilty of immoral behavior and Valentin is a political prisoner. To escape reality Luis invents romantic movies, while Valentin tries to keep his mind on the situation he's in. During the time they spend together, the two men come to understand and respect one another.",Kiss of the Spider Woman,1985
"Jonathan plays a game called Gotcha in which he hunts and is hunted by other students with paint guns. After a big win, he goes off for a vacation in France where he meets the sexy Sasha who says she is only interested in him because he is a virgin. She takes him with her to East Germany where they are separated and he has to escape back to the west on his own, all the while being trailed by East German spies. He arrives home only to find the game is still going on, and a canister of film is in his backpack. Then Sasha re-appears.",Gotcha!,1985
"A nerd gains the friendship of two of his frat brothers when his dad offers them his condo for the week in Palm Springs, and also offers the fraternity a hot tub and jacuzzi if they can help his son find a girl. They meet two guys from a rival fraternity, and make a bet on who can nail the Designated Babe first.",Fraternity Vacation,1985
"Zombies rule the world, except for a small group of scientists and military personnel who reside in an underground bunker in Florida. The scientists are using the undead in gruesome experiments; much to the chagrin of the military. Finally the military finds that their men have been used in the scientists' experiments, and banish the scientists to the caves that house the Living Dead. Unfortunately, the zombies from above ground have made their way into the bunker.",Day of the Dead,1985
"Ruth Ellis lives with her 10-year old son Andy next to a night club. One night she meets David Blakely, and they start a love affair. However, for David with his upper-class background it is impossible to uphold the relationship. He breaks up with her, something which makes Ellis, obsessed by him, very upset...",Dance with a Stranger,1985
"A director is casting dancers for a large production. Large numbers of hopefulls audition, hoping to be selected. Throughout the day, more and more people are eliminated, and the competition gets harder. Eventually, approximately a dozen dancers must compete for a few spots, each hoping to impress the director with their dancing skill. But, is this really what the director is looking for?",A Chorus Line,1985
"The Care Bears live in a country high in the clouds, where they have a lot of fun together. But they also do care for the human children on Earth, who they watch through huge telescopes from the sky, and come to help whenever there is need. Nikolas, a magician's apprentice, is in danger of getting under the influence of a bad spirit, which resides in an ancient spell book. The siblings Kim and Jason don't trust anyone anymore after being disappointed once too often. The Care Bears take them into their wonderland where they experience exciting and dangerous adventures together and quickly become good friends.",The Care Bears Movie,1985
"Teddy is a middle-aged man who has a good wife, kids, friends and a fine job. You could say that he has everything he wants; but he doesn't. One day he sees a gorgeous woman in a red dress, and goes crazy! He must have her...",The Woman in Red,1984
"In France, before WWI. As every Sunday, an old painter living in the country is visited by his son Gonzague, coming with his wife and his three children. Then his daugther Irene arrives. She is always in a hurry, she lives alone and does not come so often... An intimist chronicle in which what is not shown, what is guessed, is more important than how it looks, dealing with what each character expects of life.",A Sunday in the Country,1984
"This time Zucker and Abrahams are spoofing, most notably, Elvis films and WWII spy movies. Val Kilmer stars as Nick Rivers, a handsome American 50s-style rock and roll singer. While performing in East Germany, he falls in love with a beautiful heroine and becomes involved with the French Resistance.",Top Secret!,1984
"A woman trapped in a boring marriage begins an affair with a handsome man who seems able to read her mind. She doesn't know that he has broken into her house and read her diaries, where she has recorded her deepest thoughts and fantasies.",Thief of Hearts,1984
"Jennifer Corvino, the daughter of a famous actor, has had trouble with sleepwalking for some time. Her doctor said that it can develop a split personality. She discovers her alternate personality when she stays at a boarding school that was once the home a Richard Wagner. But someone has been killing the students, and it relates only indirectly to the criminal sanitorium nearby. So it's up to ""the two greatest detectives the world has ever known, or should I say, unknown""",Phenomena,1985
"Circa 1920, during the Indian British rule, Dr. Aziz H. Ahmed was born and brought up in India. He is proficient in English, and wears Western style clothing. He meets an old lady, Mrs. Moore, at a mosque, who asks him to accompany her and her companion, Adela Quested, for sight-seeing around some caves. Thereafter the organized life of Aziz is turned upside down when Adela accuses him of molesting her in a cave. Aziz is arrested and brought before the courts, where he learns that the entire British administration is against him, and would like to see him found guilty and punished severely, to teach all native Indians what it means to molest a British citizen. Aziz is all set to witness the ""fairness"" of the British system, whose unofficial motto is ""guilty until proved innocent.""",A Passage to India,1984
"An animated fantasy-adventure. Set 1,000 years from now, the earth is ravaged by pollution and war. In the Valley of the Wind lives Nausicaa, princess of her people. Their land borders on a toxic jungle, filled with dangerous over-sized insects. Meanwhile two nearby nations are bitterly engaged in a war and the Valley of the Wind is stuck in the middle...",Nausicaä of the Valley of the Wind,1984
"Set in the 1930s, an honest, goodhearted man is forced to turn to a life of crime to finance his neurotic mother's skyrocketing medical bills.",Johnny Dangerously,1984
"Harkin Banks is a young Idaho farm kid who is also an ace at skiing. He is headed to the freestyle skiing championships in Squaw Valley, CA along with runaway Sunny. He meets his adversary in the form of Rudy, a self centered European skier who doesn't take a liking to Harkin or his new found friends, The Rat Pack, led by veteran Dan O' Callahan. Harkin has many misadventures with Dan and his buddies, but doesn't lose focus in his attempt to get the World Cup.",Hot Dog... The Movie,1984
"A shipping disaster in the 19th Century has stranded a man and woman in the wilds of Africa. The lady is pregnant, and gives birth to a son in their tree house. The mother dies soon after. An ape enters the house and kills the father, and a female ape takes the tiny boy as a replacement for her own dead infant, and raises him as her son. Twenty years later, Captaine Phillippe D'Arnot discovers the man who thinks he is an ape. Evidence in the tree house leads him to believe that he is the direct descendant of the Earl of Greystoke, and thus takes it upon himself to return the man to civilization.","Greystoke: The Legend of Tarzan, Lord of the Apes",1984
"Clement Moloch (Joseph Maher (R.I.P.))is a doctor (dubbed ""the doctor""), but instead of using his skills to heal; he uses them to torture. He works for governments including the U.S. who wants insurgents dealt with. Now several of his victims want him dead and after several attempts fail. Holland (Charles Bronson (R.I.P.)), a retried killer for hire, is informed of the death of an old friend who was trying to kill Moloch. Holland initially stating that he is retired doesn't take the job. But he changes his mind. He asks for woman and a child to accompany him so that he could appear to be a family man. And the woman who goes with him (Theresa Saldana) is the wife of his friend, who brings her daughter along. When Holland arrives he notices that Moloch is heavily protected so he starts by taking out his people.",The Evil That Men Do,1984
"The thirty year-old hard-worker Bobby Grady is married with two children to the frigid Amy Grady and their marriage is in crisis. Bobby is invited to work the night shift at a fashion design studio whose owner believes his talented and introspective designer Joanna Crane is selling his designs to competitors. Bobby accepts the job to make money and please Amy with a bathtub and follows Joanna after hours. He discovers she has a double life, working as a fifty-dollar hooker called China Blue in the red light district and practicing kinky sex with her clients to satisfy their fantasies. Bobby becomes obsessed by China Blue and when the true thief is found, he has sex with her and they have a crush on each other. Meanwhile the insane preacher Rev. Peter Shayne (Anthony Perkins) decides to save Joanna's soul and stalks her everywhere.",Crimes of Passion,1984
A developer tries to bulldoze a community recreation center. The local breakdancers try to stop it.,Breakin' 2: Electric Boogaloo,1984
A struggling young jazz dancer meets up with two break-dancers. Together they become the sensation of the street crowds.,Breakin',1984
