Plot,Title,Year
"A down-on-his-luck movie agent (Billy Crystal) goes to a movie site in Romania to be with his only client, his former paperboy. But once he gets there, the kid tells him he is getting a big time agent and that he is fired. Despondent, the agent roams the countryside until he loses control of his car and overturns into a pond where he seemingly is going to drown until a pair of gigantic hands pulls him free of the car. Later he awakens in a monastery and discovers that a 7-1/2' man (NBA player Gheorge Muresan) rescued him. Money dances in front of the agent as he figures ways to get him back to America and into the movies. The giant is only interested in getting to Gallup to see his childhood girl friend. First the agent gets him a small role in the Romanian-filmed movie which earns his plane fare. Then he takes him to Las Vegas where he convinces Steven Seagal (in a cameo as himself) to include the giant in a new action film.",My Giant,1998
"This retelling of the old Chinese folktale is about the story of a young Chinese maiden who learns that her weakened and lame father is to be called up into the army in order to fight the invading Huns. Knowing that he would never survive the rigours of war in his state, she decides to disguise herself and join in his place. Unknown to her, her ancestors are aware of this and to prevent it, they order a tiny disgraced dragon, Mushu to join her in order to force her to abandon her plan. He agrees, but when he meets Mulan, he learns that she cannot be dissuaded and so decides to help her in the perilous times ahead.",Mulan,1998
"The baby gorilla left in her care grows up to become a hugely tall and broad specimen by the name of Joe, living in the mountains as a mostly unseen legend among people who live there. Along comes an eco-minded emissary from a California sanctuary, who talks the jungle girl into providing safe haven for Joe at the L.A. facility. The transition is not without discomfort, but everything is aggravated via a conspiracy of poachers to get Joe into their own greedy hands!",Mighty Joe Young,1998
Bruce Willis is an outcast FBI agent who protects a 9 year old autistic boy who is the target for assassins after cracking a top secret government code.,Mercury Rising,1998
"The original Zorro, Don Diego de la Vega, is captured and imprisoned just as Spain concedes California to Santa Anna. 20 years go by and his mortal enemy, Don Rafael Montero, returns to California with a plan to become wealthy at the expense of the peasants. The original Zorro escapes from prison and trains a new Zorro to take his place. Much swashbuckling and derring-do ensues.",The Mask of Zorro,1998
"Paris is starving, but the King of France is more interested in money and bedding women. When a young soldier dies for the sake of a shag, Aramis, Athos and Porthos band together with a plan to replace the king. Unknown to many, there is a 2nd king, a twin, hidden at birth, then imprisoned for 6 years behind an iron mask. All that remains now is D'Artagnan, will he stand against his long time friends, or do what is best for his country?",The Man in the Iron Mask,1998
"Gus Cantrell is a major league pitcher in the twilight of his career. He contacted by Roger Dorn, General Manager of the Minnesota Twins, and offered the role of managing the Buzz, the Twins' AAA team. Cantrell accepts but regrets it almost immediately. The Buzz is a dysfunctional no-hoper team, with an odd assortment of characters. However, Cantrell quickly sets about forging them into a winning team.",Major League: Back to the Minors,1998
"Young Vincenzo Cortino, son of a Sicilian postman, delivers a package for his father and accidentally sees something he should not see. In a donkey's, well, he is smuggled out of town, where he tries to reach a ship headed for America. There, Vincenzo works his way up to the top of the Mafia. One day, his youngest son makes a mistake and has to leave town. A little later, he ends up as a casino boss in Las Vegas. But the heads of the other families want old Don Cortino out of the way. So, they shoot him 47 times and send a *very* attractive woman to distract his son from his casino work. Will he fall for her or will he return to Diane, who, by the way, had run for President successfully in the meantime?",Mafia!,1998
"A university professor is paid to find the last undiscovered tribe of New Guinea. When he fails to find the tribe, he comes home, and rather than admitting that he's failed, he gives a lecture about the Shelmikedmu tribe (named after his children: Shelly, Mike, and Edmund) and then has his family dress like ""Shelmikedmus,"" so that he can film them as proof of his discovery.",Krippendorf's Tribe,1998
"Max is a popular local sports broadcaster and his marriage with attractive Sam is already set up. Max is not sure he wants Sam to be his wife and offers his best friend Jay a test: Jay will try to seduce Sam and if he fails Max will have enough trust in Sam to go on with a marriage. Jay refuses, but soon they become professionally connected with Sam.",Kissing a Fool,1998
"Judith Nelson quit her medical studies to marry. Years later, her husband, a physician, divorces her to be with another doctor. Deeply frustrated, she now lives alone in her luxury apartment in New York, looking for a new meaning for her life. Pat Francato, the janitor and lift-boy, has a troubled life himself: Gambling debts and the tragic death of his daughter took away all his spirit. One day, he and Judith meet in the right mood and a fragile friendship starts to grow. They can help each other to get on their feet again. But one false move could destroy everything they built so carefully.",Living Out Loud,1998
"The housewife Claire Cooper is married with the pilot Paul Cooper and their little daughter Rebecca is their pride and joy. When a stranger kidnaps a girl, Claire dreams about the man but Detective Jack Kay ignores her concerns. But when Rebecca disappears during a school play, Claire learns that her visions were actually premonitions and she is connected to the killer through her dreams. She has a nervous breakdown and tries to commit suicide. Her psychologist Dr. Silverman sends her to a mental institution and soon she finds that her husband will be the next victim of the serial-killer. Further, the serial-killer was interned in the same cell in the hospital where she is. Will Claire be able to save Paul?",In Dreams,1999
"The real-life story of Dublin folk hero and criminal Martin Cahill, who pulled off two daring robberies in Ireland with his team, but attracted unwanted attention from the police, the IRA, the UVF and members of his own team.",The General,1998
"Stella is a highly successful, forty-something San Francisco stock broker who is persuaded by her colorful New York girlfriend Delilah to take a well deserved, first-class vacation to Jamaica. As she soaks in the beauty of the island, she encounters a strapping, young islander, Winston Shakespeare. His pursuits for her turn into a hot and steamy romance that forces Stella to take personal inventory of her life and try to find a balance between her desire for love and companionship, and the responsibilities of mother and corporate executive.",How Stella Got Her Groove Back,1998
"Ricky Hayman, right hand of Good Buy Shopping Network's owner John McBainbridge, is responsible for over two years of very bad sales numbers. He gets a last chance. Accidentally, he and Kate Newell nearly run over G with his car and decide to take him with them. What they never could guess was that G really is the one good man around. Being on the search for enlightenment, G offers his help generously to save Ricky's job. His natural, uncontrollable behaviour soon gets Ricky into really big trouble, but the sales numbers now go up for the first time in months...",Holy Man,1998
"An intimate story of the enduring bond of friendship between two hard-living men, set against a sweeping backdrop: the American West, post-World War II, in its twilight. Pete and Big Boy are masters of the prairie, but ultimately face trickier terrain: the human heart.",The Hi-Lo Country,1998
"In Huntingburg, the armored truck with three million dollars driven by Tom and his Uncle Charlie gets stuck in the flooding and realizes that the town has been evacuated since the dam does not have capacity to hold the storm. While waiting for the National Guard, they are attacked by Jim and his gang formed by Kenny, Mr. Mehlor and Ray and the clumsy Kenny kills Charlie. Tom flees with the bags of money and hides them in the cemetery. Then he is hunted down by Jim and his gang and he hides in a church. Out of the blue, he is knocked out and awakes locked in a cell. Soon he learns that the restorer Karen believed he was a looter and hit him. Sheriff Mike Collins and Deputy Wayne Bryce go to investigate Tom' story while Officer Phil takes Karen out of the town by boat. However she escapes with the boat and goes to the church. Meanwhile Tom is trapped in the cell full of water and Karen rescues him. He decides to return to the armored truck to retrieve a shotgun but he is captured by Jim and his men and learns that Charlie was part of the gang. He tries to retrieve the hidden money for the gang, but Sheriff Collins and his men have already taken it. Soon Tom learns that the Sheriff wants to keep the money for him and his men and Tom and Karen are witnesses and he teams up with Jim.",Hard Rain,1998
"On Halloween in 1963, Michael Myers murdered his sister, Judith. In 1978, he broke out to kill his other sister, Laurie Strode. He killed all of her friends, but she escaped. A few years later, she faked her death so he couldn't find her. But now, in 1998, Michael has returned and found all the papers he needs to find her. He tracks her down to a private school where she has gone under a new name with her son, John. And now, Laurie must do what she should have done a long time ago and finally decided to hunt down the evil one last time.",Halloween H20: 20 Years Later,1998
"After Kenny accidentaly kills a cop's diabetic horse by feeding it the food he purchased from a munchie run, he is put in jail and is given a 1 million dollar bail. The rest of the group must bail Kenny out before Nasty Nate gets to him. The group decides to sell marijuana that Thurgood gets through his job as a janitor at a pharmaceutical lab. They become pals with rap star Sir Smoke-A-Lot and the rivals of dealer Samson Simpson. On the side, Thurgood seeks the love of Mary Jane, an anti-pot daughter of a dealer. What follows is typical pothead behaviour with a ton of cameos. Look carefully.",Half Baked,1998
"When the father of privileged Rosina da Silva violently dies, she decides to pass herself off as a gentile and finds employment with a family in faraway Scotland. Soon she and the family father, Charles, start a passionate secret affair.",The Governess,1998
"Anna and Ben, the two children of Jackie and Luke, have to cope with the fact that their parents divorced and that there is a new woman in their father's life: Isabel, a successful photographer. She does her best to treat the kids in a way that makes them still feel at home when being with their dad, but also loves her work and does not plan to give it up. But Jackie, a full-time mother, regards Isabel's efforts as offensively insufficient. She can't understand that work can be important to her as well as the kids. The conflict between them is deepened by the sudden diagnosis of cancer, which might may be deadly for Jackie. They all have to learn a little in order to grow together.",Stepmom,1998
"Following the French atomic bomb tests in the South Pacific, an unknown creature is spotted passing eastward through the Panama Canal. Scientist Niko Tatopolous is called in to investigate the matter, and he quickly arrives at the conclusion that a giant, irradiated lizard has been created by the explosions. Godzilla then makes its way north, landing at Manhattan to begin wreaking havoc in the big city. Even with the combined forces of the U.S. military to fight the monster, will it be enough to save the people of New York?",Godzilla,1998
"The story of James Whale, the director of Frankenstein (1931) and Bride of Frankenstein (1935), in the time period following the Korean War. Whale is homosexual and develops a friendship with his gardener, an ex-Marine.",Gods and Monsters,1998
"A street-wise, middle-aged moll named Gloria stands up against the mobs, which is complicated by a six-year-old urchin with a will of his own who she reluctantly takes under her wing after his family has been gunned down.",Gloria,1999
"Firefighter Jesse Graves has to save ornithologist Jennifer and other people caught in a forest fire, which was set up by the lawyer of convicted killer Earl Shaye, who escaped from the prison with several of his inmates posing as firefighters to recover $37,000,000 in stashed loot.",Firestorm,1998
"The big-screen version of Hunter S. Thompson's seminal psychedelic classic about his road trip across Western America as he and his large Samoan lawyer searched desperately for the ""American dream""... they were helped in large part by the huge amount of drugs and alcohol kept in their convertible, The Red Shark.",Fear and Loathing in Las Vegas,1998
"An international team of climbers ascends Mt. Everest in the spring of 1996. The film depicts their lengthy preparations for the climb, their trek to the summit, and their successful return to Base Camp. It also shows many of the challenges the group faced, including avalanches, lack of oxygen, treacherous ice walls, and a deadly blizzard.",Everest,1998
"Robert Dean is a mild-mannered lawyer who works in Washington D.C. He is on the trail of a kingpin named Pintero. Meanwhile, a politician named Thomas Reynolds is negotiating with Congressman Phillip Hammersley about a new surveillance system with satellites. But, Hammersley declines; Reynolds has Hammersley killed, but the murder is caught on tape, and the taper is chased by Reynolds' team of NSA agents. The guy must ditch the tape, so he plants it on Dean (unbeknownst to Dean). Then, the NSA decides to get into Dean's life. That is when Dean's life began to fall apart all around him, with his wife and job both gone. Dean wants to find out what is going on. Then, he meets a man named ""Brill"" who tells him that Dean has something that the government wants. Dean and Brill formulate a plan to get Dean's life back and turn the tables on Reynolds.",Enemy of the State,1998
"Mitch and Sam have to come up with $50,000 and fast! The only problem is neither one can hold down a job. Mitch finds a way to money by exploiting the only talents the two have, by opening a ""Revenge For Hire"" business.",Dirty Work,1998
"Journalist Jenny Lerner is assigned to look into the background of Secretary Alan Rittenhouse who abruptly resigned from government citing his wife's ill health. She learns from his secretary that Rittenhouse was having an affair with someone named Ellie but when she confronts him, his strange reaction leads her to reconsider her story. In fact, a comet, discovered the previous year by high school student Leo Biederman and astronomer Dr. Marcus Wolf, is on a collision course with the Earth, an Extinction Level Event. A joint US-Russian team is sent to destroy the comet but should it fail, special measures are to be put in place to secure the future of mankind. As the space mission progresses, many individuals deal with their fears and ponder their future.",Deep Impact,1998
Two surfers end up as Yellowstone park rangers and have to stop a former ranger who is out for revenge.,Meet the Deedles,1998
"A single father balances his work as an attorney with the care of his five year old son and his work as a high school basketball coach in rural Kansas, where he moved after his wife abandoned him in Chicago. Just as he starts to develop a new relationship with a veterinarian's assistant, his ex-wife suddenly reappears and wants to re-assert herself in her husband and son's life. On top of the romantic conflict, he is also suddenly presented with the opportunity of a lifetime to join a major firm in Dallas.","A Cool, Dry Place",1998
"Jan Schlichtmann, a tenacious lawyer, is addressed by a group of families. When investigating the seemingly non-profiting case, he finds it to be a major environmental issue that has a lot of impact potential. A leather production company could be responsible for several deadly cases of leukemia, but also is the main employer for the area. Schlichtmann and his three colleagues set out to have the company forced to decontaminate the affected areas, and of course to sue for a major sum of compensation. But the lawyers of the leather company's mother company are not easy to get to, and soon Schlichtmann and his friends find themselves in a battle of mere survival.",A Civil Action,1998
"Seth is an angel who accompanies the spirits of the recently dead to the ever after. Seth has never been human and so has has never experienced touch or taste. When in the hospital however he comes across Dr. Maggie Rice, a brilliant young heart surgeon who is devoted to her profession and her patients. Seth has the power to let himself be seen but Maggie finds him far too mysterious. Seth also meets a patient, Nathaniel Messinger, who has news for him - he too was once an angel like Seth but chose to fall to Earth and become human. Seth makes a decision on his future, which does not turn out as he had expected.",City of Angels,1998
"With the sudden death of her loving father, Danielle is made a servant by her new stepmother. She also has two new stepsisters, one quite kind but the other one really horrid. Still, Danielle grows up to be a happy and strong-willed young lady, and one day her path crosses that of handsome Prince Henry, who has troubles of his own at home. Luckily the nice Leonardo da Vinci is on hand to help all round.",Ever After: A Cinderella Story,1998
"At an annual pace, a huge colony of ants is forced to collect every piece of food that grows on their island for a group of menacing grasshoppers. But that all changes when a misfit inventor ant named Flik accidentally knocks over the offering pile thus forcing the grasshoppers' devious leader Hopper to force the ants to redo their gathering of food. Despite the fact that his friends don't believe him and desperate to help save the colony, Flik volunteers to go out into the world and search for a group of 'warrior' bugs. Instead, what he got was a talented group of circus performers. But when the grasshoppers return and take control of the island, Flik must prove himself a true hero before it's too late.",A Bug's Life,1998
"In a world where vampires walk the earth, Blade has a goal. His goal is to rid the world of all vampire evil. When Blade witnesses a vampire bite Dr. Karen Jenson, he fights away the beast and takes Jenson back to his hideout. Here, alongside Abraham Whistler, Blade attempts to help heal Jenson. The vampire Quinn who was attacked by Blade, reports back to his master Deacon Frost, who is planning a huge surprise for the human population.",Blade,1998
"Mom and dad dump son Cody, daughter Abby, her best friend Marcella and a baby on the farm with Grandpa and Grandma. Purple dinosaur Barney soon appears to entertain kids, and when a large colorful egg deposited on a farm by a shooting star is accidentally carted off, Barney and kids start their chase for it.",Barney's Great Adventure,1998
"After Babe's great victory in the shepherding contest, Farmer Arthur Hoggett turns down all offers to make money with his pig's talents. But when he gets hurt severely in the well, his wife has to take up farming. She does her best but cannot meet the bank's requirements, which results in the necessity of getting back to Babe. Soon, Esme Hoggett is sitting in a plane headed for ""the"" city. There, Babe unwillingly causes deep trouble. He has to stay with Mrs. Hoggett in the only hotel in town that accepts pets. Friendly neighbours send officials who catch all animals from the hotel: Cats, dogs, chimpanzees and many others. Babe, who managed to stay free, decides to help his new friends and gets unexpected help - not only by Ferdinand, who flew all the way to the city.",Babe: Pig in the City,1998
"It is just another day at the National Aeronautics and Space Administration (NASA), a few astronauts were repairing a satellite until, out of nowhere, a series of asteroids came crashing into the shuttle, destroying it. These asteroids also decimated New York soon thereafter. Then, NASA discovered that there is an asteroid roughly the size of Texas heading towards the Earth, and when it does hit the Earth, the planet itself and all of its inhabitants will be obliterated, worse, the asteroid will hit the Earth in 18 days. Unfortunately, NASA's plans to destroy the asteroid are irrelevant. That is when the U.S. military decides to use a nuclear warhead to blow the asteroid to pieces. Then, scientists decide to blow the asteroid with the warhead inside the asteroid itself. The only man to do it, is an oil driller named Harry Stamper and his group of misfit drillers and geologists. As he and his drill team prepare for space excavation, the asteroid is still heading towards the Earth. When the crew are launched into outer space, they are determined to destroy this asteroid.",Armageddon,1998
"In an anthill with millions of inhabitants, Z 4195 is a worker ant. Feeling insignificant in a conformity system, he accidentally meets beautiful Princess Bala, who has a similar problem on the other end of the social scale. In order to meet her again, Z switches sides with his soldier friend Weaver - only to become a hero in the course of events. By this he unwillingly crosses the sinister plans of ambitious General Mandible (Bala's fiancé, by the way), who wants to divide the ant society into a superior, strong race (soldiers) and an inferior, to-be-eliminated race (the workers). But Z and Bala, both unaware of the dangerous situation, try to leave the oppressive system by heading for Insectopia, a place where food paves the streets.",Antz,1998
"Derek Vineyard is paroled after serving 3 years in prison for brutally killing two black men who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",American History X,1998
"An anthology film retelling the story of the famous Studio 54, a hot disco hangout for the social elite of New York. The movie follows several characters at once, some of whom are in desperate straits and on the verge of crashing.",54,1998
"Young Cuban Rafael just buried his mother, and comes to Houston to meet his father John for the first time. The difficult part is that John doesn't know he is Rafael's father. John runs a dance studio, and everyone prepares for the World Open Dance championship in Las Vegas. It soon becomes clear Rafael is a very good dancer, and Ruby is the biggest hope for the studio at the championship.",Dance with Me,1998
"This film documents Neil Young and Crazy Horse's 1996 concert tour. Jim Jarmusch interviews the band about their long history, and we see backstage footage from the 1970s and 1980s.",Year of the Horse,1997
"New York City. Forty year old Lee Simon, a critically panned two time novelist who works as a travel writer (a job he hates) to earn a steady living, tells his shocked wife of sixteen years, English teacher Robin Simon, that he wants a divorce. Although he had not been happy with Robin for some time, she who he feels is a bundle of Catholic repressions and neuroses especially when it comes to sex, Lee finally came to the conclusion about wanting a divorce upon attending his high school reunion and seeing a roomful of losers, he believing he turning into one of them if he didn't make a drastic change. He gets a job working as a journalist for an entertainment magazine, while he writes screenplays on the side, he believing the latter a good stepping stone to finishing his third novel if the screenplays works out. The journalist job includes conducting interviews with celebrities, not only to who he can pedal his completed screenplay, but also what he quickly learns to who he has easy access to an abundance of sex with the ""beautiful people"". Regardless, Lee enters into a relationship with Bonnie, a publishing house story editor who encourages him to complete that novel, which she truly believes will be better than the first two if only due to maturity. Meanwhile, Robin, who is not taking the divorce well, is convalescing at a Catholic retreat before she, with the support of her friends Jan and Cheryl, decides what next to do with her life, she believing that returning to teaching not the answer. During her search, Robin unexpectedly stumbles onto her own connection with celebrity when she meets television producer Tony Gardella, who hires her to be a production assistant with his company. Lee and Robin's resulting stories take them in two different directions, one toward and the other away from the true happiness that was absent from their marriage.",Celebrity,1998
"Darlene ""Woo"" Bates, played by Jada Pinkett Smith, has been dumped a little bit too many times, now this femme-fatale doesn't let just any man swing with her, and when she's set up on a blind-date with Tommy Davidson's character, it could be love.. if they don't kill each other first. ""Woo"" features cameos by Foxy Brown, LL Cool J, and Duane Martin.",Woo,1998
N/A,Wonderland,1997
"In the beginning of the times, God created life into universe: light gave birth to angels, earth to men and fire to djin, creatures condemned to dwell in the void between the worlds. One who wakes a djin shall be given three wishes. Upon granting the third, an unholy legion of djins are freed through a doorway between the worlds upon the Earth. In 1127 A.D., in Persia, a sorcerer lures and traps a powerful Djinn in the stone of secret fire. In the present days, a drunken crane operator drops the valuable statue of Ahura Mazda over the assistant of Raymond Beaumont on the harbor, and one worker finds the huge and priceless opal red stone where Djin is seized. Alexandra Amberson, who works in an auction house, receives the stone for evaluation and accidentally awakes Djin. The evil creature is released later, charges the stone with people souls and feeds with their fears, while chasing Alexandra to force to make three wishes and unleash the demoniac fiends upon Earth.",Wishmaster,1997
"The film centers on four pairs - Frances is a recent widow who wants to get away from Scotland to Australia with her teenage son Alex to escape her memories, arrival of her old mother Elspeth makes her reconsider her decision. Alex approaches his first sexual experience with neighbour girl Nita. Chloe and Lily are two old women who like to attend strangers' funerals and Tom with Sam are two schoolboys who skip school to play on the beach and talk.",The Winter Guest,1997
"Kate Croy's mother was born to wealth and privilege, but she threw it all away to marry Kate's father, a penniless opium addict who admits to having stolen from his wife. After her mother's death, Kate is offered an opportunity to return to the life her mother gave up. There is a condition, however: Kate must sever all of her old ties, not only to her father, but also to her lover, the muck-raking journalist Merton Densher, whom she has promised marriage. Kate reluctantly agrees to this, and in the meantime becomes friendly with ""the world's richest orphan,"" Millie Theale, an American making the Grand Tour. Desperate to see Kate, Merton crashes a party that she and Millie are attending, and Millie is attracted to him. When Kate learns that Millie is dying, she comes up with a plan to have her cake and eat it too...but all does not go as planned.",The Wings of the Dove,1997
"The story of Oscar Wilde, genius, poet, playwright and the First Modern Man. The self-realization of his homosexuality caused Wilde enormous torment as he juggled marriage, fatherhood and responsibility with his obsessive love for Lord Alfred Douglas, nicknamed Bosie. After legal action instigated by Bosie's father, the enraged Marquise of Queensberry, Wilde refused to flee the country and was sentenced to two years at hard labor by the courts of an intolerant Victorian society.",Wilde,1997
"Three brothers - Marshall, Marty and Mark dream of becoming naturalists and portraying animal life of America. One summer their dream comes true, they travel through America, filming alligators, bears and moose.",Wild America,1997
"Bobby Boucher is the lowly waterboy for a college football team, until the coach discovers his amazing talent for tackling people much bigger than him. He signs the Waterboy as the new star player, but Bobby must keep it secret from his overbearing and domineering mother.",The Waterboy,1998
"An American gets a ticket for an audience participation game in London, then gets involved in a case of mistaken identity. As an international plot unravels around him, he thinks it's all part of the act.",The Man Who Knew Too Little,1997
"Something unspeakably chilling is ultimately starting to heat up at The City of Los Angeles! Beneath the famed La Brea Tar Pits, a raging volcano has formed, raining a storm of deadly fire bombs and an endless tide of white-hot lava upon the stunned city!",Volcano,1997
"When a typhoon cripples their boat, the crew sails into the eye of the storm, where they discover a high-tech Russian communications and research vessel adrift. Only one Russian crew member is still alive, raving about ""intelligent lightning."" They soon discover that an alien life form has taken over the ship's computers and is churning out mechanical warriors. With their own boat destroyed, the crew must battle the creature as the ship reenters the storm.",Virus,1999
"When Clark Griswold puts his mind to something, we soon realize he hasn't got one. Still, nothing stops him when the vacation bug hits. This time, he's chosen Las Vegas, the new family entertainment capital of America! Chevy Chase returns as bubbly, bumbling Clark in Vegas Vacation, a jokers-are-wild laugh fest including two other stars from past Vacations. Beverly D'Angelo is back as wife Ellen, doting on the guy she calls ""Sparky,"" and Randy Quaid again delights as grubby goof ball Cousin Eddie. Ethan Embry (That Thing You Do!) and screen-debuting Marisol Nichols are Griswold teens who love the round-the-clock nightlife - as long as they don't share it with Mom and Dad! From Seigfried and Roy's extravaganza to a Hoover Dam tour, from cruising to losing (Wallace Shawn as a shifty blackjack dealer) to amorous crooning (Wayne Newton falls for Ellen): watch Clark try to keep family and wallet together!",Vegas Vacation,1997
"After spending seven years behind bars, Johnny Crown is back on the street, with lots of cash, a psychotherapy degree and a burning desire to find and punish gangsters who had killed his father. One of the people involved is Frank Gavillan, who unwillingly follows Johnny in his demonical and ultraviolent crusade.",Underworld,1996
"Ulee is called one day by his incarcerated son, Jimmy, asking for a favor. Jimmy will repay his debts if they save his wife, Helen, from hoodlums. Ulee must now risk his and his family's lives to save Helen.",Ulee's Gold,1997
"Simon is a confessed serial killer who spent the last five years in a mental hospital because of his state. Dr.Karen Shoemaker wants to get through to him and starts visiting him in the hospital, and his previous life comes to us in flashbacks.",The Ugly,1997
"When Bobby's car breaks down in the desert while on the run from some of the bookies who have already taken two of his fingers, he becomes trapped in the nearby small town where the people are stranger than anyone he's encountered. After becoming involved with a (unbeknownst to him) young married woman, her husband hires Bobby to kill her. Later, she hires Bobby to kill the husband.",U Turn,1997
"Twin Town opens with wide sweeping shots of seaside Swansea; to be the place of action for the next one and a half hours. The serene setting with miles upon miles of old semi-detached housing is suddenly cleaved apart by two young lads tearing through the neighbourhood in a two tone BMW 525. Julian and Jeremy are in deep trouble. Their dysfunctional family scrapes together a living from their dole money and odd-jobs offered to their father. The boys have long since turned to drug abuse and car theft leading a happy-go-lucky life in downtown no-hoper city. In due course the plot thickens as the boys are out for revenge against wealthy club owner Bryn who is not particularly helpful in providing compensation when their father is hit by an accident when working on his premises. The boys are fairly imaginative when it comes to planning their strike, culminating in scenes which all dog-haters and karaoke loathers will love.",Twin Town,1997
