Title,Year,Genre,Rated,Plot
Men with Brooms,2002,"Comedy, Drama, Romance",R,"Long Bay resident Donald Foley, a life long curler and more recent curling coach, has just passed away. He has requested that his cremated ashes be bored into a specific curling stone he has just had retrieved from the bottom of Long Bay. His will also has a non-binding codicil to reunite the last team he coached to curl in the Golden Broom Bonspiel in town, a Long Bay team which has never won and that team which was the closest ever to doing so. Donald wants that specific stone in which he is buried to be delivered as the final shot to sit on the button for the win for the Long Bay team. Beyond the four team members not having curled at all since their last bonspiel ten years ago, they each have issues in their lives which may make coming together as a team and winning, and curling in its entirety difficult or a non-priority. Lead Neil Bucyk's life is directed by his controlling wife Linda, a right she believes she has as his livelihood is in her family's business, a funeral home. Second Eddie Strombeck and his wife Lilly are trying to conceive, her ovulation cycles which may trump all else in his life especially as they have long tried to have a baby without success (although they are having a good time in the trying). Third James Lennox, who has recently returned to town with Joanne, the latest in a long line of not too bright casual and short term girlfriends, is a drug dealer whose biggest priority may be to evade the thugs to who he owes a lot of money. But the biggest question mark may be skip Chris Cutter, who unilaterally made the decision to break up the team when he left town to work in the Alberta oil patch. He quit curling over guilt in not reporting a burnt rock in that last bonspiel, that rock which he ultimately threw into Long Bay (i.e. the rock in which Donald is now buried). The issue of skill may be somewhat addressed if Chris is willing to reconnect with his father and Donald's friend, Gordon Cutter, with who Chris has been estranged over family issues but who remains the most knowledgeable curler in town. The other part of the skill issue is that the Butte team will be curling in the bonspiel, their entire team, but especially skip Alexander Yount, who are treated like rock stars in the curling world. If Chris remains in town to curl, he also has to address some personal issues, as his departure ten years ago broke up his relationship with Donald's daughter, Julie Foley, that adversity which in part led to she coming out ahead professionally as a member now of the space program. However, Donald's other daughter, single mother physiotherapist and admitted alcoholic Amy Foley, who was Chris' drinking buddy and is everyone's best friend, has always had feelings for Chris herself, something of which Chris and Julie, deep in their hearts, are aware."
Love the Hard Way,2001,"Drama, Crime, Romance",R,The story of a petty thief who meets an innocent young woman and brings her into his world of crime while she teaches him the lessons of enjoying life and being loved.
Empire,2002,"Crime, Drama, Thriller",R,"A big time drug dealer Victor Rosa is looking to get out of the game and sees his chance with a big deal and a new friend who happens to be a Wall St. stockbroker. Thinking this will be his chance to go out on top, Victor soon finds out that he has been double crossed and his last option is to get revenge."
Lovely & Amazing,2001,"Comedy, Drama, Romance",R,"The Marks family is a tightly-knit quartet of women. Jane is the affluent matriarch whose 3 daughters seem to have nothing in common except for a peculiar sort of idealism. Setting the tone of vanity and insecurity, Jane is undergoing cosmetic surgery to alter her figure, but serious complications put her health in real danger. Former homecoming queen Michelle, the eldest daughter, has one daughter of her own and an alienated, unsupportive husband. Elizabeth, the middle sister, has an acting career that is beginning to take off, but is timid and insecure, and habitually relieves her trepidation by taking in stray dogs. Only the youngest sister, Annie, an adopted African American 8-year-old, stands a chance of avoiding the family legacy of anxious self-absorption. If only her intelligence and curiosity will see her through what promises to be a confusing adolescence. Each of the women seeks redemption in her own haphazard way."
S1m0ne,2002,"Comedy, Drama, Sci-Fi",PG-13,"The career of a disillusioned producer, who is desperate for a hit, is endangered when his star walks off the film set. Forced to think fast, the producer decides to digitally create an actress ""Simone"" to sub for the star--the first totally believable synthetic actress. The ""actress"" becomes an overnight sensation, with a major singing career as well, and everyone thinks she's a real person. However, as Simone's fame skyrockets, he cannot bear to admit his fraud to himself or the world."
About Schmidt,2002,"Comedy, Drama",R,"Warren Schmidt has led a safe, predictable life working in the insurance industry in Omaha, Nebr. for many years, yet now faces retirement. At the same time he is forced to take a hard look at his wife, his life and his relationship with his estranged daughter. An often hilarious series of events follow as Schmidt embarks on an unpredictable RV journey to attend his daughter's wedding in Denver."
S.W.A.T.,2003,"Action, Adventure, Crime",PG-13,"Based off of a one time T.V. show, two Los Angeles S.W.A.T. officers Jim Street and Brian Gamble were sent in to foil an extremely violent bank robbery. Although they thwarted the robbery, they shot a hostage in the process. Street was suspended from S.W.A.T. while Gamble was fired altogether. After 6 months, a veteran S.W.A.T. officer, Daniel Harrelson or ""Hondo"", is told to assemble a S.W.A.T. team for his division. He chooses other S.W.A.T. officers as well as 3 rookies. However, after they pass the S.W.A.T. training, they receive a message that a French crime boss, known as Alex Montell is trying to escape from prison. This will not be easy to prevent, especially after Montell promises $100 Million to his rescuers."
Road to Perdition,2002,"Crime, Drama, Thriller",R,"1931. Mike Sullivan and Connor Rooney are two henchmen of elderly Chicago-based Irish-American mobster John Rooney, Connor's father. In many respects, John treats Mike more as his son, who he raised as his own after Mike was orphaned, than the volatile Connor, who nonetheless sees himself as the heir apparent to the family business. One evening, Mike's eldest son, twelve year old Michael Sullivan Jr., who has no idea what his father does for a living, witnesses Connor and his father gun down an associate and his men, the situation gone wrong initiated from an action by Connor. Caught witnessing the incident, Michael is sworn to secrecy about what he saw. Regardless, Connor, not wanting any loose ends, makes an attempt to kill Mike, his wife and their two sons. Mike and the surviving members of his family know that they need to go on the run as Connor, who has gone into hiding, will be protected through mob loyalty, especially by John, who cannot turn on his own flesh and blood. Still, Mike has to figure out a way for retribution for what Connor did, while still protecting him and his family, not only from Connor, but from John and his fellow associates. Through it all, Mike wants those in his family that had no say in what he chose as a living, to have some redemption for their eternal souls."
Sweet Home Alabama,2002,"Comedy, Romance",PG-13,"Melanie Carmichael, an up and rising fashion designer in New York, has gotten almost everything she wished for since she was little. She has a great career and the JFK-like fiancée of New York City. But when he proposes to her, she doesn't forget about her family back down South. More importantly, her husband back there, who refuses to divorce her ever since she sent divorce papers seven years ago. To set matters straight, she decides to go to the south quick and make him sign the papers. When things don't turn out the way she planned them, she realizes that what she had before in the south was far more perfect than the life she had in New York City."
Possession,2002,"Drama, Mystery, Romance",PG-13,"Roland Michell is an American scholar trying to make it in the difficult world of British Academia. He has yet to break out from under his mentor's shadow until he finds a pair of love letters that once belonged to one of his idols, a famous Victorian poet. Michell, after some sleuthing, narrows down the suspects to a woman not his wife, another well known Victorian poet. Roland enlists the aid of a Dr. Maud Bailey, an expert on the life of the woman in question. Together they piece together the story of a forbidden love affair, and discover one of their own. They also find themselves in a battle to hold on to their discovery before it falls into the hands of their rival, Fergus Wolfe."
Pauline and Paulette,2001,"Comedy, Drama",PG,"Pauline is a 'little girl of 66 years old'. She is intellectually disabled and been cared after by her sister Martha. When Martha dies, her two younger sisters, Paulette and Cecile have to ..."
The Piano Teacher,2001,Drama,R,"Erika Kohut is a pianist, teaching music. Schubert and Schumann are her forte, but she's not quite at concert level. She's approaching middle age, living with her mother who is domineering then submissive; Erika is a victim then combative. With her students she is severe. She visits a sex shop to watch DVDs; she walks a drive-in theater to stare at couples having sex. Walter is a self-assured student with some musical talent; he auditions for her class and is forthright in his attraction to her. She responds coldly then demands he let her lead. Next she changes the game with a letter, inviting him into her fantasies. How will he respond; how does sex have power over our other faculties?"
Sex and Lucia,2001,"Drama, Romance",R,"Lucía is a young waitress in a restaurant in the centre of Madrid. After the loss of her long-time boyfriend, a writer, she seeks refuge on a quiet, secluded Mediterranean island. There, bathed in an atmosphere of fresh air and dazzling sun, Lucía begins to discover the dark corners of her past relationship, as if they were forbidden passages of a novel which the author now, from afar, allows her to read."
The Sweetest Thing,2002,"Comedy, Romance",R,"To ease their roommate through a relationship-induced depression, Christina Walters and Courtney Rockcliffe take her out on the town. During their attempts to find her ""Mr. Right Now"", Christina meets Peter Donahue. Missing her opportunity with him that night, Christina is talked into pursuing him to his brother's wedding."
Star Trek: Nemesis,2002,"Action, Adventure, Sci-Fi",PG-13,"After a joyous wedding between William Riker and Deanna Troi, Captain Picard and the Enterprise crew stumble upon a mysterious signal which results in it being a prototype android who is the twin to Data. Then the Enterprise is invited to Romulus to negotiate peace with the Romulans by their new Praetor named Shinzon. However, Shinzon is revealed to be a clone of Picard who was raised on Remus, a slave planet to the Romulans. Later on, Picard discovers that this peace treaty was nothing more than a set-up due to the fact that Shinzon needs Picard in order to survive. But little do the Enterprise crew know that Shinzon also plans to do away with the Federation by unleashing a weapon that could destroy a whole planet."
Reign of Fire,2002,"Action, Adventure, Fantasy",PG-13,"It is twenty years in the future, and the planet has been devastated by vicious fire-breathing dragons. The last vestiges of humanity now struggle for survival at remote outposts. In a ruined castle in the English countryside, Quinn is desperately trying to hold together a band of frightened, restless survivors. As a boy, Quinn watched his mother die protecting him from one of the beasts, and is still haunted by the memory. One day, a group of American rogues shows up, led by a brash, tough-guy named Van Zan. He claims to have discovered a way to kill the dragons once and for all, and enlists Quinn's help. But doing so will force Quinn to confront his own frightening memories. This, and Quinn's responsibilities to those that are under his protection, results in a battle of wills between the two men. In the end, events cause them both to realize that they must work together to defeat the monsters--both without and within."
The Pianist,2002,"Biography, Drama, Music",R,"In this adaptation of the autobiography ""The Pianist: The Extraordinary True Story of One Man's Survival in Warsaw, 1939-1945,"" Wladyslaw Szpilman, a Polish Jewish radio station pianist, sees Warsaw change gradually as World War II begins. Szpilman is forced into the Warsaw Ghetto, but is later separated from his family during Operation Reinhard. From this time until the concentration camp prisoners are released, Szpilman hides in various locations among the ruins of Warsaw."
Manic,2001,Drama,R,"Lyle Jensen is subject to sudden and violent outbursts, and he is committed to the juvenile wing of the Northwood Mental Institution. Several other youths are there with a variety of serious problems. Lyle interacts with other patients and staff on a human, and sometimes not so human level. The psychological problems of the patients also forms the fabric by which we see what's right with them, and what's wrong with the society that affects them."
The Grey Zone,2001,"Drama, History, War",R,"The true story of Dr. Miklos Nyiszli, a Hungarian Jew chosen by Josef Mengele to be the head pathologist at Auschwitz. Nyiszli was one of Auschwitz's Sonderkommandos - Special Squads of Jewish prisoners placed by the Nazis in the excruciating moral dilemma of helping to exterminate fellow Jews in exchange for a few more months of life. Together, the Sonderkommandos struggled to organize the only armed revolt that would ever take place at Auschwitz. As the rebellion is about to commence, a group from the unit discovers a 14-year-old girl who has miraculously survived a gassing. A catalyst for their desperate attempt at personal redemption, the men become obsessed with saving this one child, even if doing so endangers the uprising which could save thousands. To what terrible lengths are we willing to go to save our own lives, and what in turn would we sacrifice to save the lives of others?"
Rabbit-Proof Fence,2002,"Adventure, Biography, Drama",PG,"Western Australia, 1931. Government policy includes taking half-caste children from their Aboriginal mothers and sending them a thousand miles away to what amounts to indentured servitude, ""to save them from themselves."" Molly, Daisy, and Grace (two sisters and a cousin who are 14, 10, and 8) arrive at their Gulag and promptly escape, under Molly's lead. For days they walk north, following a fence that keeps rabbits from settlements, eluding a native tracker and the regional constabulary. Their pursuers take orders from the government's ""chief protector of Aborigines,"" A.O. Neville, blinded by Anglo-Christian certainty, evolutionary world view and conventional wisdom. Can the girls survive?"
Maid in Manhattan,2002,"Comedy, Drama, Romance",PG-13,"Marisa Ventura is a single mother born and bred in the boroughs of New York City, who works as a maid in a first-class Manhattan hotel. By a twist of fate and mistaken identity, Marisa meets Christopher Marshall, a handsome heir to a political dynasty, who believes that she is a guest at the hotel. Fate steps in and throws the unlikely pair together for one night. When Marisa's true identity is revealed, the two find that they are worlds apart, even though the distance separating them is just a subway ride between Manhattan and the Bronx."
House of 1000 Corpses,2003,Horror,R,"In ""House of 1000 Corpses"", two young couples take a misguided tour onto the back roads of America in search of a local legend known as Dr. Satan. Lost and stranded, they are set upon by a bizarre family of psychotics. Murder, cannibalism and satanic rituals are just a few of the 1000+ horrors that await."
Time and Tide,2000,"Action, Crime, Drama",R,"Tyler is a restless, streetwise 21-year-old Hong Kong native who's had trouble gaining the trust of others all his life. He secretly fantasizes about living the good life in South America. After a while, he is forced to deal with the reality of impending fatherhood. Hankering for quick cash, however, he joins a bodyguard company. Later, he makes friends with a once disillusioned mercenary determined to begin life in a new way. However, their companionship is brief: they both are uncontrollably forced toward opposite sides of a deadly showdown..."
How to Lose a Guy in 10 Days,2003,"Comedy, Romance",PG-13,"Benjamin Barry is an advertising executive competing with two female co-workers for a major campaign for a diamond merchant. He cuts a deal with his competitors that the account is his if he can make a woman of their choice fall in love with him in 10 days. In comes Andie Anderson who, in turn, is writing a story on how to lose a guy in 10 days as a bet with her boss to be allowed to write more substantial stories. With a hidden agenda in each camp, will either party be able to complete their mission?"
Unfaithful,2002,"Drama, Thriller",R,"Connie Sumner has a loving husband, a beautiful home, and a wonderful son, but she wants more. When she's approached one day by a handsome stranger while trying to hail a taxi, she becomes obsessed with him and eventually starts an affair. But her selfish actions soon catch up with her..."
#DUPE#,2002,N/A,N/A,N/A
The Experiment,2001,"Drama, Thriller",R,"The movie is based on the infamous ""Stanford Prison Experiment"" conducted in 1971. A makeshift prison is set up in a research lab, complete with cells, bars and surveillance cameras. For two weeks 20 male participants are hired to play prisoners and guards. The 'prisoners' are locked up and have to follow seemingly mild rules, and the 'guards' are told simply to retain order without using physical violence. Everybody is free to quit at any time, thereby forfeiting payment. In the beginning the mood between both groups is insecure and rather emphatic. But soon quarrels arise and the wardens employ ever more drastic sanctions to confirm their authority."
Nine Queens,2000,"Crime, Drama, Thriller",R,"Early one morning, Marcos observes Juan successfully pulling off a bill-changing scam on a cashier, and then getting caught as he attempts to pull the same trick on the next shift. Marcos steps in, claiming to be a policeman, and drags Juan out of the store. Once they are back on the street, Marcos reveals himself to be a fellow swindler with a game of much higher stakes in mind, and he invites Juan to be his partner in crime. A once-in-a-lifetime scheme seemingly falls into their laps - an old-time con man enlists them to sell a forged set of extremely valuable rare stamps, The Nine Queens. The tricky negotiations that ensue bring into the picture a cast of suspicious characters, including Marcos' sister Valeria, their younger brother Federico and a slew of thieves, conmen and pickpockets. As the deceptions mount, it becomes more and more difficult to figure out who is conning whom."
Juwanna Mann,2002,"Comedy, Drama, Romance",PG-13,"Juwanna Mann follows the story of Jamal Jeffries, the reigning 'bad boy' of basketball, whose undisciplined on-court antics land him out of the league and without any prospects. Financially strapped and untrained in anything but basketball, Jamal comes up with a plan so outrageous it just might work: dress up like a woman and try out for the woman's basketball league. To his surprise, he makes it, but now the real challenge begins - to cease being Jamal and start new life as Juwanna. Matters become even more complicated when Juwanna realizes that he is falling for his teammate Michelle, who shows him that there is more to women than meets the eye."
The Believer,2001,Drama,R,"""The Believer"" explores a Jewish student's private journey to understand the meaning of Judaism in his life. Set in New York City, the Plot follows a morally confused young adult struggling with the conflict between his beliefs and his heritage. ""The Believer"" examines themes of religion, family, and self-loathing. It is a psychological examination into the forces of intolerance, both on the individual and society as a whole."
Mostly Martha,2001,"Comedy, Romance, Drama",PG,"In a German restaurant, Chef Martha Klein is the undisputed supreme ruler of the kitchen staff and woe to any customer who would dare criticize her cooking. Her life is firmly centered around cooking which takes on a obsessive level with stubborn single mindedness. Even when she is ordered to take therapy, she still constantly talks about her work and the iron clad control she relishes in her task. All that changes when her sister dies in a car accident, leaving her 8 year old daughter, Lina. Martha takes her niece in and while making enquiries for her estranged father, she struggles to care for this stubbornly headstrong child. Meanwhile at work, a new chef named Mario is hired on and Martha feels threatened by this unorthodox intruder. The pressures of both her private and work life combine to create a situation that will fundamentally call her attitudes and life choices into question while these interlopers into her life begin to profoundly change it."
Heaven,2002,"Crime, Drama, Romance",R,"Love, retribution and redemption. Devastated by her husband's death from a drug overdose, Philippa, a British teacher living in Turin, Italy, tries to bring justice to the biggest drug dealer in Turin when the local police ignore her information about him. In building a home-made bomb and setting off a plan that fails miserably, her status changes from young widow to that of a criminal in custody. Young police officer Filipo descends into Philippa's life, changing her bleak outlook on existence into one in search of tranquility among corruption, as they become unlikely soul mates and lovers."
Dummy,2002,"Comedy, Drama, Romance",R,"Steven, nearly 30 and living with his parents, sees an old Edgar Bergen movie on TV and decides to fulfill his longtime dream of becoming a ventriloquist. His beautiful unemployment counselor Lorena finds him work, but puts out a restraining order on him when he paints a thank-you note on her door. Later, this young mother agrees to date him anyway, but finds his bickering family, and his inexperience with women, daunting to a relationship. Steven's sister Heidi is a wedding planner with a drunken ex-fiancé who keeps showing up at the door. His friend Fangora is a pseudo-punk rocker whose sex does not prevent her from giving him terrible advice about women. The wedding of a Jewish girl, who wants Klezmer music and gets something unexpected, will become a turning point in everyone's lives."
Die Another Day,2002,"Action, Adventure, Thriller",PG-13,"Pierce Brosnan gives one last mission as James Bond. Starting off in North Korea, Bond is betrayed and captured. 14 months later, Bond is set free, but traded for Zao who was captured by MI6. When back in his world, Bond sets off to track down Zao. Bond gets caught up in yet another scheme which sends him to millionaire Gustav Graves. Another MI6 agent known as Miranda Frost is also posing as a friend of Graves. Bond is invited to a presentation held by Graves about a satellite found in space which can project a huge laser beam. Bond must stop this madman with a fellow American agent, known as Jinx. Whilst Bond tries to stop Graves and Zao, will he finally reveal who betrayed him?"
Lucky Break,2001,"Comedy, Crime, Romance",PG-13,"Half-way through his 12-year prison sentence for an incompetent armed robbery, Jimmy Hands gets a lucky break: he's transferred to a prison from which he can probably escape. He convinces the governor to stage a musical in an old chapel next to the prison's outer wall. He rounds up volunteer actors and puts his escape plan into production. Two other barriers, besides the wall, confront him: the arrival of a nasty inmate, John Toombes, who insists on joining the escape, and Jimmy's feelings of attraction for Anabel, a social worker who agrees to appear in the play. Opening night approaches: is this Jimmy's breakout performance?"
Bulletproof Monk,2003,"Action, Comedy, Fantasy",PG-13,"For 60 years a mysterious monk with no name has zigzagged the globe to protect an ancient scroll - a scroll that holds the key to unlimited power. Now the Monk must look for a new scrollkeeper. Kar is an unlikely candidate, a streetwise young man whose only interest is himself. But when he inadvertently saves the Bulletproof Monk from capture, the two become partners in a scheme to save the world from the scroll's most avid pursuer. Packed with spectacular special effects and martial arts action, the Monk, Kar, and a sexy Russian mob princess called Bad Girl must struggle to find, face, and fight the ultimate enemy."
