Title,Year,Plot
Think Like a Man Too,2014,"In the highly anticipated sequel, which was inspired by Steve Harvey's best-selling book Act Like a Lady, Think Like a Man, all the couples are back for a wedding in Las Vegas. But plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail the big event."
White Bird in a Blizzard,2014,"Kat Connors is 17 years old when her seemingly perfect homemaker mother, Eve, disappears in 1988. Having lived for so long in an emotionally repressed household, she barely registers her mother's absence and certainly doesn't blame her doormat of a father, Brock, for the loss. But as time passes, Kat begins to come to grips with how deeply Eve's disappearance has affected her. Returning home on a break from college, she finds herself confronted with the truth about her mother's departure, and her own denial about the events surrounding it..."
Koch,2012,"Three-time New York City Mayor (1978-1989) Ed Koch was combative, funny, and blunt. He was also intensely private. 'Koch' gives us a contemporary history of the world's greatest city, and an intimate portrait of the 86-year old former mayor, as he confronts his own mortality and legacy. The film examines issues still relevant today - race, homelessness, AIDS, and gay rights - and gives us a window into the trials and tribulations of the nation's most famous mayor in the world's most wondrous city."
Geography Club,2013,"""GEOGRAPHY CLUB"" is based on Brent Hartinger's best-selling critically acclaimed novel: ""What am I looking for?"" asks 16-year old Russell Middlebrook of himself as he heads off on his newest adventure. Russell is still going on dates with girls, while Kevin will do anything to prevent his football teammates from finding out what he is concealing, Min and Terese tell everyone they're really just good friends, and Ike can't figure out who he is or what he wants to be. But the truth is too hard to hide - at least from each other - so they form the Geography Club. Nobody else will discover the truth about them as no other students in their right minds would ever join a club that sounds so boring. Their secrets will be safe from classmates. But are they? ""Geography Club"" is a smart, fast, moving and funny account of contemporary teenagers as they discover their own sexual identities, dreams and values and not merely live out their parents' desires and ambitions. Russell, Kevin, Min, Terese and Ike may not learn about actual places in their undercover social club, but they daringly explore the danger-filled, clique-mined landscape of Goodkind High School and courageously begin their journey in the exciting, still uncharted terrain of the human heart."
Dear White People,2014,"A social satire that follows the stories of four black students at an Ivy League college where controversy breaks out over a popular but offensive black-face party thrown by white students. With tongue planted firmly in cheek, the film explores racial identity in acutely-not-post-racial America while weaving a universal story of forging one's unique path in the world."
The Internship,2013,"Billy (Vince Vaughn) and Nick (Owen Wilson) are salesmen whose careers have been torpedoed by the digital world. Trying to prove they are not obsolete, they defy the odds by talking their way into a coveted internship at Google, along with a battalion of brilliant college students. But, gaining entrance to this utopia is only half the battle. Now they must compete with a group of the nation's most elite, tech-savvy geniuses to prove that necessity really is the mother of re-invention."
Coffee Town,2013,"Will (Glenn Howerton) is a 30-something website manager who uses local café, Coffee Town, as his office. When the owners of the shop discuss plans to convert Coffee Town into a bar, Will enlists the help of his two best friends Chad and Gino (Steve Little and Ben Schwartz) to save his freeloading existence. In order to thwart the plans of Coffee Town's owners, the trio stages a robbery to create the illusion of an unsafe neighborhood not suitable for the proposed venue. Also standing in their way is Sam (Josh Groban), a disgruntled barista with delusions of grandeur-he wants to be a rock star-and Will's heartache over unrequited love for Becca (Adrianne Palicki)."
Calvary,2014,"Father James is a small-town priest in Ireland whose Sunday confessionals suddenly include a threat to kill him in a week's time as a matter of principle. Deeply troubled and conflicted about how to respond, Father James tries to go on with his calling through that week. However, that proves impossible as he is confronted with a troubling variety of spiritual challenges from both his estranged daughter and his own parishioners. In those dispiriting struggles, Father James' life begins to fall apart as time runs out towards a confrontation that seems to crystallize his values and what he wants his life to be."
Grave Encounters 2,2012,"For people who don't believe the events of Grave Encounters (2011).Grave Encounters, film student Alex Wright is out to prove them wrong. Alex is as obsessed with the first film as the 20 million people who viewed its viral trailer on YouTube. While he and his friends research the events and visit the real psychiatric hospital depicted in the original film, they find themselves face-to-face with unspeakable evil, banking on the hope that their knowledge of the original film will help them survive the sequel."
Draft Day,2014,"It's draft day in the NFL and as general manager of the Cleveland Browns, Sonny is forced to come up with a big move. After trading for the number one pick, Sonny has to choose between a lower-ranked linebacker with a questionable past or a celebrated quarterback with a questionable future. All the while, Sonny is walking in the footsteps of his father and personal complications force their way to the surface."
Inequality for All,2013,A documentary that follows former U.S. Labor Secretary Robert Reich as he looks to raise awareness of the country's widening economic gap.
Muck,2015,"After narrowly escaping an ancient burial ground, long forgotten and buried underneath the marshes of Cape Cod, a group of friends emerge from the thick, marshy darkness, tattered and bloody, lucky to be alive. They have already lost two of their friends in the marsh, presumably dead. They stumble upon an empty Cape Cod vacation house alongside the foggy marsh and break in to take shelter. Whatever was in the marsh is still after them and soon after one of them goes for help, the rest of the group learns that the evil in the marsh is not the only thing that wants them dead. Something worse, something more savage, was lying in wait just outside the marsh, in the house. What happens next is unspeakable, horror that cannot be unseen. These unlucky travelers spend their St. Patrick's Day trapped between two evils forcing them to fight, die, or go back the way they came."
Somm,2012,"Four sommeliers attempt to pass the prestigious Master Sommelier exam, a test with one of the lowest pass rates in the world."
The Four,2012,"A government department known as the Six Panels appoints their best officer to infiltrate a special force called the Divine Constabulary, to ensure their way in stopping the circulation of counterfeit coin currency in the capital."
The Other Woman,2014,"After discovering her boyfriend is married, Carly Whitten tries to get her ruined life back on track. But when she accidentally meets the wife he's been cheating on, she realizes they have much in common, and her sworn enemy becomes her greatest friend. When yet another affair is discovered, all three women team up to plot mutual revenge on their cheating, lying, three-timing SOB."
Welcome to the Jungle,2013,A company retreat on a tropical island goes terribly awry.
The Counsellor,2013,"A rich and successful lawyer, the Counselor, is about to get married to his fiancée but soon becomes entangled in a complex drug plot with a middle-man known as Westray. The plan ends up taking a horrible twist and he must protect himself and his soon to be bride as the truth of the drug business is uncovered and targets are eliminated."
Grown Ups 2,2013,"After having the greatest time of his life three summers ago, Lenny (Adam Sandler), decides he wants to move his family back to his hometown and have them grow up with his gang of childhood friends and their kids. But between old bullies, new bullies, schizophrenic bus drivers, drunk cops on skis, psycho grade school girlfriends and 400 costumed party crashes he finds out that sometimes crazy follows you."
Neighboring Sounds,2012,"Life in a middle-class neighborhood in present day Recife, Brazil, takes an unexpected turn after the arrival of an independent private security firm. The presence of these men brings a sense of safety and a good deal of anxiety to a culture which runs on fear. Meanwhile, Bia, married and mother of two, must find a way to deal with the constant barking and howling of her neighbor's dog. A slice of 'Braziliana', a reflection on history, violence and noise."
American Sniper,2014,"Chris Kyle was nothing more than a Texan man who dreamed of becoming a cowboy, but in his thirties he found out that maybe his life needed something different, something where he could express his real talent, something that could help America in its fight against terrorism. So he joined the SEALs in order to become a sniper. After marrying, Kyle and the other members of the team are called for their first tour of Iraq. Kyle's struggle isn't with his missions, but about his relationship with the reality of the war and, once returned at home, how he manages to handle it with his urban life, his wife and kids."
The Kings of Summer,2013,"Joe Toy, on the verge of adolescence, finds himself increasingly frustrated by his single father, Frank's attempts to manage his life. Declaring his freedom once and for all, he escapes to a clearing in the woods with his best friend, Patrick, and a strange kid named Biaggio. He announces that they are going to build a house there, free from responsibility and parents. Once their makeshift abode is finished, the three young men find themselves masters of their own destiny, alone in the woods."
The Monuments Men,2014,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on an unlikely World War II platoon, tasked by FDR with going into Germany to rescue artistic masterpieces from Nazi thieves and returning them to their rightful owners. It would be an impossible mission: with the art trapped behind enemy lines, and with the German army under orders to destroy everything as the Reich fell, how could these guys - seven museum directors, curators, and art historians, all more familiar with Michelangelo than the M-1 - possibly hope to succeed? But as the Monuments Men, as they were called, found themselves in a race against time to avoid the destruction of 1000 years of culture, they would risk their lives to protect and defend mankind's greatest achievements."
The Art of the Steal,2013,"Crunch Calhoun (Kurt Russell), a third rate motorcycle daredevil and semi-reformed art thief, agrees to get back into the con game and pull off one final lucrative art theft with his untrustworthy brother, Nicky (Matt Dillon). Reassembling the old team, Crunch comes up with a plan to steal a priceless historical book, but the successful heist leads to another far riskier plan devised by Nicky. They fail to realize each other's separate agendas when their plan goes awry in this con movie about honor, revenge and the bonds of brotherhood."
St. Vincent,2014,"Vincent is an old Vietnam vet whose stubbornly hedonistic ways have left him without money or a future. Things change when his new next-door neighbor's son, Oliver, needs a babysitter and Vince is willing enough for a fee. From that self-serving act, an unexpected friendship forms as Vincent and Oliver find so much of each other's needs through each other. As Vincent mentors Oliver in street survival and other worldly ways, Oliver begins to see more in the old man than just his foibles. When life takes a turn for the worse for Vincent, both them find the best in each other than no one around them suspects."
Getaway,2013,"Former race car driver Brent Magna is pitted against the clock as he commandeers a custom Shelby Super Snake Mustang, taking it and its unwitting owner on a high-speed adventure at the command of a mysterious villain on a race against time to save the life of his kidnapped wife."
"Batman: The Dark Knight Returns, Part 2",2013,"After a 10 year absence, the Dark Knight has returned to Gotham to fight the Mutant threat. After defeating the mutants, he has taken control of a gang loyal to him in order to make Gotham a safer place. But, the Joker has decided to stop this, and fights against Batman in a deadly duel. Meanwhile, the Man of Steel is ordered to stop the Dark Knight because the government believes that his ways are wrong. As Batman fights the Joker, the Man of Steel prepares for his greatest fight."
Wrong Cops,2013,"Duke is a crooked and music-mad police officer. Frankly, he's a really bad cop. He deals recreational drugs and loves to bully the citizens of Los Angeles. Among Duke's partners in the department are a sexually abusive policeman, an extortionist blonde, a family guy with a dubious past, and a one-eyed extremist who dreams of becoming a techno musician. Their once smoothly running corrupt scheme develops a critical flaw when a guy whom Duke shots by accident and stuffs in the trunk of his car suddenly turns out to be alive..."
The Pervert's Guide to Ideology,2012,"The sequel to The Pervert's Guide to Cinema sees the reunion of brilliant philosopher Slavoj Zizek with filmmaker Sophie Fiennes, now using their inventive interpretation of moving pictures to examine ideology - the collective fantasies that shape our beliefs and practices."
56 Up,2012,Director Michael Apted revisits the same group of British-born adults after a 7 year wait. The subjects are interviewed as to the changes that have occurred in their lives during the last seven years.
Robot Overlords,2014,"Alien robots come to Earth and assert their control over humanity. They claim that they only want to observe humanity. They enforce a strict no one allowed outside rule. They implant humans with a device that alerts sentries to anyone who goes outside and if they refuse to comply they are destroyed. They also employ humans to be their proctors. One of these men is Robin Smythe. He tries to get Kate Flynn to be his wife but she still mourns her husband whom Smythe says died. But her son Sean, doesn't believe it. He sends messages out asking anyone who knows anything about his father to tell him. One day he and three young people are fooling around when they discover that they turned off their implant. That's when they go outside and someone answers Sean's message and tells him where his father is. So he goes out to find him But Smythe pursues him and brings his mother as leverage. And when the robots corner Sean he somehow manages to control them. So the Robots are curious why he can do that. So they tell Smythe to capture him."
Two Night Stand,2014,"After an extremely regrettable one night stand, two strangers wake up to find themselves snowed in after sleeping through a blizzard that put all of Manhattan on ice. They're now trapped together in a tiny apartment, forced to get to know each other way more than any one night stand should."
Self/less,2015,"An extremely wealthy man, dying from cancer, undergoes a radical medical procedure that transfers his consciousness into the body of a healthy young man. But all is not as it seems when he starts to uncover the mystery of the body's origin and the organization that will kill to protect its cause."
Saving Mr. Banks,2013,"When Walt Disney's daughters begged him to make a movie of their favorite book, P.L. Travers' Mary Poppins (1964), he made them a promise - one that he didn't realize would take 20 years to keep. In his quest to obtain the rights, Walt comes up against a curmudgeonly, uncompromising writer who has absolutely no intention of letting her beloved magical nanny get mauled by the Hollywood machine. But, as the books stop selling and money grows short, Travers reluctantly agrees to go to Los Angeles to hear Disney's plans for the adaptation. For those two short weeks in 1961, Walt Disney pulls out all the stops. Armed with imaginative storyboards and chirpy songs from the talented Sherman brothers, Walt launches an all-out onslaught on P.L. Travers, but the prickly author doesn't budge. He soon begins to watch helplessly as Travers becomes increasingly immovable and the rights begin to move further away from his grasp. It is only when he reaches into his own childhood that Walt discovers the truth about the ghosts that haunt her, and together they set Mary Poppins free to ultimately make one of the most endearing films in cinematic history."
Wolf Children,2012,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
Playing It Cool,2014,"A screenwriter working on a script for a romantic movie is having a hard time because he is a little jaded when it comes to love since his mother abandoned him when he was a boy. So he spends his time ruining every relationship he has. But he really needs to make the script, so he turns to his friends for their experiences. But it's not enough. He then meets a girl who captures his heart. Problem is that she's already engaged. But she allows him to be her friend."
The Bling Ring,2013,"Inspired by actual events, a group of fame-obsessed teenagers use the internet to track celebrities' whereabouts in order to rob their homes."
The Queen of Versailles,2012,"In 2008, the Siegel family was top of the heap with the wealthy and politically influential David Siegel running the successful Westgate Resorts time-share business. To enjoy their good life, he and his engineer turned beauty queen trophy wife, Jackie, were building the largest single family private home in America. Suddenly, both the US economy and Westgate were rocked by the devastating sub-prime mortgage collapse. In the new economic reality with the business teetering on ruin, we follow the Siegels as they struggle to scale down their grotesquely ostentatious lifestyle. For this overprivileged family, accepting that situation proved a dispiriting struggle even as their unfinished dream home became a monument of their superficial values."
The House I Live In,2012,"From the dealer to the narcotics officer, the inmate to the federal judge, a penetrating look inside America's criminal justice system, revealing the profound human rights implications of U.S. drug policy."
Searching for Sugar Man,2012,"In the early 1970s, Sixto Rodriguez was a Detroit folksinger who had a short-lived recording career with only two well received but non-selling albums. Unknown to Rodriguez, his musical story continued in South Africa where he became a pop music icon and inspiration for generations. Long rumored there to be dead by suicide, a few fans in the 1990s decided to seek out the truth of their hero's fate. What follows is a bizarrely heartening story in which they found far more in their quest than they ever hoped, while a Detroit construction laborer discovered that his lost artistic dreams came true after all."
Beasts of the Southern Wild,2012,"Hushpuppy, an intrepid six-year-old girl, lives with her father, Wink, in the Bathtub, a southern Delta community at the edge of the world. Wink's tough love prepares her for the unraveling of the universe; for a time when he's no longer there to protect her. When Wink contracts a mysterious illness, nature flies out of whack, temperatures rise, and the ice caps melt, unleashing an army of prehistoric creatures called aurochs. With the waters rising, the aurochs coming, and Wink's health fading, Hushpuppy goes in search of her lost mother."
How to Survive a Plague,2012,"In the early years of the AIDS epidemic, the disease was considered a death sentence affecting communities, like the LGBT ones, whom many in power felt deserved it. This film tells the story of how militant activists like ACT-UP and TAG pushed for a meaningful response to this serious public health problem. As the activists struggled against political indifference, religious hostility, corporate greed and apparently skewed scientific research priorities with determination and sheer audacity, they produced a political wave that would lead to not only an effective treatment regime, but would advance LGBT rights beyond anyone's expectations."
Pixels,2015,"Sam Brenner, Will Cooper, Ludlow Lamonsoff, and Eddie ""The Fire Blaster"" Plant all played classic arcade video games as teenagers. But now they have to use their skills to try to save the world from aliens. The aliens watched video feeds that they thought was a declaration of war. So they send down the classic arcade games to destroy earth. They also get help from a military specialist. They have three lives and if all three get used then earth will be destroyed, and every time they lose a live the aliens take someone's life. Who will win, us or the aliens? It's an all-out battle to save our planet and everyone on it."
Maximum Conviction,2012,"When former black ops operative Cross (Seagal) and his partner Manning (Austin) are assigned to decommission an old prison, they must oversee the arrival of two mysterious female prisoners. Before long, an elite force of mercenaries assault the prison in search of the new arrivals. As the true identities of the women are revealed, Cross realizes he's caught in the middle of something far bigger than he had imagined."
I Know That Voice,2013,Several voice actors discuss their art and their careers.
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,"Based on the internationally best-selling novel by Jonas Jonasson, the unlikely story of a 100-year-old man who decides it's not too late to start over. For most people it would be the adventure of a lifetime, but Allan Karlsson's unexpected journey is not his first. For a century he's made the world uncertain, and now he is on the loose again."
Elsa & Fred,2014,"""Elsa and Fred"" is the story of two people who at the end of the road, discover that it's never too late to love and make dreams come true. Elsa has lived for the past 60 years dreaming of a moment that Fellini had already envisaged: the scene in 'La Dolce Vita' at the Fontana di Trevi. The same scene without Anita Ekberg in it, but with Elsa instead. Without Marcello Mastroianni but with that love that took so long to arrive. Fred has always been a good man who did everything he was supposed to do. After losing his wife, he feels disturbed and confused and his daughter decides that it would be best if he moves into a smaller apartment where he ends meeting Elsa. From that moment on, everything changes. Elsa bursts into his life like a whirlwind, determined to teach him that the time he has left to live -- be it more or less -- is precious and that he should enjoy it as he pleases. Fred surrenders to Elsa's frenzy, to her youth, to her boldness, to her beautiful madness. And this is how Fred learns how to live. When he learns about Elsa's terminal illness, he decides to make her dream come true and takes Elsa to Rome to reenact with her the famous scene at the Fontana di Trevi."
Tangled Ever After,2012,"Rapunzel and Flynn Rider have their wedding, but Pascal and Maximus must recover the rings they lose in mid-ceremony."
Raze,2013,"Raze, a horror/action film, focuses on two abducted women & 50 other women who are forced to fight each other using their bare hands."
Transformers: Age of Extinction,2014,"After the battle between the Autobots and Decepticons that leveled Chicago, humanity thinks that all alien robots are a threat. So Harold Attinger, a CIA agent, establishes a unit whose sole purpose is to hunt down all of them. But it turns out that they are aided by another alien robot who is searching for Optimus Prime. Cade Yeager, a ""robotics expert"", buys an old truck and upon examining it, he thinks it's a Transformer. When he powers it up, he discovers it's Optimus Prime. Later, men from the unit show up looking for Optimus. He helps Yeager and his daughter Tessa escape but are pursued by the hunter. They escape and Yeager learns from technology he took from the men that a technology magnate and defense contractor named Joshua Joyce is part of what's going on, so they go to find out what's going on."
The Hunt,2012,"Lucas is a Kindergarten teacher who takes great care of his students. Unfortunately for him, young Klara has a run-away imagination and concocts a lie about her teacher. Before Lucas is even able to understand the consequences, he has become the outcast of the town. The hunt is on to prove his innocence before it's taken from him for good."
V/H/S,2012,"A POV, found footage horror film from the perspective of America's top genre filmmakers. A group of misfits are hired by an unknown third party to burglarize a desolate house in the countryside and acquire a rare tape. Upon searching the house, the guys are confronted with a dead body, a hub of old televisions and an endless supply of cryptic footage, each video stranger than the last."
Dawn of the Planet of the Apes,2014,"A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier. They reach a fragile peace, but it proves short-lived, as both sides are brought to the brink of a war that will determine who will emerge as Earth's dominant species."
Tammy,2014,"Tammy, who was recently fired from a Topper Jack's fast food restaurant, returns home only to find her husband enjoying a romantic meal with the neighbor. She quickly packs her necessities, and travels down three houses to her parent's home. Upon denied use of her mom's car to drive to Niagara Falls, she quickly resorts to an ""ailing"" grandmother, who also lives in the home...Only instead of traveling alone, Grandma Pearl wants in on the road trip. After realizing Grandma Pearl has the funds, they hit the road. Pearl soon proves to be quite the alcoholic despite her diabetes, and Tammy quickly turns into the ""baby-sitter."" From finding love in a bar to robbing a Topper Jack's in order to bail Pearl out of jail,the quirky adventure will have you finding yourself riding along for the misadventures of Tammy."
Spring Breakers,2012,"Brit, Candy, Cotty, and Faith have been best friends since grade school. They live together in a boring college dorm and are hungry for adventure. All they have to do is save enough money for spring break to get their shot at having some real fun. A serendipitous encounter with rapper ""Alien"" promises to provide the girls with all the thrill and excitement they could hope for. With the encouragement of their new friend, it soon becomes unclear how far the girls are willing to go to experience a spring break they will never forget."
"McFarland, USA",2015,"A struggling coach and teacher who has had to move around for different incidents in his career finally comes to one of the poorest cities in America: McFarland, California. There he discovers buried potential in several high school boys and slowly turns them into championship runners and brings them closer than even he could ever imagine."
Inside Out,2015,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school."
Dumb and Dumber To,2014,"It's been 20 years and Harry Dunn has found something out - he has a daughter! Lloyd Christmas, his equally dim-witted friend, takes one look at a picture of her, develops a crush, and insists the two track her down. What ensues when Harry finally agrees is a bizarre encounter with an old lady and more hilarity because of their sheer stupidity."
Frozen Planet,2011,Focuses on life and the environment in both the Arctic and Antarctic.
What Richard Did,2012,"What Richard Did follows Richard Karlsen, golden-boy athlete and undisputed alpha-male of his privileged set of South Dublin teenagers, through the summer between the end of school and the beginning of university. The world is bright and everything seems possible, until in one summer night Richard does something that destroys it all and shatters the lives of the people closest to him. What Richard Did is a quietly devastating study of a boy confronting the gap between who he thought he was and who he proves to be."
Promised Land,2012,"Corporate salesman Steve Butler (Matt Damon) arrives in a rural town with his sales partner, Sue Thomason (McDormand). With the town having been hit hard by the economic decline of recent years, the two outsiders see the local citizens as likely to accept their company's offer, for drilling rights to their properties, as much-needed relief. What seems like an easy job for the duo becomes complicated by the objection of a respected schoolteacher (Holbrook) with support from a grassroots campaign led by another man (Krasinski) who counters Steve both personally and professionally."
Call Me Kuchu,2012,"In Uganda, a new bill threatens to make homosexuality punishable by death. David Kato - Uganda's first openly gay man - and his fellow activists work against the clock to defeat the legislation while combating vicious persecution in their daily lives. But no one, not even the filmmakers, is prepared for the brutal murder that shakes the movement to its core and sends shock waves around the world."
Room 237,2012,"A subjective documentary that explores the numerous theories about the hidden meanings within 'Stanley Kubrick (I)' 's Kubrick''s film The Shining (1980). The film may be over 30 years old but it continues to inspire debate, speculation, and mystery. Five very different points of view are illuminated through voice over, film clips, animation and dramatic reenactments. Together they'll draw the audience into a new maze, one with endless detours and dead ends, many ways in, but no way out."
Black Mirror,2011–,"An anthology series exploring a twisted, high-tech world where humanity's greatest innovations and darkest instincts collide."
Eat Sleep Die,2012,"A young Eastern European immigrant, working in Sweden, is faced with a painful choice when she's laid off from her factory in the name of efficiencies."
Upstream Color,2013,"Kris is attacked one night, and hypnotized, using a grub with hypnotic properties, administered by a thief. She follows the thief's instructions to give him everything, even taking out loans. After the worms are extracted, she wakes up to find her life ruined. She's lost her job, her finances are destroyed. Years later, she meets Jeff whom she may have a lot in common with."
The Imitation Game,2014,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II."
The Liability,2012,"When 19-year-old Adam agrees to do a day's driving for his mum's gangster boyfriend Peter, it takes him on a 24-hour journey into a nightmarish world of murder, sex trafficking and revenge, in the company of aging hit man Roy."
Steve Jobs,2015,"His passion and ingenuity have been the driving force behind the digital age. However his drive to revolutionize technology was sacrificial. Ultimately it affected his family life and possibly his health. In this revealing film we explore the trials and triumphs of a modern day genius, the late CEO of Apple inc. Steven Paul Jobs."
