Title,Year,Genres,Plot
Pokémon: The Movie 2000,1999,"Animation, Action, Adventure","An evil genius in a flying fortress is trying to kidnap the birds of the fire, ice, and lightning islands in hopes of luring the sea power, Lugia, and controlling the world. Ash and his friends, in the process of carrying out an island tradition that requires visiting those three islands, discover the plot and try to stop it. Even the comic villains, Team Rocket, turn good and help out in the end against the threat of world destruction. And Pokemon assemble from all around the world in case they can be of help (but they end up helping only the merchandising)."
Girlfight,2000,"Drama, Sport","At 18, Diana has a chip on her shoulder; she's close to expulsion from high school for fighting, her mother is dead, her dad is surly, the popular girls at school set her teeth on edge, she knows men can cause pain. When she picks up her younger brother at a Brooklyn gym where he boxes to please his father, she decides she wants to train. Hector, a coach, reluctantly agrees to teach her. It's soon clear to him that Diana has talent; he pushes her. She spends time with another young fighter, Adrian, who has a girlfriend, but Diana intrigues him and stirs real feelings he tries to articulate. She, too, must accommodate her toughness and ironic detachment to her feelings for him."
The Cell,2000,"Horror, Sci-Fi, Thriller","Catharine Deane is a psychotherapist who is part of a revolutionary new treatment which allows her mind to literally enter the mind of her patients. Her experience in this method takes an unexpected turn when an FBI agent comes to ask for a desperate favour. They had just tracked down a notorious serial killer, Carl Stargher, whose MO is to abduct women one at a time and place them in a secret area where they are kept for about 40 hours until they are slowly drowned. Unfortunately, the killer has fallen into an irreversible coma which means he cannot confess where he has taken his latest victim before she dies. Now, Catherine Deane must race against time to explore the twisted mind of the killer to get the information she needs, but Stargher's damaged personality poses dangers that threaten to overwhelm her."
The Wedding Planner,2001,"Comedy, Romance","Mary Fiore is the wedding planner. She's ambitious, hard-working, extremely organized, and she knows exactly what to do and say to make any wedding a spectacular event. Bt when Mary falls (literally) for a handsome doctor her busy yet uncomplicated life is turned upside down - he's the groom in the biggest wedding of her career! Will she help him walk down the aisle with his internet tycoon girlfriend, or will Mary finally get to be the bride herself? When it comes to love, you can never plan what's going to happen."
The Mummy Returns,2001,"Action, Adventure, Fantasy","Many years ago, in Ancient Egypt, the Scorpion King led a menacing army, but when he sold his soul to Anubis, he was erased from history. Now he is only a myth...or is he? Rick and Evelyn O'Connell are still discovering new artifacts, along with their 8 year old son Alex. They discover the Bracelet of Anubis. But someone else is after the bracelet. High Priest Imhotep has been brought back from the dead once again and wants the bracelet, to control the Scorpion King's army. That's not the only problem. Imhotep now has Alex and with the bracelet attached to him, doesn't have long to live."
Memento,2000,"Mystery, Thriller","Memento chronicles two separate stories of Leonard, an ex-insurance investigator who can no longer build new memories, as he attempts to find the murderer of his wife, which is the last thing he remembers. One story line moves forward in time while the other tells the story backwards revealing more each time."
The Son's Room,2001,Drama,"Giovanni is a successful psychoanalyst who has to put up with the seemingly endless string of trivial details his patients ramble on about. Yet his family provides a loving and steadfast foundation for his life that can even survive a problem like their son, Andrea, being accused of stealing a rare fossil in school. That foundation is profoundly rocked when Andrea dies in a scuba diving accident. Although the usual arrangements run smoothly, the emotional harm is profound. Giovanni begins to obsessively dwell on the missed chances he had with his son that might have saved his life, even blaming his patients. In addition , his wife is inconsulable and his daughter is becoming anti social in their loss. In the midst of this turmoil, a secret of their son's life is revealed that provides healing in a way they never anticipated."
Get Carter,2000,"Action, Crime, Drama","Years ago, Jack Carter left his Seattle home to become a Las Vegas mob casino financial enforcer. He returns for the funeral of his brother Richard 'Richie' after a car crash during a storm, atypical of the careful house-father. Talking to the widow, daughter Doreen and enigmatic Geraldine, Jack suspects it was murder. Cliff Brumby, whose club Richie ran, is financially linked to porn and prostitution baron Cyrus Paice, who claims to be just a front-man for ITC tycoon Jeremy Kinnear. Someone hired goon Thorpey to make Jack return to Las Vegas. There Jack's partner Les Fletcher is restless, apparently about their boss Con McCarty whose wife had an affair with Jack. Someone breaks into Richie's home, looking for a crucial CD."
What Women Want,2000,"Comedy, Fantasy, Romance","Nick, a somewhat chauvinistic advertising exec hot shot, has his life turned haywire when a fluke accident enables him to hear what women think. At first all he wants to do is rid himself of this curse, until a wacky psychologist shows him that this could be used to his advantage! His first target is Darcy McGuire, the very woman that got the promotion he wanted. But just as his plan is beginning to work, love gets in the way..."
My First Mister,2001,"Comedy, Drama, Romance","Jennifer does not fit in. A total misfit, she's as wacky as a teenager can be. Goth-ed out with multiple piercings, tattoos, and dyed hair, she listens to strange music, watches vintage TV, eats primarily chocolate, and self injures. But now high school is over and she needs a job. Can she possibly have anything in common with the overweight middle-aged man in the haberdashery window? He gives her a job, not to mention a real friendship."
Joy Ride,2001,"Mystery, Thriller","College student Lewis decides to drive across the country to see Venna, a friend who doesn't know that Lewis is interested in her romantically. Unfortunately for his plans, Lewis gets saddled with his raucous-spirited older brother, Fuller, whose on-the-road pranks get the brothers and Venna sucked into a nightmare when a psychotic truckdriver takes offense."
Save the Last Dance,2001,"Drama, Music, Romance","Sara wants to be a ballerina, but her dreams are cut short by the sudden death of her mother. She moves in with her father, who she has not seen for a long time. He lives on the other side of town, in a predominantly Black neighborhood. She gets transferred to a new school where she is one of the few White students there. She becomes friends with Chenille, and later, falls in love with Chenille's brother, Derek."
Keep the River on Your Right: A Modern Cannibal Tale,2000,"Documentary, Adventure, Romance","In 1955, while a Fulbright scholar, a Manhattan painter named Tobias Schneebaum spent seven months in the Amazon basin with the Harakambut. When he returned to the US, he could no longer paint. What happened? Nearly 45 years later, filmmakers want Tobias, now 78 and suffering from Parkinson's, to return to Peru. He refuses but allows that he will revisit the Asmat in New Guinea where he spent an idyllic time years before. That trip goes well, including a serendipitous meeting with Aipit, an aging native and once Tobias' friend and lover. Tobias then agrees to go to Peru to look for the people whom he joined on a murderous raiding party. The scars of war remain as does fear."
The Dish,2000,"Comedy, Drama, History","In the days before the July 19, 1969 space mission that marked humankind's first steps on the moon, NASA was working with a group of Australian technicians who had agreed to rig up a satellite interface. That the Aussies placed the satellite dish smack dab in the middle of an Australian sheep farm in the boondocks town of Parkes was just one of the reasons that NASA was concerned. Based on a true story, The Dish takes a smart, witty, comical look at the differing cultural attitudes between Australia and the U.S. while revisiting one of the greatest events in history."
Criminal Lovers,1999,"Crime, Drama, Thriller","After a perverted impulse drives them to kill, Alice and her boyfriend, Luc, drag the body into the woods, only to find themselves hopelessly lost - much like the fairy-tale plight of Hansel and Gretel. Starving and with no hope of being found, they chance upon a dilapidated cottage where a hulking man takes them prisoner and proceeds to feed Luc's sexual appetite."
Thomas and the Magic Railroad,2000,"Adventure, Comedy, Drama","Mr. Conductor's supply of magic gold dust, which allows him to travel between Shining Time and Thomas's island, is critically low. Unfortunately, he doesn't know how to get more. Meanwhile, Thomas is fending off attacks by the nasty diesel engines. Getting more gold dust will require help from Mr. C's slacker cousin, his new friend Lilly, and her morose grandfather, plus the secret engine he's hidden all these years and couldn't get running."
Dr. T & the Women,2000,"Comedy, Drama, Romance","Dr. Sullivan Travis ""Dr. T."" is a wealthy Dallas gynecologist for some of the wealthiest women in Texas who finds his idealist life beginning to fall apart starting when his wife, Kate, suffers a nervous breakdown and is committed to the state mental hospital. Dr. T's eldest daughter, Dee Dee, is planning to go through with her approaching wedding despite the secret that she's a lesbian and is romantically involved with Marilyn, the maid of honor. Dr T's youngest daughter, Connie, is a conspiracy theorist freak who has her own agenda to everything, while Dr. T's loyal secretary, Carolyn, has romantic feelings for him, which are not mutual. Dr. T's sister-in-law, Peggy, meddles in every situation she stumbles into, while one woman, Bree, a golf instructor, is the only one who offers him any comfort and salvation."
Bring It On,2000,"Comedy, Romance, Sport","The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain Torrance, the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen from the Clovers, a hip-hop squad from East Compton, by the Toro's former captain. While the Toros scramble to come up with a new routine, the Clovers, led by squad captain Isis have their own problems - coming up with enough money to cover their travel expenses to the championships. With time running out and the pressure mounting, both captains drive their squads to the point of exhaustion: Torrance, hell bent on saving the Toros' reputation, and Isis more determined than ever to see that the Clovers finally get the recognition that they deserve. But only one team can bring home the title, so may the best moves win."
An Affair of Love,1999,"Drama, Romance","They recount their impressions to the Interviewer. They met through a magazine ad, She and He. They corresponded through the Internet. He responded to her ad seeking someone to fulfil her fantasy for ""a pornographic affair"". This is their first meeting in a Paris café. He's a little reticent. She wants to know whether or not he's hairy. (He is; he's Spanish.) They retire to a nearby hotel room. The door of the room closes. Unseen, the affair is consummated... They continue to see one another regularly each week. They find they get along well together. Soon she suggests that they try normal sex the next time..."
Trouble Every Day,2001,"Drama, Horror, Thriller","Shane and June Brown are an American couple honeymooning in Paris in an effort to nurture their new life together, a life complicated by Shane's mysterious and frequent visits to a medical clinic where cutting edge studies of the human libido are undertaken. When Shane seeks out a self-exiled expert in the field, he happens upon the doctor's wife, another victim of the same malady. She has become so dangerous and emotionally paralyzed by the condition that her husband imprisons her by day in their home. It is Shane's chance encounter with this woman that triggers an event so cataclysmic and shocking it might just lead him to rediscover the tranquility he seeks to restore for himself and his new bride."
The Watcher,2000,"Crime, Horror, Mystery","David Allen Griffin is a cool killer- time and time again, he chooses a female victim, studies her for weeks till he knows her routine to the smallest detail, makes meticulous preparations using his forensic knowledge to gain entry when she's quite alone, subdues her and administers a long, torturous death. Joel Campbell got so frustrated by his failure to capture Griffin in Los Angeles, that he quit the FBI, moved to Chicago, and remains in psychiatric therapy, unable to function normally. Then he realizes, when opening his mail very late, that a new murder victim is Griffin's, and the killer sent him pictures of her. Campbell reports this to the police, but is unwilling to join them in the search, suggesting Griffin is too slick and clever; yet he won't get out of it that easily."
One Night at McCool's,2001,"Comedy, Crime","After another hard night at McCool's, bartender Randy runs into Jewel. The seductive lady seems to have evaded a rape pretty closely, and when the man comes back, she puts a bullet in his head. After all these events (and others), Randy takes Jewel home, and the two become a couple. Yet Jewel begins to develop into a very demanding girlfriend and drives Randy into committing crimes for her and her elaborate lifestyle. Randy's cousin Carl is driven crazy by Randy's incredibly sexy girl as well as the investigating officer, Detective Dehling."
The Princess and the Warrior,2000,"Drama, Mystery, Romance","Young nurse Sissi lives a secluded life, seemingly entirely devoted to her patients at Birkenhof asylum. Her first encounter with ex-soldier and drifter Bodo has a lasting impact. He causes an accident that results in her lying under a truck, unable to breathe. While he provides life-saving first aid, mesmerized Sissi begins to wonder whether he may be the man of her dreams. But when she tracks him down weeks later her affection is rejected, as Bodo is stuck somewhere between a traumatic past and a criminal future."
You Can Count on Me,2000,Drama,"Adult siblings Sammy Prescott and Terry Prescott have had a special bond with each other since they were kids when their parents were tragically killed in a car accident. That bond is why single mom Sammy, who still lives in the family home in Scottsville, upstate New York with her eight year old son Rudy, is excited to hear that Terry, who she has not seen or heard from in a while, is coming home for a visit. That excitement is dampened slightly upon Terry's arrival, when she learns that he, broke, is only there to borrow money. As adults, Sammy, who works as a lending officer in the local bank, is seen as the responsible sibling, while unfocused Terry is seen as the irresponsible drifter. Regardless, Sammy welcomes what ends up being Terry's longer than planned visit if only so that he can help take care of Rudy, who has no adult male figure in his life. Rudy has never known his deadbeat biological father, with whom Sammy wants nothing to do. As Terry - acting as the supposed adult male role model figure - gets to know Rudy, and as Sammy deals with the issues in her life which includes figuring out what her relationship to longtime friend/lover Bob Steegerson means, and how to deal with her straight-laced micro-managing new boss Brian Everett, the maturity level between Sammy and Terry is not as far apart as it appears on the surface."
Together,2000,"Comedy, Drama, Romance","It is the 70s and a group of very different individuals live together as a community. One of the members sister, Elisabeth needs a new place to stay with her children after having had enough of her alcoholist and abusive husband. Elisabeth is neither a socialist, feminist or into the green movement but ends up loving living in the community where they all learn from eachother. The film makes a little fun of people with strong ideals and ""square"" minds whether they be vegans, communists or people who absolutely disgust vegans or socialists, in the end the message of the film is that people can grow and gain from bonding with eachother. It also shows how we need to shape up a little for this to work, either through working with own behaviour that affects other people badly (like alcoholism or abuse) or the need to set up own boundaries and not let other people walk all over oneself."
Sexy Beast,2000,"Crime, Drama, Thriller","Gal, Deedee, Aitch and Jackie, having left behind respective lives of ill-repute, bask in the sun of Spain and in the most essential brand of leisure. A hazy yarn of barbecues, beer and botched hunting expeditions make up their retirements, until a sudden and unforeseen disruption emerges from their past. Enter the childishly violent and hilariously edgy Don Logan. Through a series of side-splitting negotiations and irrevocable acts, retired crook Gal is forced to shake off the rust and accept one last mission, put forth by the menacing Logan, his ex-mentor. A heist of legendary proportion and personal implications, this job should make for one hell of an encore."
Men of Honor,2000,"Biography, Drama","The story ultimately revolves around two ""men of honor""; their relationship, their individual and joint failures and triumphs. Carl Brashear is determined to be the first African American Navy Diver in a time where racism is rife. Leslie Sunday is his embittered trainer, determined to see him fail. Fate, challenges and circumstances eventually draw these two men together in a tale of turbulence and ultimately triumph."
Moulin Rouge!,2001,"Drama, Musical, Romance","The year is 1899, and Christian, a young English writer, has come to Paris to follow the Bohemian revolution taking hold of the city's drug and prostitute infested underworld. And nowhere is the thrill of the underworld more alive than at the Moulin Rouge, a night club where the rich and poor men alike come to be entertained by the dancers, but things take a wicked turn for Christian as he starts a deadly love affair with the star courtesan of the club, Satine. But her affections are also coveted by the club's patron: the Duke. A dangerous love triangle ensues as Satine and Christian attempt to fight all odds to stay together but a force that not even love can conquer is taking its toll on Satine..."
