Title,Year,Plot
Lost and Delirious,2001,"Lost and Delirious is the story of three adolescent girls' first love, their discovery of sexual passion, and their search for identities. Set in a posh, private boarding school surrounded by luxuriant, green forest, Lost and Delirious moves swiftly from academic routine, homesickness, and girlish silliness to the darker region of lover's intrigue."
The Forsaken,2001,"Sean is driving cross-country to deliver a vintage Mercedes and attend his sister's wedding when he picks up hitchhiker Nick, who just happens to be a vampire hunter, tracking down a group of youthful vampires who feed on unwary travelers. They run into Megan, who has been left for dead by the vampires. As they use her as a lure for the vampires, Sean becomes attracted to her. After Sean is infected with the vampire virus, he, Megan and Nick must race against time to kill the vampire leader Kit to stop Sean from becoming one of the undead."
Yi Yi,2000,"Each member of a family in Taipei asks hard questions about life's meaning as they live through everyday quandaries. NJ is morose: his brother owes him money, his mother is in a coma, his wife suffers a spiritual crisis when she finds her life a blank, his business partners make bad decisions against his advice, and he reconnects with his first love 30 years after he dumped her. His teenage daughter Ting-Ting watches emotions roil in their neighbors' flat and is experiencing the first stirrings of love. His 8-year-old son Yang-Yang is laconic like his dad and pursues truth with the help of a camera. ""Why is the world so different from what we think it is?"" asks Ting-Ting."
Swordfish,2001,"When the DEA shut down its dummy corporation operation codenamed SWORDFISH in 1986, they had generated $400 million which they let sit around; fifteen years of compound interest has swelled it to $9.5 billion. A covert counter-terrorist unit called Black Cell, headed by the duplicitious and suave Gabriel Shear, wants the money to help finance their raise-the-stakes vengeance war against international terrorism, but it's all locked away behind super-encryption. He brings in convicted hacker Stanley Jobson, who only wants to see his daughter Holly again but can't afford the legal fees, to slice into the government mainframes and get the money."
American Outlaws,2001,"When a Midwest town learns that a corrupt railroad baron has captured the deeds to their homesteads without their knowledge, a group of young ranchers join forces to take back what is rightfully theirs. In the course of their vendetta, they will become the object of the biggest manhunt in the history of the Old West and, as their fame grows, so will the legend of their leader, a young outlaw by the name of Jesse James."
Eureka,2000,The traumatized survivors of a murderous bus hijacking come together and take a road trip to attempt to overcome their damaged selves. Meanwhile a serial killer is on the loose.
Italian for Beginners,2000,"A young minister, a widower, is temporarily assigned to a church whose suspended pastor drove parishioners away; he stays at a hotel where he meets Jørgen, who's alone approaching middle age. Jørgen's friend Finn, a temperamental restaurant manager, may be about to be fired. Finn's assistant is Giulia, a lovely young Italian who prays for a husband. Olympia, a clumsy bakery clerk, has an ornery father; Karen, a hairdresser, has a mother who is very ill. The paths of these six characters cross at church, in the restaurant, at the hotel, and at an Italian class at the local adult school. Loneliness, grief, solace, romance, and love may meet 'nel mezzo del cammin di nostra vita.'"
40 Days and 40 Nights,2002,"Nicole broke up with Matt months ago and is now engaged to someone else. He's very good-looking and has no trouble finding other lovers, but that doesn't help because he's still obsessed with wanting her back. Then he gets the inspiration that swearing off sex for Lent (all forms of sexual activity, even kissing or masturbation) will give him the perspective he needs. So of course a few days later he meets a woman and they fall in love. Now Matt sees his vow as a personal matter, and won't even tell her about it, but his friends think otherwise, and now the complications begin..."
Wet Hot American Summer,2001,"The setting is Camp Firewood, the year 1981. It's the last day before everyone goes back to the real world, but there's still a summer's worth of unfinished business to resolve. At the center of the action is camp director Beth, who struggles to keep order while she falls in love with the local astrophysics professor. He is busy trying to save the camp from a deadly piece of NASA's Skylab which is hurtling toward earth. All that, plus: a dangerous waterfall rescue, love triangles, misfits, cool kids, and talking vegetable cans. The questions will all be resolved, of course, at the big talent show at the end of the day."
The Closet,2001,"François Pignon, a very bland sort of man who works as an accountant in a rubber factory, is about to be fired. His new neighbour comes up with an idea to prevent such a thing to happen: he spreads the rumor that he's gay so that the factory management might be afraid they'll be sued for sexual discrimination. Of course, nothing happens as it should, but the changes in François Pignon's life -and other people's too- is drastic !"
Bridget Jones's Diary,2001,"Bridget Jones is an average woman struggling against her age, her weight, her job, her lack of a man, and her many imperfections. As a New Year's Resolution, Bridget decides to take control of her life, starting by keeping a diary in which she will always tell the complete truth. The fireworks begin when her charming though disreputable boss takes an interest in the quirky Miss Jones. Thrown into the mix are Bridget's band of slightly eccentric friends and a rather disagreeable acquaintance who Bridget cannot seem to stop running into or help finding quietly attractive."
The Man Who Wasn't There,2001,"1949, Santa Rosa, California. A laconic, chain-smoking barber with fallen arches tells a story of a man trying to escape a humdrum life. It's a tale of suspected adultery, blackmail, foul play, death, Sacramento city slickers, racial slurs, invented war heroics, shaved legs, a gamine piano player, aliens, and Heisenberg's uncertainty principle. Ed Crane cuts hair in his in-law's shop; his wife drinks and may be having an affair with her boss, Big Dave, who has $10,000 to invest in a second department store. Ed gets wind of a chance to make money in dry cleaning. Blackmail and investment are his opportunity to be more than a man no one notices. Settle in the chair and listen."
Waking Life,2001,"Dreams. What are they? An escape from reality or reality itself? Waking Life follows the dream(s) of one man and his attempt to find and discern the absolute difference between waking life and the dreamworld. While trying to figure out a way to wake up, he runs into many people on his way; some of which offer one sentence asides on life, others delving deeply into existential questions and life's mysteries. We become the main character. It becomes our dream and our questions being asked and answered. Can we control our dreams? What are they telling us about life? About death? About ourselves and where we come from and where we are going? The film does not answer all these for us. Instead, it inspires us to ask the questions and find the answers ourselves."
Valentine,2001,"Valentine's Day 1988: At the school dance, geeky Jeremy Melton bravely faces one rejection after the other when asking four popular girls to dance with him. A fifth girl, plump and insecure, agrees, but they end up making out under the bleachers. When a group of school bullies catches them, the girl claims that Jeremy attacked her. This causes them to strip off his clothes and beat him up in front of the entire school. Flash forward to 2001. We meet the five girls who were in that school gym: Kate, Paige, Shelly, Lily and the formerly plump Dorothy. They are all in their 20's now and trying to sort out their love lives, which is appropriate, since Valentine's Day is coming up. After a disastrous date with a loser, one of the girls, a pre-med student, is murdered by a Cherub-mask wearing killer who sent her a death threat in the form of a Valentine card prior to the attack. After the four remaining girls are reunited at her funeral, they all start receiving threatening cards and messages. At first they don't know who would want to hurt them, but eventually they figure that maybe Jeremy is responsible. Police records show that Jeremy has completely disappeared, so no one knows what he looks like. Could the formerly nerdish Jeremy have had plastic surgery and turned into one of the girls' handsome boyfriends? Who ever it is, the lone survivor has to put a stop to this spurned individual's murder spree before she, too, becomes a valentine to die for."
L.I.E.,2001,"Fifteen-year-old Howie loses just about everything and everyone in the space of a single week, but ends up finding himself in the process. His mother has just died. His father, a building contractor, can barely keep tabs on his young girlfriend, let alone his own son. Thusly, the teen must navigate his adolescence virtually unsupervised. Floating towards an ill-behaved existence, Howie and his crowd begin robbing houses in the middle-class neighborhoods off the Long Island Expressway. Together, he and his best friend Gary break into a place belonging to an old guy named Big John, a local man who is a respected pillar of the community. When Big John fingers Gary for the crime, Howie learns that his pal has been leading a secret, dangerous but also alluring double life. Subsequently, we also discover that Big John has secrets of his own."
Exit Wounds,2001,"Orin Boyd (Seagal) is a Detroit cop who doesn't follow rules. After he saved the Vice President by violating every order he received he is transferred to one of the worst precincts in the city. There he quickly encounters some corrupt cops selling heroin to drug dealers. The problem is, it's very difficult to tell who is the bad guy and who you can trust."
"Dude, Where's My Car?",2000,"Roommates Jesse and Chester, both who have more than just a few cards short of a full deck, are stoner dudes who don't even do their jobs as pizza delivery guys well. They awaken one morning having little recollection of what they did the previous night, due to being wasted. They discover that their kitchen is full of prepackaged pudding, how they got all the pudding they are unaware. From a telephone message they receive, they come to the realization that at some point during the previous night they were at a party at the house of their girlfriends, twins Wanda and Wilma, and that today is their one year anniversary, which they did remember as they already bought the twins gifts. But the worst thing in not remembering what happened last night is that Jesse's car is missing. In trying to find out what happened to the car, they believe they have to recreate the feeling and mindset of last night, meaning getting wasted all over again. In trying to find the car, they, being the types that area easily distracted, get sidetracked by one item after another, most specifically the potential of having sex with hot babes (sex with which Wanda and Wilma have not yet provided them), and learning that they apparently had a suitcase filled with $200,000 last night, the suitcase and therefore the money to which they don't know what happened. During their day of discovery, they also end up encountering one group of alien wannabes, and two groups of actual aliens, all three groups who are after the continuum transfunctioner which they believe Jesse and Chester have. Jesse and Chester don't know where it is let alone what it is, but these three groups seem to be willing to do whatever necessary to get it from Jesse and Chester. In the process, Jesse and Chester may have to make decisions which may not only save their lives and those of Wanda, Wilma and their best friend Nelson, a zen-master, but that of the entire universe. But most importantly, they may actually find Jesse's car after all is said and done."
Bully,2001,"After finding himself at the constant abuse of his best friend, Bobby, Marty has become fed up with his friend's twisted ways. His girlfriend, a victim of Bobby's often cruel ways, couldn't agree more and they strategize murdering Bobby, with a group of willing and unwilling participants in a small Florida town. In the midst of their plotting, they find themselves contemplating with the possible aftermath of what could happen."
Harry Potter and the Sorcerer's Stone,2001,"This is the tale of Harry Potter, an ordinary 11-year-old boy serving as a sort of slave for his aunt and uncle who learns that he is actually a wizard and has been invited to attend the Hogwarts School for Witchcraft and Wizardry. Harry is snatched away from his mundane existence by Hagrid, the grounds keeper for Hogwarts, and quickly thrown into a world completely foreign to both him and the viewer. Famous for an incident that happened at his birth, Harry makes friends easily at his new school. He soon finds, however, that the wizarding world is far more dangerous for him than he would have imagined, and he quickly learns that not all wizards are ones to be trusted."
Chocolat,2000,"When a single mother and her six-year-old daughter move to rural France and open a chocolate shop - with Sunday hours - across the street from the local church, they are met with some skepticism. But as soon as they coax the townspeople into enjoying their delicious products, they are warmly welcomed."
Under the Sand,2000,"Marie, a professor of English literature in a Paris university, has been happily married to Jean for 25 years, although they have no children. During their summer vacations in the southwest of France, Jean leaves Marie sunbathing on the beach and goes to swim in the sea. When Marie turns back, she cannot find Jean. Has he left her? commited suicide? drowned? With no clue and no body to mourn over, Marie acts as her husband was still alive."
Slackers,2002,"Dave, Sam and Jeff are about to graduate from Holden University with Honors in lying, cheating and scheming. The three roommates have proudly scammed their way through the last four years of college and now, during the final exams, these big-men-on-campus are about to be busted by the most unlikely dude in school."
Serendipity,2001,"Jonathan Trager and Sara Thomas met while shopping for gloves in New York. Though buying for their respective lovers, the magic was right and a night of Christmas shopping turned into romance. Jon wanted to explore things further but Sara wasn't sure their love was meant to be. They decided to test fate by splitting up and seeing if destiny brought them back together... Many years later, having lost each other that night, both are engaged to be married. Still, neither can shake the need to give fate one last chance to reunite them. Jon enlists the help of his best man to track down the girl he can't forget starting at the store where they met. Sara asks her new age musician fiance for a break before the wedding and, with her best friend in tow, flies from California to New York hoping destiny will bring her soulmate back. Near-misses and classic Shakespearean confusion bring the two close to meeting a number of times but fate will have the final word on whether it was meant to be."
Ocean's Eleven,2001,"Danny Ocean wants to score the biggest heist in history. He combines an eleven member team, including Frank Catton, Rusty Ryan and Linus Caldwell. Their target? The Bellagio, the Mirage and the MGM Grand. All casinos owned by Terry Benedict. It's not going to be easy, as they plan to get in secretly and out with $150 million."
Freddy Got Fingered,2001,"Gordon, 28, an aspiring animator, leaves his home in Oregon to sell his ideas to Hollywood. After being told, correctly, that they are quite possibly the most stupid ideas ever and that he needs to spend time rethinking them, he moves back home. But his father, never a kind man, escalates his mean treatment of his rather unconventional son. Meanwhile, Gord has fallen for Betty, an attractive doctor at the hospital where his friend is staying; she happens to use a wheelchair, and to delight in having her paralyzed legs beaten with a bamboo cane; her sexual aggression intimidates him. Gord's family goes to a psychiatrist, and he lies to her that his father molests Gord's brother, Freddy; Gord neglects to mention that Freddy is 25. Soon, Gordon has the house to himself, and comes up with a winning animated series, ""Zebras in America"" based on his own family. All this is really a framework on which Tom Green hangs his usual crazy stunts."
Kung Pow: Enter the Fist,2002,"Kung Pow: Enter the Fist is a movie within a movie, created to spoof the martial arts genre. Writer/director Steve Oedekerk uses contemporary characters and splices them into a 1970s kung-fu film, weaving the new and old together. As the main character, The Chosen One, Oedekerk sets off to avenge the deaths of his parents at the hands of kung-fu legend Master Pain. Along the way, he encounters some strange characters, one of which is a cow trained in the martial arts."
Dr. Dolittle 2,2001,"Dr. John Dolittle the beloved doctor is back, but this time around he plays cupid to bumbling circus bear Archie as he's so smitten by a Pacific Western bear female, Ava. Dr. Dolittle must help a group of forest creatures to save their forest. But with the aid of his mangy, madcap animal friends, Dr. Dolittle must teach Archie the ways of true romance in time to save his species and his home before their habit is gone. So John held a meeting for every animal in the forest to not give up without a fight no matter what kind of animal expression they have and everyone agrees to do it and save their home."
Sidewalks of New York,2001,"Six New Yorkers have an interrelated series of relationships. TV producer Tommy, who's just broken up with his girlfriend, has a short relationship with commitment-phobe Maria, who he meets in a video store, and also hooks up with married real-estate agent Annie, who he meets while apartment hunting. Annie is open to a relationship because her husband, Griffin, is cheating on her, which she slowly comes to realize through talking to her friend/co-worker who's gone through the same thing. Griffin, a 39-year-old dentist, is cheating with 19-year-old waitress Ashley, who he picked up in a park; she realizes she can do better when Ben, a hotel doorman and aspiring musician, tries to pick her up, in a belated attempt to recover from his divorce a year ago from schoolteacher Maria (the same Maria from the video store). Most of these relationships seem driven more by a desperate need to be in a relationship than actual love."
Say It Isn't So,2001,Young orphan Gilly (Klein) finds out his lover Jo (Graham) may actually be his biological sister. After they break up he discovers he's not related and travels across the country to stop her impending wedding. Unfortunately the entire nation has heard the same story and thinks he's just after incestuous thrills.
Saving Silverman,2001,"Two dim-witted former high school buddys and Neil Diamond fanactics, Wayne and J.D., plot to keep their friend Darren from marrying the wrong woman, a domineering and spiteful psychologist named Judith by kidnapping her and trying to set Darren up with his old high school girlfriend Sandy who plans to become a nun."
Cats & Dogs,2001,"A secret war between cats and dogs quickly peaks as Professor Brody a scientist tries to create a serum to cure dog allergies in humans. As the unsuspecting humans go through their busy lives, the cats make several attempts to possess the formula, as their canine foes try tirelessly to stop them. Caught in the crossfire, a young beagle named Lou, adopted by the Brody family, tries hard to succeed as a secret agent, and in being a friend to the young Scotty Brody. A evil snow white cat named Mr. Tinkles is planning to sabotage the efforts of Professor Brody to discover a cure for human allergies to dogs. And he'll even make every person on Earth allergic to dogs so that he can take over the world with his army of evil cats!"
Double Take,2001,"The governor of a Mexican state is assassinated. Soon after, junior executive Daryl Chase's life turns upside down: after he flags a huge transfer of funds from a Mexican account as probably illegal, he's attacked in his apartment, rescued by a CIA agent, finds his secretary shot dead, and witnesses two cops get killed. He calls the CIA guy who tells him to grab the next train to Mexico. Leaving Manhattan, Daryl can't shake a jive-talking street punk named Freddy, and soon he's traded clothes with Freddy to escape the police. Within days, his girlfriend, his boss, his client, Freddy, the FBI, and the dead governor's dog are tangled in a web of deceit and danger. Who's who?"
Queen of the Damned,2002,"After many years of sleeping in his coffin, the vampire Lestat awakens only to find that the world has changed and he wants to be a part of it. He gathers a following and becomes a rock star only to find that his music awakens the ancient Queen Akasha and she wants him to become her king..."
Captain Corelli's Mandolin,2001,"In 1941, Italy allies with Germany and ruthlessly conquers the much weaker country of Greece. On a remote Greek island, an Italian artillery garrison is established to maintain order. One Italian officer, Captain Corelli, adopts an attitude of mutual co-existence with the Greeks and engages in such activities as music festivals and courting the daughter of a local doctor. In 1943, however, after Italy surrenders to the Allies and changes sides in the war, Captain Corelli must defend the Greek island against a German invasion."
The Pledge,2001,"The night he retires as a Nevada sheriff, Jerry Black pledges to the mother of a murdered girl that he will find the killer. Jerry doesn't believe the police arrested the right man; he discovers this is the third incident in the area in the recent past with victims young, blond, pretty, and small for their age. So he buys an old gas station in the mountains near the crimes in order to search for a tall man who drives a black station wagon, gives toy porcupines as gifts, and calls himself the wizard: clues from a drawing by the dead girl. Jerry's solitary life gives way to friendship with a woman and her small, blond daughter. Has Jerry neglected something that may prove fatal?"
Bread and Tulips,2000,"Life is often just ""for sake of"" and we need to know about it and want to benefit when we are presented with the occasion to. A bit for ""sake of"", a bit for choice, Rosalba, young and apart from anything a housewife of Pescara, during a bus trip after she found herself alone and...forgotten in a highway café, decides not to wait for her husband and sons to come back to pick her up but instead decides to find her own way home. She is a little offended that she has been forgotten by her family and has been told by her husband to stay put so, rebelling a little she finds herself hitch-hiking direct for Venice. Her adventure in Venice begins meeting strange but fascinating people. Fermo; an anarchistic florist, Grazia; a masseuse and Fernando; a waiter from Iceland that speaks his own language of Italian."
Brotherhood of the Wolf,2001,"In 1765 something was stalking the mountains of central France. A 'beast' that pounced on humans and animals with terrible ferocity. Indeed they beast became so notorious that the King of France dispatched envoys to find out what was happening and to kill the creature. By the end, the Beast of Gevaudan had killed over 100 people, to this day, no one is entirely sure what it was, wolf? hyena? or something supernatural? Whatever it was, shepherds had the same life-expectancy as the red-suited guys in 'Star Trek'. The Beast is a popular myth in France, albeit one rooted firmly in reality; somewhat surprisingly it is little known to the outside world, and perhaps incredibly it has never been made into a movie. Until now... Based on the true story of the Beast of the Gevaudan that terrorized France in the mid-XVIIIth century, the movie aims to tell first and explain afterwards. In the first part, a special envoy of the King of France, altogether biologist, explorer and philosopher, arrives in the Gevaudan region, in the mountainous central part of France. The Beast has been attacking women and children for months and nobody has quite been able to harm it or even take a good look at it. In the second part, our hero Chevalier de Fronsac will not only have to fight the Beast, but also ignorance, bigotry and conspiracy and will rely on two women, one an aristocrat, the other a prostitute, as well as the enigmatic Mani, an Iroquois he met in New-France (Canada)."
The Tailor of Panama,2001,"John LeCarre's spy thriller is brought to the big screen. A British spy is banished to Panama after having an affair with an ambassador's mistress. Once there he makes connection with a local tailor with a criminal past and connections to all of the top political and gangster figures in Panama. The tailor also has a wife, who works for the canal administrator, and a huge debt. The spy's mission is to learn what the President intends to do with the Panama Canal, but he's really in business for himself, blackmailing the tailor into spinning a fantastic tale about the canal being sold to China and former mercenaries ready to topple the current government."
The Mexican,2001,"Jerry Welbach is given two ultimatums. His mob boss wants him to travel to Mexico to get a priceless antique pistol called ""The Mexican"" or he will suffer the consequences. The other ultimatum comes from his girlfriend Samantha, who wants him to end his association with the mob. Jerry figures that being alive, although in trouble with his girlfriend is the better alternative so he heads south of the border. Finding the pistol is easy but getting it home is a whole other matter. The pistol supposedly carries a curse - a curse Jerry is given every reason to believe, especially when Samantha is held hostage by the gay hit man Leroy to ensure the safe return of the pistol."
Long Night's Journey Into Day,2000,"This documentary tells four stories of Apartheid in South Africa, as seen through the eyes of the Truth and Reconciliation commission. White soldiers who have killed ANC activists, black activists who have killed whites in political attacks: can there be forgiveness when the full truth comes out?"
The Original Kings of Comedy,2000,"February 26 and 27, 2000, the Original Kings of Comedy play Charlotte, NC. The themes are Blacks and Whites, men and women, old-school and hip-hop. Steve Harvey emcees, celebrates '70s music and lyrics of love, and pokes at folks in the front row. D.L. Hughley mines racial differences and talks about his marriage. Cedric the Entertainer riffs on a Black president and on being grown up. Bernie Mac, who says he expresses what's in the back of our minds, closes with reflections on being 42 (new aspects to his sex life and his attitude toward children). Spike Lee's camera takes us backstage and off-stage with the Kings and into the crowd where everyone's laughing."
Novocaine,2001,"Dr. Frank Sangster is a straight-laced dentist who because of one innocent lie, finds his tidy, prosperous life transformed into a comic quagmire of illicit sex, illegal drugs and inexplicable murder in this brilliantly offbeat, bitingly comedic film!"
Divided We Fall,2000,"In World War II Nazi occupied Czechoslovakia, a childless couple, Josef and Marie Cizek, can only watch while the Jewish family of their employers, the Wieners, are first removed from their own home to a spare room in their house by the Nazis, then deported to Theresienstadt concentration camp. Years later, young David Wiener, the sole surviving member of that family has managed to escape and make it to the Cizeks. Although fully aware of the extreme danger of harbouring a Jew in the Third Reich, the Cizek's can not permit themselves to leave David to certain death and agree to hide him. However, this decision leads to terrible danger of discovery by the Nazis and especially their friend and Nazi collaborator, Horst Prohazka, who is attracted to Marie. With desperate cleverness and luck, the Cizeks struggle to keep the secret, even when Horst begins to suspect. In doing so, they find themselves making unorthodox choices and learning about the true nature of the people around them."
The Eyes of Tammy Faye,2000,"A documentary look, mostly through the eyes of Tammy Faye Bakker Messner, at her rise and fall as a popular televangelist with husband Jim Bakker. Traces their rise: her teen marriage to Jim; their children's TV show (she was a puppeteer and singer), success founding the 700 Club, co-founding the Trinity Broadcast Network, and starting PTL Network; her nondenominational version of Christianity reaching out to all; and, their building of Heritage USA, a theme park. Things fall apart as money woes mount for Heritage and for Jim, as Tammy takes pills, and as Jerry Falwell takes PTL. Jim goes to prison; she remarries, finds herself alone again, yet remains unsinkable."
Collateral Damage,2002,"Firefighter Gordon Brewer is plunged into the complex and dangerous world of international terrorism after he loses his wife and child in a bombing credited to Claudio ""The Wolf"" Perrini. Frustrated with the official investigation and haunted by the thought that the man responsible for murdering his family might never be brought to justice, Brewer takes matters into his own hands and tracks his quarry ultimately to Colombia."
3000 Miles to Graceland,2001,"It was an ingenious enough plan: rob the Riviera Casino's count room during an Elvis impersonator convention. But Thomas Murphy decided to keep all the money for himself and shot all his partners, including recently-freed ex-con Michael Zane. With $3.2 million at stake, the Marshals Service closing in, and single mom Cybil Waingrow and her son Jesse constantly confounding things, Michael must track down Murphy."
The Fast and the Furious,2001,"Los Angeles street racer Dominic Toretto falls under the suspicion of the LAPD as a string of high-speed electronics truck robberies rocks the area. Brian O'Connor, an officer of the LAPD, joins the ranks of Toretto's highly skilled racing crew undercover to convict Toretto. However, O'Connor finds himself both enamored with this new world and in love with Toretto's sister, Mia. As a rival racing crew gains strength, O'Connor must decide where his loyalty really lies."
Down to Earth,2001,"It seems everyone is trying to get into heaven; at least those whose time is up. For Lance Barton, a struggling comedian and bicycle messenger, it's the last thing on his mind. His due date upstairs is 50 years away. In the meantime, he's got big dreams to pursue on Earth, such as landing a slot at the final Amateur Night Contest at the famed Apollo Theatre. Lance's has one little problem though - he ain't that funny. Thanks to an over-cautious emissary from heaven, Mr. Keyes, he's going to get hit (literally) with a much bigger problem. Showing that even God has difficulty finding good help these days, the inept minion mistakenly plucks Lance from a traffic accident - before it takes place. Transporting him to the Pearly Gates, or more accurately, the velvet roped-lines of the hottest club around, the error is finally addressed by Mr. King, the streetwise, no-nonsense head angel who manages the place from his plush windowed office. Since returning to his own body on Earth is impossible, the urban dwelling Lance reluctantly agrees to a normally unthinkable proposal. He'll occupy the body of a wealthy old white mogul, Charles Wellington, until a more suitable body can be found. Strangely enough, in a Park Avenue penthouse, servants and butlers become his new homeys as Lance works on his streetwise comedy routine for the big Apollo showdown. Living in the body of a callous old white man would be bizarre enough for Lance without falling in love with Sontee, the beautiful woman publicly battling Wellington's company at the same time. And if that wasn't enough, he's got to deal with the love affair between Wellington's wife and his personal assistant, and their plot to have him killed. Can reincarnation lead to self discovery, true love and a better stand up routine? Lance Barton is about to find out."
The Others,2001,"A woman named Grace retires with her two children to a mansion on Jersey, towards the end of the Second World War, where she's waiting for her husband to come back from battle. The children have a disease which means they cannot be touched by direct sunlight without being hurt in some way. They will live alone there with oppressive, strange and almost religious rules, until she needs to hire a group of servants for them. Their arrival will accidentally begin to break the rules with unexpected consequences."
One Day in September,1999,"The 1972 Munich Olympics were interrupted by Palestinian terrorists taking Israeli athletes hostage. Besides footage taken at the time, we see interviews with the surviving terrorist, Jamal Al Gashey, and various officials detailing exactly how the police, lacking an anti-terrorist squad and turning down help from the Israelis, botched the operation."
Bedazzled,2000,"Elliot Richardson, a socially awkward IT worker, is given seven wishes to get the girl of his dreams when he meets up with a very seductive Satan. The catch: his soul. Some of his wishes include being a 7 foot basketball star, a wealthy, powerful man, and a sensitive caring guy. But, as could be expected, the Devil must put her own little twist on each his fantasies."
