Title,Year,Plot
A Most Violent Year,2014,"A crime drama set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built."
Far from the Madding Crowd,2015,"The story of independent, beautiful and headstrong Bathsheba Everdene (Carey Mulligan), who attracts three very different suitors: Gabriel Oak (Matthias Schoenaerts), a sheep farmer, captivated by her fetching willfulness; Frank Troy (Tom Sturridge), a handsome and reckless Sergeant; and William Boldwood (Michael Sheen), a prosperous and mature bachelor. This timeless story of Bathsheba's choices and passions explores the nature of relationships and love - as well as the human ability to overcome hardships through resilience and perseverance."
Superfast!,2015,"Undercover cop Lucas White joins Vin Serento's LA gang of illegal street racers. They are fast and they are furious and they plan to double cross LA crime kingpin Juan Carlos de la Sol who hides his cash in a downtown Taco Bell. The gang's outrageous plan is as daring as it is ridiculous and will see them towing the whole damn restaurant, at crazy speeds."
American Heist,2014,"James (Hayden Christensen) owes his life to his older brother, Frankie (Adrien Brody) after taking the rap for a crime they committed together. While Frankie served time, James worked to turn his life around, got a steady job and began courting his former girlfriend Emily (Jordana Brewster). Now, Frankie is released and back on the streets with no money and no place to go. He turns to his underworld connections (Akon) and convinces James to join him in hopes that one last job will be the solution to change both their lives."
Obvious Child,2014,"For aspiring comedian Donna Stern, everyday life as a female twenty-something provides ample material for her relatable brand of humor. On stage, Donna is unapologetically herself, joking about topics as intimate as her sex life and as crude as her day-old underwear. But when Donna winds up unexpectedly pregnant after a one-night stand, she is forced to face the uncomfortable realities of independent womanhood for the first time. Donna's drunken hookup - and epic lapse in prophylactic judgment - turns out to be the beginning of an unplanned journey of self-discovery and empowerment."
Insurgent,2015,"One choice can transform you-or it can destroy you. But every choice has consequences, and as unrest surges in the factions all around her, Tris Prior must continue trying to save those she loves--and herself--while grappling with haunting questions of grief and forgiveness, identity and loyalty, politics and love. Tris's initiation day should have been marked by celebration and victory with her chosen faction; instead, the day ended with unspeakable horrors. War now looms as conflict between the factions and their ideologies grows. And in times of war, sides must be chosen, secrets will emerge, and choices will become even more irrevocable--and even more powerful. Transformed by her own decisions but also by haunting grief and guilt, radical new discoveries, and shifting relationships. Tris must fully embrace her Divergence, even if she does not know what she may lose by doing so."
99 Homes,2014,"Around the world everyone knows that honest hard work gets you nowhere. In sunny Orlando, Florida, construction worker Dennis Nash learns this the hard way when he is evicted from his home by a charismatic, gun-toting real-estate broker, Rick Carver. Humiliated and homeless, Nash has no choice but to move his mom and nine-year old son into a shabby, dangerous motel. All is lost. Until an unexpected opportunity arises for Nash to strike a deal with the devil - he begins working for Carver in a desperate attempt to get his home back. Carver seduces Nash into a risky world of scamming and stealing from the banks and the government; he teaches Nash how the rich get richer. Living a double life, Nash hides his new boss and job from his family. He rises fast and makes real money; he dreams bigger. But there is a cost. On Carver's orders, Nash must evict honest families from their homes - just as it happened to him. Nash's conscience starts tearing him apart... but his son needs a home. In a dramatic high stakes climax, with a 1,000 home deal on the line, Nash will have to choose between destroying an honest man for the ultimate win or risking it all by going against Carver and finding redemption."
I Origins,2014,"I Origins begins when graduate student, Ian Gray, is researching the evolution of human eyes with Karen and Kenny, in order to prove that eyes have evolved instead of ""appeared"" as creationists claim. His fascination with eyes takes him into areas that have profound personal and cultural consequences."
Chef,2014,"Carl Casper is an acclaimed chef with a family life that seems as decaying as his artistic freedom. Those frustrations boil over into a raucous viral-videoed public confrontation against a restaurant critic who panned his cooking of food that his boss ordered him to make against his instincts. Now with his career ruined, Carl's ex-wife offers an unorthodox solution in Miami: refit an old food truck to offer quality cooking on his own terms. Now with his young son, Percy, and old colleague, Martin, helping, Carl takes a working trip across America with that truck to rediscover his gastronomic passion. With Percy's tech savvy and Martin's enthusiasm, Carl finds that he is creating a traveling sensation on the way home. In doing so, Carl discovers he is serving up more than simply food, but also a deeper connection with his life and his family that is truly delicious in its own way."
Lucy,2014,"It was supposed to be a simple job. All Lucy had to do was deliver a mysterious briefcase to Mr. Jang. But immediately Lucy is caught up in a nightmarish deal where she is captured and turned into a drug mule for a new and powerful synthetic drug. When the bag she is carrying inside of her stomach leaks, Lucy's body undergoes unimaginable changes that begins to unlock her mind's full potential. With her new-found powers, Lucy turns into a merciless warrior intent on getting back at her captors. She receives invaluable help from Professor Norman, the leading authority on the human mind, and French police captain Pierre Del Rio."
Nightcrawler,2014,"NIGHTCRAWLER is a thriller set in the nocturnal underbelly of contemporary Los Angeles. Jake Gyllenhaal stars as Lou Bloom, a driven young man desperate for work who discovers the high-speed world of L.A. crime journalism. Finding a group of freelance camera crews who film crashes, fires, murder and other mayhem, Lou muscles into the cut-throat, dangerous realm of nightcrawling - where each police siren wail equals a possible windfall and victims are converted into dollars and cents. Aided by Rene Russo as Nina, a veteran of the blood-sport that is local TV news, Lou blurs the line between observer and participant to become the star of his own story."
Life Partners,2014,Sasha and Paige's co-dependent friendship is tested as Paige gets serious with a guy for the first time.
Magic in the Moonlight,2014,"Stanley is a magician who has dedicated his life to revealing fraudulent spiritualists. He plans to quickly uncover the truth behind celebrated spiritualist Sophie and her scheming mother. However, the more time he spends with her, he starts thinking that she might actually be able to communicate with the other world, but even worse, he might be falling in love with her."
Amy,2015,"A documentary on the life of Amy Winehouse, the immensely talented yet doomed songstress. We see her from her teen years, where she already showed her singing abilities, to her finding success and then her downward spiral into alcoholism and drugs."
"As Above, So Below",2014,"Miles of twisting catacombs lie beneath the streets of Paris, the eternal home to countless souls. When a team of explorers ventures into the uncharted maze of bones, they uncover the dark secret that lies within this city of the dead. A journey into madness and terror, As Above, So Below reaches deep into the human psyche to reveal the personal demons that come back to haunt us all."
Tiger Orange,2014,"In the small Central California town where they grew up, two estranged gay brothers struggle to reconnect after the recent death of their father."
Coherence,2013,"On the night of an astronomical anomaly, eight friends at a dinner party experience a troubling chain of reality bending events."
Pitch Perfect 2,2015,"The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name and regain their status, the Bellas take on a seemingly impossible task: winning an International competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood, and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams once again."
White God,2014,"A cautionary tale between a superior species and its disgraced inferior - Favoring pedigree dogs, a new regulation puts a severe tax on mixed breeds. Owners dump their dogs and shelters become overcrowded. 13-year-old Lili fights desperately to protect her pet Hagen, but her father eventually sets the dog free on the streets."
Punk's Dead: SLC Punk 2,2016,"Ross, Penny and Crash, young... outsiders from different tribes, embark on a road trip to a huge punk show. Ross, 19, is the love child of Trish and Heroin Bob, who died before Ross was born. During their odyssey, and with the help of a healthy dose of drugs, alcohol and punk music, Ross shreds his darkly Gothic outlook and embraces life. His mother Trish, who raised Ross alone in her steam punk shop, discovers that he is in a crisis. She recruits his 'uncles,' Bob's old SLC gang, to help find him. When all collide at the concert, they are forced to deal with their unresolved relationships with Bob."
Furious 7,2015,"Dominic and his crew thought they'd left the criminal mercenary life behind. They'd defeated international terrorist Owen Shaw and went their separate ways. But now, Shaw's brother, Deckard Shaw, is out killing the crew one by one for revenge. Worse, a Somalian terrorist called Jakarde and a shady government official called ""Mr. Nobody"" are both competing to steal a computer terrorism program called ""God's Eye,"" that can turn any technological device into a weapon. Torretto must reconvene with his team to stop Shaw and retrieve the God's Eye program while caught in a power struggle between the terrorist and the United States government."
Justice League: The Flashpoint Paradox,2013,"An alteration of the timeline for the superhero, The Flash. The Flash must team with other heroes to restore the timeline while the Earth is ravaged by a war between Aquaman's Atlantis and Wonder Woman's Amazons."
Kingsman: The Secret Service,2014,"A young man named Eggsy whose father died when he was a young boy, is dealing with living with the creep his mother is with now, who mistreats her and him. He goes out and does something to one of the creep's friends. He gets arrested and he calls a number a man gave him around the time his father died, to call if he needs help. A man named Harry approaches him and tells him he's the one who helped him. He tells him that he knew his father. When the man Eggsy slighted wants some payback, Harry takes care of him and his companions single handed. Harry then tells Eggsy that he's part of a secret organization called the Kingsman and his father was also part of it. He died trying to make the world safe. Harry offers Eggsy the opportunity to be a Kingsman and he takes it. He undergoes a grueling training course. Harry is looking into the demise of another Kingsman and the trail leads him to tech billionaire named Valentine aka V who is also curious about the group following him, the Kingsman."
The Opposite Sex,2014,"A Bet's A Bet tells the story of Vince, New England's most successful divorce attorney. To Vince, life is one big competition, and losing is unacceptable. This also applies in his dating life with his love 'em and leave 'em approach. Then Vince meets Jane, who is beautiful, successful and also extremely driven. Together they enter into a series of entertaining wagers with each other where the winner gets to decide the fate of the loser. After all, ""A Bet's a Bet!"""
Starry Eyes,2014,"In Hollywood, the Big Taters'waitress Sarah Walker is an ambitious aspiring actress that suffers from hair pulling disorder. Sarah does not respect her boss Carl or her job since she believes she will be a great actress and this job is temporary only to pay her bills. She shares an apartment with her roommate Tracy that frequently discloses her secrets to their selfish friends Erin that likes to humiliate Sarah and steal her roles; Danny, who is an aspiring director that likes Sarah; Poe and Ashley that are indifferent to her. When Sarah is invited to an audition of the film The Silver Screen from the company Astraeus Pictures, their auditioners do not show any reaction to her performance. When Sarah leaves the audition, she goes to the toilet room and has an attack, pulling her hair and crying. Immediately after, the casting director invites her to return to the room and repeat what she did in the bathroom for her assistant and she. Sarah is invited again to an audition with the producer and when he insinuates to have sex with her, she refuses and goes home. However her ambition prevails and she returns to his house and has oral sex with him. He tells that she wants to be famous, she needs to die and reborn. When Sarah returns home, she finds that her body is deteriorating and she needs to murder her friends to complete her transformation. What will she do?"
Welcome to Me,2014,"Alice suffers from borderline personality disorder, but she has what she needs in life. She has an apartment, she has a best friend, and she has tapes of every Oprah Winfrey show. And now, after winning the lottery, she also has 83 million dollars. What she doesn't have is an outlet for the whole world to know who she really is. The TV station cut her off when she tried turning her lottery announcement into a frank discussion of her sexual experiences, but with her money in hand, she's off to LA to convince two struggling TV producer brothers to produce her own TV show. Whatever it costs, she's going to do it. From swan entrances to dog neutering, she is going to introduce the world to Alice. But is the world ready for Alice?"
The Interview,2014,"In the action-comedy The Interview, Dave Skylark (James Franco) and his producer Aaron Rapoport (Seth Rogen) run the popular celebrity tabloid TV show ""Skylark Tonight."" When they discover that North Korean dictator Kim Jong-un is a fan of the show, they land an interview with him in an attempt to legitimize themselves as journalists. As Dave and Aaron prepare to travel to Pyongyang, their plans change when the CIA recruits them, perhaps the two least-qualified men imaginable, to assassinate Kim Jong-un."
Top Five,2014,A comedian tries to make it as a serious actor when his reality-TV star fiancée talks him into broadcasting their wedding on her TV show.
Zombeavers,2014,"ZOMBEAVERS is an action-packed horror/comedy in which a group of college kids staying at a riverside cabin are menaced by a swarm of deadly zombie beavers. A weekend of sex and debauchery soon turns gruesome as the beavers close in on the kids. Riding the line between scary, sexy and funny, the kids are soon fighting for their lives in a desperate attempt to fend off the hoard of beavers that attack them in and around their cabin."
Final Prayer,2013,"A team of Vatican investigators descends upon a church in a remote area to demystify the unusual happenings, but what they discover is more disturbing than they had first imagined."
The Day of the Doctor,2013,"In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion."
Veronica Mars,2014,"Former teenage private eye and now an aspiring New York City lawyer, Veronica Mars gets one phone call from ex-boyfriend Logan Echolls and she gets pulled right back into the seedy underbelly of Neptune, California. Logan's pop star girlfriend, Bonnie DeVille, has been murdered and he needs Veronica's help to clear his name. DeVille is a fellow Neptune High alum, and her murder and Veronica's return to Neptune coincide with their 10-year high school reunion. Veronica is face to face with old friends and foes alike and finds it's much harder to leave home a second time."
Search Party,2014,"Convinced that his buddy Nardo (Thomas Middleditch) is making the mistake of a lifetime by marrying Tracy (Shannon Woodward), Jason (T.J. Miller) puts a dramatic end to their wedding. When the furious bride decides to take her Baja honeymoon solo, Nardo follows her-where the lovesick groom is carjacked and left stranded, naked and penniless in a remote part of the Mexican desert. Helpless, Nardo sends out an SOS to Jason and their pal Evan (Adam Pally), an up-and-coming ad exec slated for an important business meeting the next morning. During their ridiculous attempt to rescue Nardo, the trio embarks on a series of increasingly outrageous misadventures involving con artists, drug smugglers and even the Federales."
Mistaken for Strangers,2013,"In 2010, rock band The National were about to embark on the biggest tour of their career. After ten years as a band, and five critically acclaimed albums, they were finally enjoying wider recognition. Lead singer Matt Berninger invited his younger brother, Tom, to join the tour's crew. A budding horror filmmaker, Tom - who is nine years younger than Matt and listens exclusively to heavy metal - decided to bring his camera along. Tom's at sea in the world of indie rock, and living in his brother's shadow brings out the younger sibling in him - he drinks, complains, and struggles to balance his ambition with his tour responsibilities. The result is a film about brothers and about making something of your own."
The Salvation,2014,"The American West in the 1870s. A European settler, Jon Jensen (Mads Mikkelsen), has just welcomed his wife and son to the country when they are kidnapped and murdered. He takes revenge on the murderers, only to discover that one was the brother of a local land baron, Henry Delarue. Delarue runs the local town with a brutal hand. Now he wants vengeance on the man who killed his brother and the local townspeople are too scared of him to stand up to him. Jon is fighting more than just the local thugs, he is facing the entire town."
Ida,2013,"Poland, 1962. Anna, an orphan brought up by nuns in the convent, is a novice. She has to see Wanda, the only living relative, before she takes her vows. Wanda tells Anna about her Jewish roots. Both women start a journey not only to find their family's tragic story, but to see who they really are and where they belong. They question what they used to believe in."
Blackhat,2015,"Nick Hathaway, an extremely talented hacker who has gone astray, finds his way out of a 15 year prison sentence when parts of a computer code he once wrote during his youth appears in a malware that triggered a terrorist attack in a nuclear power plant in China. This opportunity will reunite him with an old friend but will also put him in the middle of a power game between the American and Chinese government as well as an arch villain hacker whose identity he has to find if he wants to keep his freedom and his life."
Finding Vivian Maier,2013,"Real estate agent John Maloof explains how a trip to a local auction house, in search for old pictures to use for a history book about his neighborhood, resulted in him bidding and winning a box full of old negatives. John goes through the massive quantity of negatives, describes how impressed he is by the quality of the images, becomes quickly determined they are not reverent to his project and just puts them away. That could have very likely had been the end of the story, if the power of the images had not pushed him to fall in love with photography. John confides that his photo hobby quickly motivated him to set up a darkroom and devote large amounts of time printing. As he learned more about photography, he recognized that those negatives he had bought, then stored, were the work of a real master. In an attempt to confirm his suspicion, he selected about 100 images and put them online with the hope that the feedback would confirm his judgement as to the strength of the images."
Fury,2014,"1945, in World War II Germany, the tough Sergeant Don 'Wardaddy' Collier commands a tank and survives a German attack with his veteran crew composed of Boyd 'Bible' Swan, Trini 'Gordo' Garcia and Grady 'Coon-Ass' Travis. He receives a rookie soldier Norman Ellison as the substitute for his deceased gunner and he tries to harden the youth along the way."
The Secret Life of Pets,2016,"Taking place in a Manhattan apartment building, Max's life as a favorite pet is turned upside down, when his owner brings home a sloppy mongrel named Duke. They have to put their quarrels behind when they find out that an adorable white bunny named Snowball is building an army of lost pets determined to take revenge"
Locke,2013,"Leaving the construction site on the eve of a major project, construction manager Ivan Locke receives news that sends him driving the two hours from Birmingham to London, but even further from the life he once knew. Making the decision that he has to make, he then calls his wife, his sons, his co-workers and boss telling them the secret that he is bearing and trying to keep his job and family intact. But even more importantly, he will have to face himself and the choices he has made."
Night at the Museum: Secret of the Tomb,2014,"At the Museum of Natural History, there's a new exhibit being unveiled. Larry Daley, who manages the night exhibit where the exhibits come to life because of the Tablet of Ahkmenrah, is in charge of the presentation. But when the exhibits go awry, Larry finds himself in trouble. He learns the Tablet is corroding so he does some research and learns that Cecil, the former museum guard, was at the site when the Tablet was discovered. He tells Larry they were warned if they remove it could mean the end. Larry realizes it means the end of the magic. He talks to Ahkmenrah who says that he doesn't know anything. Only his father the Pharaoh knows the Tablet's secrets. He learns that the Pharaoh was sent to the London museum. So he convinces Dr. McPhee, the museum curator, to help send him to London. He takes Ahkmenrah with him but some of the others tag along, like Teddy Roosevelt, Attila, Octavius, and Jedediah."
Hitman: Agent 47,2015,"HITMAN: AGENT 47 centers on an elite assassin who was genetically engineered from conception to be the perfect killing machine, and is known only by the last two digits on the barcode tattooed on the back of his neck. He is the culmination of decades of research and forty-six earlier Agent clones -- endowing him with unprecedented strength, speed, stamina and intelligence. His latest target is a mega-corporation that plans to unlock the secret of Agent 47's past to create an army of killers whose powers surpass even his own. Teaming up with a young woman who may hold the secret to overcoming their powerful and clandestine enemies, 47 confronts stunning revelations about his own origins and squares off in an epic battle with his deadliest foe."
Time Lapse,2014,Three friends discover a time machine which takes pictures of the future. They begin to use it to win race bets and everything goes fine till one gets greedier than another. They begin to lose faith in each other giving a sense of backstabbing as uglier truths unfold in the photos and the situation soon gets out of control.
Star Trek: Beyond,2016,"After stopping off at Starbase Yorktown, a remote outpost on the fringes of Federation space, the USS Enterprise, halfway into their five-year mission, is destroyed by an unstoppable wave of unknown aliens. With the crew stranded on an unknown planet and with no apparent means of rescue, they find themselves fighting against a ruthless enemy with a well-earned hatred of the Federation and everything it stands for. Only a rebellious alien warrior can help them reunite and leave the planet to stop this deadly menace from beginning a possible galactic war."
Ben-Hur,2016,"Judah Ben-Hur, a prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption."
Ted 2,2015,"Months after John's divorce, Ted and Tami-Lynn's marriage seems on the same road. To patch things up, Ted and Tami-Lynn plan to have a child with John's help, but their failed efforts backfire disastrously. Namely, Ted is declared property by the government and he loses all his civil rights. Now, Ted must fight a seemingly hopeless legal battle with an inexperienced young lawyer to regain his rightful legal status. Unfortunately, between Ted's drunken idiocies and sinister forces interested in this situation to exploit him, Ted's quest has all the odds against him."
The Day That Lasted 21 Years,2012,Provides evidence of manipulation and investment funding from the U.S. government to carry out the Brazilian military coup that occurred in 1964.
"Getting Go, the Go Doc Project",2013,"College boy ""Doc"" is obsessed with a well-known NYC go-go dancer, nicknamed ""Go."" He befriends his hunky crush under the ruse of shooting a movie about what it's like to live in his skin. Camera in hand, he follows his subject across the city - into bars, onto rooftops, over dance floors and, ultimately, into his bedroom - but as they grow closer, flirtation blurs the line between subject and filmmaker until a steamy night together solidifies deeper feelings. Cory Kruekeberg's explicit directorial debut explores the thrill and danger of getting exactly what you wish for."
Whiplash,2014,"A young and talented drummer attending a prestigious music academy finds himself under the wing of the most respected professor at the school, one who does not hold back on abuse towards his students. The two form an odd relationship as the student wants to achieve greatness, and the professor pushes him."
Me and Earl and the Dying Girl,2015,"Seventeen-year-old Greg has managed to become part of every social group at his Pittsburgh high school without having any friends, but his life changes when his mother forces him to befriend Rachel, a girl he once knew in Hebrew school who has leukemia."
Starred Up,2013,"Eric Love is a 19 year old teenager who is so violent he has been 'Starred Up' (Moved to Adult prison) where he finds his father Neville who Eric hasn't seen since he was 5 (since he was put into care). Neville tries to get Eric to settle down, so Eric gets a chance to go through therapy with Oliver."
Birdman or (The Unexpected Virtue of Ignorance),2014,"Actor Riggan Thomson is most famous for his movie role from over twenty years ago of the comic book superhero Birdman in the blockbuster movie of the same name and its two equally popular sequels. His association with the role took over his life, where Birdman is more renowned than ""Riggan Thomson"" the actor. Now past middle age, Riggan is trying to establish himself as a true artist by writing, directing, starring in and co-producing with his best friend Jake what is his Broadway debut, an adaptation of Raymond Carver's story, What We Talk About When We Talk About Love. He is staking his name, what little artistic reputation that comes with that name and his life savings on the project, and as such will do anything needed to make the play a success. As he and Jake go through the process of the previews toward opening night, Riggan runs into several issues: needing to find a replacement for the integral supporting male role the night before the first preview; hiring the talented Broadway name, Mike Shiner, for that role, Mike who ends up being difficult to work with and who may end up overshadowing Riggan in the play; having to deal potentially with a lawsuit based on one of his actions to ensure success; needing to be there for his daughter, Sam, who he has hired to be his production assistant and who has just come out of drug rehab; and pleasing the New York Times critic, Tabitha Dickinson, who wants to use any excuse to give the play a scathing review which in turn would close the show after the opening night performance. But Riggan's biggest problem may be his own insecurities, which are manifested by him constantly hearing what he believes to be the truth from the voice of his Birdman character, who he often battles both internally and externally."
Get Hard,2015,"Kevin Hart plays the role of Darnell--a family man desperate to get enough money to buy a house in a better area to benefit his family's well-being. He is hired by James (Will Ferrell), a wimpy stock trader who is about to go to prison for 10 years, to prepare him for life behind bars. The catch is that James thinks Darnell is an ex-con--not because Darnell told him that, but because James just assumed."
Plastic,2014,Plastic is based on a true story where a gang of friends managed to infiltrate one of the biggest credit card companies in the World and pull off one of the biggest and most audacious Diamond Heists ever committed in British History. Plastic is Catch Me If You Can meets The Italian Job.
The Second Best Exotic Marigold Hotel,2015,"The Second Best Exotic Marigold Hotel is the expansionist dream of Sonny (Dev Patel), and it's making more claims on his time than he has available, considering his imminent marriage to the love of his life, Sunaina (Tina Desai). Sonny has his eye on a promising property now that his first venture, The Best Exotic Marigold Hotel for the Elderly and Beautiful, has only a single remaining vacancy - posing a rooming predicament for fresh arrivals Guy (Richard Gere) and Lavinia (Tamsin Greig). Evelyn and Douglas (Judi Dench and Bill Nighy) have now joined the Jaipur workforce, and are wondering where their regular dates for Chilla pancakes will lead, while Norman and Carol (Ronald Pickup and Diana Hardcastle) are negotiating the tricky waters of an exclusive relationship, as Madge (Celia Imrie) juggles two eligible and very wealthy suitors. Perhaps the only one who may know the answers is newly installed co-manager of the hotel, Muriel (Maggie Smith), the keeper of everyone's secrets. As the demands of a traditional Indian wedding threaten to engulf them all, an unexpected way forward presents itself."
Blackfish,2013,"Notorious killer whale Tilikum is responsible for the deaths of three individuals, including a top killer whale trainer. Blackfish shows the sometimes devastating consequences of keeping such intelligent and sentient creatures in captivity."
By the Gun,2014,"Nick Tortano is a smooth-talking, ambitious criminal from the streets of Boston. After years spent working for and idolizing the Italian gangsters he finally proves himself to the boss and becomes a made man. However, once inside, Nick conflicts with a moneymaker for the Mafia and begins to drive a wedge between him and Boss."
The Harvest,2013,"The girl Maryann has just moved to the house of her Grandfather and Grandmother in the countryside after losing her parents. She is lonely and misses her former friends and decides to wander around the area. She finds the secluded boy Andy, who lives alone with his mother, the surgeon Dr. Katherine Young, and his father, the nurse Richard Young, in an isolated house. They immediately befriend each other and she enters in his room through the window to play video-game with him since Andy depends on a wheelchair to locomote. On the next day, Maryann visits her new friend again and Richard let her in to play with Andy. On the next day, Katherine does not allow Maryann to visit her son and she goes to the house of her grandparents to forbid Maryann to visit her son. However Maryann insists on visiting Andy when his parents are absent; out of the blue, they return and Maryann is trapped inside the house. She goes to the basement expecting to find a way out and stumbles with a dark secret. What has Maryann discovered about Andy's parents?"
"A Fragile Trust: Plagiarism, Power, and Jayson Blair at the New York Times",2013,Jayson Blair is the most infamous serial plagiarist of our time. He unleashed the massive scandal that rocked the New York Times and the entire world of journalism.
