Title,Year,Plot
We Were Soldiers,2002,"A telling of the 1st Battalion, 7 Cavalry Regiment, 1st Calvary Division's battle against overwhelming odds in the La Drang valley of Vietnam in 1965. Seen through the eyes of the battalion's commander, Lt. Col. Hal Moore (played by Mel Gibson), we see him take command of the battalion and its preparations to go into Vietnam. We also see how the French had, years earlier, been defeated in the same area. The battle was to be the first major engagement between US and NVA forces in Vietnam and showed the use of helicopters as mobility providers and assault support aircraft."
Not Another Teen Movie,2001,"At John Hughes High School, the students are the same as just about every other teenager in a teen movie. The popular jock, Jake, takes a bet from Austin, the cocky blonde guy, that he can transform Janey, the pretty ugly girl, into the prom queen before the prom. But two people are trying to stop Jake from succeeding: his evil sister, Catherine, the cruelest girl in school, and Priscilla, the bitchy cheerleader. And all of their friends are the same as any other teen movie: Areola, the naked foreign exchange student, Les, the beautiful weirdo, Malik, the token black guy, the desperate virgins, Amanda Becker, the perfect girl, Ricky, Janey's obsessed best friend, and Sadie, the VERY old undercover reporter."
I Am Sam,2001,"Sam Dawson has the mental capacity of a 7-year-old. He works at a Starbucks and is obsessed with the Beatles. He has a daughter with a homeless woman; she abandons them as soon as they leave the hospital. He names his daughter Lucy Diamond (after the Beatles song), and raises her. But as she reaches age 7 herself, Sam's limitations start to become a problem at school; she's intentionally holding back to avoid looking smarter than him. The authorities take her away, and Sam shames high-priced lawyer Rita Harrison into taking his case pro bono. In the process, he teaches her a great deal about love, and whether it's really all you need."
Tape,2001,"Based on a three-character, one-act play, Tape is set entirely in Room 19 of a seedy motel in Lansing, Michigan rented by Vince, an ill-tempered, outgoing party animal/drug dealer who's visited by his old high school friend Jon, a documentary filmmaker, where they pass the time reminiscing about the good old times which take a turn when Vince records their conversation with Jon admitting to a possible date-rape of Vince's old girlfriend Amy, who later shows up and opens up a new wave of talk and arguments about whose story is fact or fabricated."
Crossroads,2002,"Three best friends get together and bury a box, making a pact to open it at midnight at their high school graduation. In the small town in Georgia that they live in, things soon change. One is little miss perfect, one is an engaged prom queen, and the other is a pregnant outcast. On the night of their graduation, they open the box and they strike up a conversation. Suddenly, one brings up the topic of her going to Los Angeles for a record contract audition. They all decide to go together and they leave. With a little money, they set out on the road with a guy named Ben. When one of them tells the other a rumor that he might be a homicidal maniac, they are all scared of him. When they reach Los Angeles, Lucy (Britney Spears) falls in love with Ben and against her father's wishes, she stays and she goes to the audition."
Orange County,2002,"Shaun Brumder is a local surfer kid from Orange County who dreams of going to Stanford to become a writer and to get away from his disfunctional family household. Except Shaun runs into one complication after another starting when his application is rejected after his dim-witted guidance counselor sends the wrong application. So, Shaun goes to great lengths with a little help from his girlfriend Ashley and his drugged-out loser brother Lance to get into Stanford any way they see fit."
Max Keeble's Big Move,2001,"Max Keeble is a nice, quiet teenager, whose idea of 'superhero-requiring' danger is braving Evil Ice Cream Man who blames him for a health complaint from ma Lily. She spent six years on just the right interior and now hears from dad Don Keeble, a wimp whose 'career' in commercial publicity still only got him wearing sly costumes, a promotion requires the family to move to Chicago. Initially Max just hates giving up his high-school friends, a fatso and a music-maniac, but when their former friend Troy McGinty picks on them with his new image as bully realizes leaving means he can't be punished after Friday, and plans an orgy of revenge. Max's targets include the arrogant new principal, Elliot T. Jindraike, who spends the school budget on a new sports stadium to flatter the inspector, Superintendant Bobby 'Crazy Legs' Knebworth, and even plants to tear down the animal shelter. When it's all in motion, dad suddenly announces he has taken Max's first advice and turned down the promotion!"
Jump Tomorrow,2001,"George, a passive and sometimes expressionless Nigerian, arrives at the Buffalo airport to meet the women his family has arranged for him to marry. He's late, she's gone on to Niagara Falls, so he has two days, traveling slowly and reluctantly, to get to the wedding. At the airport, he meets Alicia, a lively Latin, going with her boyfriend to see her family. George is smitten. Partly by happenstance, and partly by the designs of Gerard, a romantic and manic Frenchman George meets at the airport, his path crosses Alicia's a few times. As Gerard puts it, George should seize the chance to see what happens with Alicia - he can always jump tomorrow. Can George take on fate and custom?"
K-PAX,2001,"PROT is a patient at a mental hospital who claims to be from a far away planet. His psychiatrist tries to help him, only to begin to doubt his own explanations."
The Last Castle,2001,"When three star General Irwin is transferred to a maximum security military prison, its warden, Colonel Winter, can't hide his admiration towards the highly decorated and experienced soldier. Irwin has been stripped of his rank for disobedience in a mission, but not of fame. Colonel Winter, who runs the prison with an iron fist, deeply admires the General, but works with completely different methods in order to keep up discipline. After a short while, Irwin can feel Winter's unjust treatment of the inmates. He decides to teach Winter a lesson by taking over command of the facility and thus depriving him of his smug attitude. When Winter decides to participate in what he still thinks of as a game, it may already be too late to win."
Kiss of the Dragon,2001,"Liu Jian, a police officer from China, comes to Paris to help the vice squad apprehend a Chinese drug lord and his unknown French connection. The French connection is Richard, the head of the vice squad, who intends to kill the drug lord then frame Jian. Jian ducks a bullet and escapes with a tape of what really happened. By chance, Jian turns to Jessica - a US farm girl who is one of Richard's hookers - for help. She has her own problems, including the fact that Richard has her daughter locked in an orphanage to keep Jessica on the streets and silent about his activities. Can Jian protect Jessica, rescue her daughter, and give Richard the kiss of the dragon?"
The Majestic,2001,"Peter Appleton is an ambitious young screenwriter working for HHS Studios during Hollywood's Golden Age, 1951 in particular. ""Ashes to Ashes"" is about to be released, and he's dating the attractive movie star, Sandra Sinclair. Just when everything seems to be going his way, it is discovered he (unwittingly) attended a Communist meeting during college when pulled there by his girlfriend at the time, and thus heavy suspicion settles over him and he'll have to stand before Congress. Afraid of what might happen if they don't, HHS cancels Appleton's contract and aborts the release date of the film. Appleton promptly begins to wallow in self-pity and spends nearly an entire night at a bar, then drives intoxicated through the streets of the California course until plummeting into a stormy river and getting knocked unconscious. Washing up on the beaches of a small town called Lawson. Although the people there are pleasant and likable, the town is depressed and lifeless due to having lost 62 of its sons in World War II. One of them, Luke Trimble, was missing in action; and miraculously, Peter bears a striking resemblance to the black and white photos, close enough to fool even Luke's father, Harry. However, thanks to the blow to the head and the alcohol, Peter has suffered amnesia and decides he must be who they think he is. Besides, it's not a bad life: Luke's beautiful lover, lawyer Adele Stanton, is all over him, the town has suddenly come back to life with excitement, and he and his ""father"" rebuild a movie palace Harry used to run, the Majestic. Unfortunately, Peter's memory returns in time for G-men to track him down."
A Beautiful Mind,2001,"From the heights of notoriety to the depths of depravity, John Forbes Nash, Jr. experienced it all. A mathematical genius, he made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a painful and harrowing journey of self-discovery. After many years of struggle, he eventually triumphed over his tragedy, and finally - late in life - received the Nobel Prize."
The Time Machine,2002,"Based on the classic sci-fi novel by H.G. Wells, scientist and inventor, Alexander Hartdegen, is determined to prove that time travel is possible. His determination is turned to desperation by a personal tragedy that now drives him to want to change the past. Testing his theories with a time machine of his own invention, Hartdegen is hurtled 800,000 years into the future, where he discovers that mankind has divided into the hunter - and the hunted."
Jimmy Neutron: Boy Genius,2001,"Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents."
The One,2001,"There is not one universe, but there are many, which is a multiverse. Supposing you are just one person, there are many other versions of you in the other universes, there are ways to travel, but only a police agency, MVA, can travel only for police procedures. Gabriel Yulaw is a former MVA agent, who killed another version of himself in self-defense. It made the other versions of him stronger. When Yulaw found out about this, he became power-hungry killing the 122 other versions for two years. After killing Lawless and getting captured by his former partner Roedecker and a new MVA agent Funsch, Yulaw managed to escape the prison and is trying to kill his last target, Gabe Law who is a police officer. He is also at Yulaw's strength. Roedecker and Funsch now have to arrest Yulaw before he can kill Gabe. There is a possibility that the universe could die or make Yulaw invincible. After encountering Yulaw for the first time, Gabe thought that it was his split personality, but it wasn't. Will Gabe be able to confront Yulaw before or after Yulaw ruins his life?"
Spy Game,2001,"CIA operative Nathan Muir (Redford) is on the brink of retirement when he finds out that his protege Tom Bishop (Pitt) has been arrested in China for espionage. No stranger to the machinations of the CIA's top echelon, Muir hones all his skills and irreverent manner in order to find a way to free Bishop. As he embarks on his mission to free Bishop, Muir recalls how he recruited and trained the young rookie, at that time a sergeant in Vietnam, their turbulent times together as operatives and the woman who threatened their friendship."
Rush Hour 2,2001,"It's vacation time for Det. James Carter and he finds himself alongside Det. Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot by L.A. crime boss Steven Reign and Triad Ricky Tan, an ex-cop who played a mysterious part in the death of Det. Lee's father. Throw in a power struggle between Tan and the gorgeous but dangerous Hu Li and the boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella. Then again, it may turn up more excitement than Carter was looking for during his vacation."
"Scotland, Pa.",2001,"Joe McBeth is a hard-working but unambitious doofus who toils at a hamburger stand alongside his wife Pat, who has a significant edge in the brains department. Pat is convinced she could do a lot better with the place than their boss Norm Duncan is doing, so she works up a plan to usurp Norm, convincing Mac to rob the restaurant's safe and then murder Norm, using the robbery as a way of throwing the police off their trail. Though two stoners and a would-be fortune teller warn Mac that bad luck awaits him, he gathers his courage and goes through with his wife's scheme. At first, things seem to have gone just as Pat hoped, and after Norm's sons sell the restaurant to the McBeths (they pay for it with the money they stole from Norm), business takes off. But vegetarian police detective McDuff is convinced there's foul play at the new center of the fast food universe, and when the McBeths fear that fry cook Banco knows more than he's letting on, Mac takes charge in the plotting department and decides there may be more dead meat on the menu."
The Royal Tenenbaums,2001,"Three grown prodigies, all with a unique genius of some kind, and their mother are staying at the family household. Their father, Royal had left them long ago, and comes back to make things right with his family."
The Mothman Prophecies,2002,"John Klein is involved in a car accident with his wife, but while he is unharmed, his wife mentions a moth shaped creature appearing. After her death, John begins to investigate the secrets behind this mentioned Mothman. It takes him to a small town of Point Pleasant, West Virginia, where he discovers a connection with the same problem. Here he meets Connie Mills, while he continues to unravel the mystery of what the Mothman really is."
Monsoon Wedding,2001,"A story set in the modern upper-middle class of India, where telecommunications and a western lifestyle mix with old traditions, like the arranged wedding young Aditi accepts when she ends the affair with a married TV producer. The groom is an Indian living in Texas, and all relatives from both families, some from distant places like Australia, come to New Delhi during the monsoon season to attend the wedding. The four-day arrangements and celebrations will see clumsy organization, family parties and drama, dangers to the happy end of the wedding, lots of music and even a new romance for the wedding planner Dubey with the housemaid Alice..."
Big Fat Liar,2002,"A take on the classic tale 'The Boy Who Cried Wolf', this is the story of a 14-year-old boy named Jason Shephard who lies for the fun of it. He loses an important story assignment entitled 'Big Fat Liar' in movie producer Marty Wolf's limo, which Wolf then turns into a film. When Jason sees a movie preview of his story, he and his best friend Kaylee go to Los Angeles to make Wolf confess to using his story, to clear his name, and to get him out of having to attend summer school. The teen liar then has to match wits with Wolf, who also turns out to be a big liar."
Black Knight,2001,"This is the story an amusement park employee named Jamal Walker who is magically transported back to medieval times in 14th-century England. There, Jamal meets Sir Knolte, a dissolute knight, before he stumbles into the court of the usurper King Leo. Jamal is impressed by what he thinks is the realism of the theme park; only after witnessing a gory beheading does he realize, with horror, where he really is. Jamal encounters the beautiful Victoria who is scheming to return the queen to the throne, and falls afoul of the evil Sir Percival. Joining forces with Sir Knolte and Victoria, Jamal teaches the rebels some helpful football, golfing, and boxing moves, before he dons the armor of the awesome ""Black Knight""!"
Black Hawk Down,2001,"Action/war drama based on the best-selling book detailing a near-disastrous mission in Somalia on October 3, 1993. On this date nearly 100 U.S. Army Rangers, commanded by Capt. Mike Steele, were dropped by helicopter deep into the capital city of Mogadishu to capture two top lieutenants of a Somali warlord. This led to a large and drawn-out firefight between the Army Ranges, US Special Forces, and hundreds of Somali gunmen; resulting in the destruction of two U.S. Black Hawk helicopters. The film focuses on the heroic efforts of various Rangers to get to the downed black hawks, centering on SSG Eversmann, leading the Ranger unit Chalk Four to the first black hawk crash site, Chief Warrant Officer Durant who was captured after being the only survivor of the second black hawk crash, as well as many others who were involved."
The Endurance,2000,"A retelling of Sir Ernest Shackleton 's ill-fated expedition to Antarctica in 1914-1916, featuring new footage of the actual locations and interviews with surviving relatives of key expedition members, plus archived audio interviews with expedition members, and a generous helping of the footage and still photos shot on the expedition."
The Iron Ladies,2000,"The Iron Ladies tells the true story of a Thai male volleyball team that competes in the national championships in 1996 with a team consisting mostly of gays, transvestites and transsexuals. Mon, who becomes the team leader, was a very talented player who constantly failed to be selected for various teams because he was gay. Jung, Mon's best friend, also experienced the same treatment but was always more optimistic about things. Their chance comes when Coach Bee is selected to put together a winning team, and she announces that the team will be open for all to tryout. But when the coach selects both Jung and Mon to be on the team, some of the more macho players resign in protest. In order to form a team, the coach asks Mon to find a few of his friends to join the team. They select Nong, a gay sergeant in the army; Pia, the transsexual star of a cabaret show; and Wit, whose parents don't know that their only son is gay."
Jeepers Creepers,2001,"On their way back home during the spring break, Darry and Patricia Jenner witness a mysterious person dumping something down a tunnel. Deciding to discover what was dumped down there, Darry discovers a huge disturbing hideout full of modified bodies. Darry and Patricia set off to get help, unaware that the individual is now aware of who has been down the tunnel. Darry and Patricia soon realizes that their pursuer is not just a mysterious person, but something even more horrifying, who has more in store than they could possibly imagine."
Piñero,2001,"""Piñero"" tells the story of the explosive life of a Latino icon, the poet-playwright-actor Miguel Piñero, whose urban poetry is recognized as a pre-cursor to rap and hip-hop. After doing time in hard-core Sing-Sing for petty thefts and drug dealing, Piñero's prison experiences developed into the 1974 Tony-nominated play Short Eyes. The resulting notoriety and fame was too much for the Latino bad-boy genius who retreated to the darker corners of New York City."
Don't Say a Word,2001,"A group of thieves steal a rare gem, but in the process, two of the men double cross the leader of the thieving group, Patrick, and take off with the precious stone. Ten years later, prominent psychiatrist Nathan Conrad is invited to examine a disturbed young woman named Elisabeth. Patrick immediately kidnaps Nathan's daughter, forcing Nathan to attempt to get Elisabeth to reveal a secret number which will ultimately lead Patrick to the whereabouts of the precious gem that has eluded him."
Digimon: The Movie,2000,"The film is an edited version of three different Japanese short films, which have been combined together. There is narration by a continuing character, Kari. The first segment of the film revolves around the first encounter with a digimon and a fight that occurs between their digimon and another. The two kids, Kari and Tai, raise a fast-growing digimon from an egg to a large, dinosaur-like digimon, which escapes from their house and then has an encounter and a battle with a parrot-like digimon. The second segment mainly involves Tai and another digiDestined friend of his, Izzy. A computer virus sweeps across the internet, effecting a digiEgg, and thus creating an infected digimon. This infected digimon begins to start eating computer information and data, and the two protagonists attempt to stop the digimon, but fail. After the infected digimon manages to get into the American information system and launch two nukes, one at japan and one at Colorado, Tai and Izzy get help from teammates Matt and his little brother T.K. They successfully overcome the infected digimon and prevent the nukes from detonating. The third and final segment involves Kari and T.K., now years older, as they see a kid and two digimon fighting whilst in New York. Kari and T.K decide to follow the child, who turns out to be the creator of the virus, and, after meeting up with friends, they manage to defeat the evil digimon, who turns out to be one of Willis' twin digimon that was affected by the virus following the actions of the second segment. Together they fight against this infected digimon, and destroy the virus that was affecting Willis' digimon."
Vanilla Sky,2001,"Incarcerated and charged with murder, David Aames Jr. is telling the story of how he got to where he is to McCabe, the police psychologist. That story includes: being the 51% shareholder of a major publishing firm, which he inherited from his long deceased parents; the firm's board, appointed by David Aames Sr., being the 49% shareholders who would probably like to see him gone as they see him as being too irresponsible and immature to run the company; his best bro friendship with author, Brian Shelby; his ""friends with benefits"" relationship with Julie Gianni, who saw their relationship in a slightly different light; his budding romance with Sofia Serrano, who Brian brought to David's party as his own date and who Brian saw as his own possible life mate; and being in an accident which disfigured his face and killed the person who caused the accident. But as the story proceeds, David isn't sure what is real and what is a dream/nightmare as many facets of the story are incompatible to be all real. The mysterious man in the restaurant may be able to shed some light on David's confusion."
Lantana,2001,"Trust. A dead body in bracken. A cop cheats on his unhappy wife who, in secret, sees a psychiatrist whose own marriage is corroded by grief: she thinks her husband is having an affair with a gay patient of hers. The cop's lover, Jane, is recently separated, and her neighbors - a couple with children - include a muscular unemployed man. Late one night, the doctor skids off a back road, finds a call box, and tries in vain to reach her husband. She sees headlights and flags down the driver. Later that night, Jane sees her neighbor park his truck and throw something into the lantana in a vacant lot. It's a woman's shoe. Unraveling the mystery lays bare five couples."
Dragonfly,2002,"Dr. Joe Darrow is a recently widowed doctor. He is grieving due to the death of his pregnant wife in a Red Cross mission in Venezuela. Although being atheist, he began to believe that his dead wife wants to communicate with him, through her young patients in the Pediatrics of a Chicago hospital."
Backstage,2000,"If you ever wanted to know what really goes on backstage, this is the definitive inside look - uncut and uncensored. Complete with on-stage performances you'll see an intimate view of what life is like at one of the biggest Rap Concert tours of all time. It shows life on the road, in hotels and off stage in a way you've never seen before."
Bubble Boy,2001,"A young man who was born without an immune system and has lived his life within a plastic bubble in his bedroom finds out that the woman he has loved since childhood is about to be married at Niagara Falls, so he builds a portable bubble suit and ventures into the outside world to win her affections."
Scary Movie 2,2001,"A group of teens including Cindy Campbell and Brenda Meeks are invited to spend a night in Hell House. Professor Oldman has convinced them it is for a school project, but the night won't go past quietly. Master Kane is long dead, but still plans on enjoying himself, especially with Alex Monday. When things really start getting bad, the gang must work together to find a way to capture this ghostly menace."
The Curse of the Jade Scorpion,2001,"CW Briggs is a veteran insurance investigator, with many successes. Betty Ann Fitzgerald is a new employee in the company he works for, with the task of reorganizing the office. They don't like each other - or at least that's what they think. During a night out with the rest of the office employees, they go to watch Voltan, a magician who secretly hypnotizes both of them, in order to use them for his dirty schemes. The next evening already, Briggs makes his first robbery, and when he wakes up in the morning he has no memory of it. Things get really complicated when he starts investigating the case. Will he be able to uncover... himself?"
The Devil's Backbone,2001,"It is 1939, the end of three years of bloody civil war in Spain, and General Franco's right-wing Nationalists are poised to defeat the left-wing Republican forces. A ten-year-old boy named Carlos, the son of a fallen Republican war hero, is left by his tutor in an orphanage in the middle of nowhere. The orphanage is run by a curt but considerate headmistress named Carmen and a kindly Professor Casares, both of whom are sympathetic to the doomed Republican cause. Despite their concern for him, and his gradual triumph over the usual schoolhouse bully, Carlos never feels completely comfortable in his new environment. First of all, there was that initial encounter with the orphanage's nasty caretaker, Jacinto, who reacts even more violently when anyone is caught looking around a particular storage room the one with the deep well. Second, and more inexplicable, is the presence of a ghost, one of the former occupants of the orphanage named Santi. Not long after Carlos' arrival, Santi latches onto Carlos, badgering him incessantly at night and gloomily intoning, ""Many of you will die."" As if that wasn't enough to keep the orphanage's occupants in an unrelenting state of terror, there's the un-exploded bomb that dominates the orphanage's courtyard, still ticking away; With the orphanage left defenseless by its isolation, and the swift progression of Franco's troops, the ghost's prediction seems depressingly accurate. Nevertheless, with every step of the plot, it becomes apparent that the ghost's predictions as to who (or what) will die, the real source of danger and even the definition of death itself may be more ambiguous than first thought."
Tortilla Soup,2001,"Retired Mexican-American chef Martin Naranjo shares an L.A. home with his three gorgeous, but single, adult daughters. Though he long ago lost his ability to taste, Martin still lives to cook incredibly lavish dinners for his loved ones and to serve them in a family-style ritual at traditional sit-down meals. Although the women humor their father's old-fashioned ways, each of them is searching for fulfillment outside the family circle. College student Maribel is growing increasingly frustrated with the singles scene and wants a steady man; gorgeous career woman Carmen is fed up with her boyfriend and his wandering eye; meanwhile, eldest daughter Letitia, who has suppressed her own romantic longings, senses something missing in her life. Things take a turn for the romantic when Dad, a widower, meets a vivacious divorcee on the lookout for a mate and each of his daughters, in turn, finds someone. But they'll all discover that the recipe for happiness may call for some unexpected ingredients."
The Circle,2000,"In a hospital waiting room a woman learns her daughter, Solmaz Gholami, has just given birth. The ultrasound test had prepared the family for a boy. The baby, it turns out, is a girl. The joy the mother anticipated turns to terror for she knows her son-in-law's family will abandon her daughter. The old woman flees as the in-laws arrive. On the crowded streets of Tehran - a place where women are not permitted to stay out on their own or smoke in public - two women are also on the run. Arezou and Nargess have just been granted temporary leave from prison but they have no plans to return. They manage to scrounge together enough money for the bus trip to Nargess' hometown, but she lacks proper identification, and the police are searching everyone at the station. Meanwhile, their friend Pari has just escaped from prison in order to have an abortion. Threatened with death by her brothers, she flees from her father's house and meets with a former inmate, Elham, who is now married to a doctor and works in a hospital. Despite her connections, Elham is unable to help Pari in her hour of need. Despondent, Pari wanders the streets and chances upon Nayereh, a woman about to abandon her young daughter. Pari tries to stop her, but it is too late. Soon after, Nayareh, falsely accused of prostitution, is taken into custody by the police. As Panahi's narrative shifts dynamically from woman to woman, their stories culminate with tremendous potency, transforming a shared sense of despair and injustice into one kinship, and even hope."
The Anniversary Party,2001,"Celebrity couple Joe and Sally Therrian are going through yet another rough stage in their six-year marriage: while Joe's novels have been climbing higher and higher on the best-seller lists, Sally's film career has been steadily sinking into oblivion. Joe's been given the rights to cast and direct the screenplay of his latest book, but rather than resurrect Sally's career by casting her in the lead role, he's given it to Sally's rival, Skye Davidson. Even worse, he's invited Skye to their anniversary bash. Will the marriage, or anything else for that matter, survive the party?"
American Pie 2,2001,"The whole gang are back and as close as ever. They decide to get even closer by spending the summer together at a beach house. They decide to hold the biggest party ever to be seen, even if the preparation doesn't always go to plan. Especially when Stifler, Finch and Jim become more close to each other than they ever want to be and when Jim mistakes super glue for lubricant."
Heist,2001,"David Mamet takes this story of thieves along many twists and turns, some of which work and some of which don't. Gene Hackman plays the brilliant leader of a gang (Delroy Lindo, Ricky Jay & Rebecca Pigeon as Hackman's youngish wife), which pulls off complex heists for a despicable fence (Danny DeVito). After stiffing the gang on a jewelry robbery, DeVito forces the gang to go after a Swiss gold shipment and to use his nephew (Sam Rockwell) in the crime. No one trusts anyone and every step is shaded with the unexpected."
